nct_id,brief_title,lead_sponsor,sponsor_class,resolved_company,ticker,exchange,investability_class,phases,study_status,primary_completion_date,primary_completion_date_type,conditions,drug_interventions,primary_outcome_measure,source_url,verification_status,sponsor_resolution_basis,notes
NCT04573803,Pharmacological Management of Seizures Post Traumatic Brain Injury,Cambridge University Hospitals NHS Foundation Trust,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Not Yet Recruiting,2026-03-01,ESTIMATED,Traumatic Brain Injury,Phenytoin Sodium; Levetiracetam,MAST-DURATION: Occurrence of late PTS,https://clinicaltrials.gov/study/NCT04573803,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | primary endpoint time frame: Within 24 months post traumatic brain injury
NCT04881838,CCCG-ALCL-2020 for Chinese Children and Adolescents With Newly Diagnosed High-risk ALCL,"Children's Cancer Group, China",NETWORK,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Active Not Recruiting,2026-03-01,ACTUAL,Pediatric Anaplastic Large Cell Lymphoma,P regimen; Course A1 + Vin; Course B1 +Vin; Course A2 + Vin,3-year event free survival (EFS),https://clinicaltrials.gov/study/NCT04881838,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: NETWORK | primary endpoint time frame: Up to 3 years
NCT06278896,Early Neutropenic Fever De-escalation of Antibiotics Study,Brigham and Women's Hospital,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Not Yet Recruiting,2026-03-01,ESTIMATED,Hematologic Malignancy,Cessation of antibiotics,"Mortality, transfer to the ICU, septic shock, culture-confirmed bacteremia",https://clinicaltrials.gov/study/NCT06278896,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | primary endpoint time frame: 60 days
NCT06490536,The Sagittarius Trial,IFOM ETS - The AIRC Institute of Molecular Oncology,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Recruiting,2026-03-01,ESTIMATED,Colon Cancer Stage II,Oxaliplatin; Capecitabine; Folinic acid; Fluorouracil,2-Year Recurrence-Free Survival (RFS),https://clinicaltrials.gov/study/NCT06490536,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | primary endpoint time frame: Assessed at 2 years post-surgery
NCT06696820,Efficacy and Safety of Early Combined Therapy With PCSK9 Inhibitors and Statins in Acute Ischemic Stroke,Xiang Luo,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 2 / Phase 3,Completed,2026-03-01,ACTUAL,Acute Ischemic Stroke,PCSK9 inhibitors combined with atorvastatin/rosuvastatin; Atorvastatin/Rosuvastatin,Proportion of early neurological deterioration,https://clinicaltrials.gov/study/NCT06696820,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | Phase 2/3 combined study | primary endpoint time frame: Within 3 days of randomization
NCT06761547,Comparsion of Intravenous Injection of Magnesium Sulfate and Lidocaine Effectiveness on the Prevention of Laryngospasm and Analgesic Requirement in Tonsillectomy,Assiut University,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Not Yet Recruiting,2026-03-01,ESTIMATED,Tonsillectomy,magnsium sulfate; Lidocaine (drug); Saline,The incidence of laryngospasm in three groups.,https://clinicaltrials.gov/study/NCT06761547,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | primary endpoint time frame: 24 hours
NCT06789393,Comparison of the Efficacy of Bupivacaine with and Without Dexmedetomidine As an Adjuvant on Penile Block for Postoperative Pain Relief in Pediatrics Undergoing Hypospadias Repair Surgery,Assiut University,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Not Yet Recruiting,2026-03-01,ESTIMATED,Hypospadias Repair Surgery,Dexmedetomidine; Bupivacaine,FLACC Pain score,https://clinicaltrials.gov/study/NCT06789393,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | primary endpoint time frame: 24 hours
NCT06789575,Comparison of Bupivacaine Wound Infiltration Versus Wound Instillation to Minimize Postoperative Pain After Thyroid Surgery,Assiut University,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Not Yet Recruiting,2026-03-01,ESTIMATED,Thyroid Surgery,Bupivacaine; Adrenaline; Lidocaine (drug),Total analgesic consumption,https://clinicaltrials.gov/study/NCT06789575,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | primary endpoint time frame: 24 hours
NCT06820567,Effects Dapagliflozin on Inflammatory Markers Erythropoiesis and Iron Metabolism in Patients With Type 2 Diabetes and CKD,Assiut University,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Not Yet Recruiting,2026-03-01,ESTIMATED,Chronic Kidney Diseases,Dapagliflozin (DAPA); Placebo,GFR in CKD patients,https://clinicaltrials.gov/study/NCT06820567,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | primary endpoint time frame: 6 months
NCT06839118,Safety and Efficacy of Botulinum Toxin A in Patients With Posttraumatic Headache,Danish Headache Center,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Recruiting,2026-03-01,ESTIMATED,Posttraumatic Headache,Botox 200 UNT Injection,Primary aim,https://clinicaltrials.gov/study/NCT06839118,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | primary endpoint time frame: 3 months
NCT06861738,Effect of Parcetamol in Headach,Assiut University,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Not Yet Recruiting,2026-03-01,ESTIMATED,Headache,Paracetamol (acetaminophen); Paracetamol Placebo,pain score VAS score,https://clinicaltrials.gov/study/NCT06861738,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | primary endpoint time frame: 24 hours
NCT07350928,Observation of the Effect of Preoperative Use of Dexmedetomidine Hydrochloride Nasal Spray on Optimizing Awake Sedation During Breast-Conserving Surgery for Breast Cancer and Postoperative Awake Status,Tianjin Medical University Cancer Institute and Hospital,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Recruiting,2026-03-01,ESTIMATED,Breast Cancer,Induction of anesthesia with dexmedetomidine nasal spray prior to surgery; Induction of anesthesia with placebo spray prior to surgery,Observer's Assessment of Alterness/Sedation and Numerical rating scale,https://clinicaltrials.gov/study/NCT07350928,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | primary endpoint time frame: From enrollment to the end of the first postoperative day
NCT03724175,The Role of Secondary Bile Acids in Intestinal Inflammation,Stanford University,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 2 / Phase 3,Terminated,2026-03-02,ACTUAL,Ulcerative Colitis,"ursodiol (ursodeoxycholic acid, UDCA)",Proportion of subjects who achieve clinical response at week 10.,https://clinicaltrials.gov/study/NCT03724175,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | Phase 2/3 combined study | primary endpoint time frame: change from screening to end of treatment (10 weeks)
NCT04300920,Prospective Treatment Efficacy in IPF Using Genotype for Nac Selection (PRECISIONS) Trial,Fernando J Martinez,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Completed,2026-03-02,ACTUAL,Idiopathic Pulmonary Fibrosis,N-acetyl cysteine; Placebo,"Time to one of the following composite endpoint criteria: 10% relative decline in forced vital capacity (FVC), first respiratory hospitalization, lung transplant or death from any cause.",https://clinicaltrials.gov/study/NCT04300920,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | primary endpoint time frame: 24 months
NCT06434753,Zinc Supplementation to Improve Prognosis in Patients With Compensated Advanced Chronic Liver Disease.,Hospital Universitari Vall d'Hebron Research Institute,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Unknown,2026-03-02,ESTIMATED,Advanced Chronic Liver Disease,Zinc Acexamate,Values 1-6. Ordinal scale to assess efficacy of the intervention.,https://clinicaltrials.gov/study/NCT06434753,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | primary endpoint time frame: 24 months
NCT06805513,Actual Use Trial of Tadalafil 5 mg,Sanofi,INDUSTRY,Sanofi,SNY,NASDAQ (ADR),US-LISTED,Phase 3,Completed,2026-03-02,ACTUAL,Erectile Dysfunction,,The proportion of inter-dosing intervals in which the recommended time between doses is followed,https://clinicaltrials.gov/study/NCT06805513,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,lead sponsor verified row-by-row earlier in this repository,"lead sponsor class: INDUSTRY | primary endpoint time frame: From the beginning of Use phase to end, at 120 days."
NCT07210983,Low-Intensity Pulsed Ultrasound as an Adjunctive Therapy for Bone Regeneration Following Jaw Cyst Enucleation,Sadam Elayah,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Not Yet Recruiting,2026-03-02,ESTIMATED,Jaw Cysts,,cyst cavity volume reduction,https://clinicaltrials.gov/study/NCT07210983,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | primary endpoint time frame: Time Frame: Measured from baseline (before cyst enucleation) to 3 months and 6 months post-treatment.
NCT05348577,Study of Capivasertib + Docetaxel vs Placebo + Docetaxel as Treatment for Metastatic Castration Resistant Prostate Cancer (mCRPC),AstraZeneca,INDUSTRY,AstraZeneca,AZN,NYSE,US-LISTED,Phase 3,Active Not Recruiting,2026-03-04,ESTIMATED,Prostate Cancer,capivasertib; docetaxel,Overall Survival (OS) in the overall population,https://clinicaltrials.gov/study/NCT05348577,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,lead sponsor verified row-by-row earlier in this repository,lead sponsor class: INDUSTRY | primary endpoint time frame: up to approximately 46 months
NCT04842552,Effect of Hydralazine on Alzheimer's Disease,Shahid Sadoughi University of Medical Sciences and Health Services,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Completed,2026-03-05,ACTUAL,Alzheimer Disease,Hydralazine hydrochloride 25mg tablets; Placebo,Change in Alzheimer's Disease Assessment Scale-Cognitive Subscale (ADAS-Cog) Score from Baseline,https://clinicaltrials.gov/study/NCT04842552,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,"lead sponsor class: OTHER | primary endpoint time frame: Baseline, and Months 3, 6, 9, and 12"
NCT06295809,A Study of (Neo)Adjuvant Intismeran Autogene (V940) and Pembrolizumab in Cutaneous Squamous Cell Carcinoma (V940-007),Merck Sharp & Dohme LLC,INDUSTRY,,,,UNRESOLVED SPONSOR,Phase 2 / Phase 3,Terminated,2026-03-05,ACTUAL,"Carcinoma, Squamous Cell",,Event Free Survival (EFS),https://clinicaltrials.gov/study/NCT06295809,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: INDUSTRY | Phase 2/3 combined study | primary endpoint time frame: Up to ~22 months
NCT05611242,Proximal Internal Carotid Artery Acute Stroke Secondary to Tandem or Local Occlusion Thrombectomy Trial,Mercy Health Ohio,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Recruiting,2026-03-08,ESTIMATED,Acute Ischemic Stroke,,90-day Modified Rankin Scale ordinal shift,https://clinicaltrials.gov/study/NCT05611242,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | primary endpoint time frame: Time Frame: 90 days post randomization
NCT06348199,"A Study to Compare the Efficacy, Safety, Pharmacokinetics, and Immunogenicity Between SB27 and Keytruda in Subjects With Metastatic Non-squamous Non-small Cell Lung Cancer","Samsung Bioepis Co., Ltd.",INDUSTRY,,,,UNRESOLVED SPONSOR,Phase 3,Active Not Recruiting,2026-03-10,ACTUAL,Non-small Cell Lung Cancer Stage IV,SB27; Keytruda,Objective response rate (ORR) at Week 24,https://clinicaltrials.gov/study/NCT06348199,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: INDUSTRY | primary endpoint time frame: At Week 24
NCT06863571,Reduction of Edema With a Specialized Cocktail for Ultra-early Management in Ischemic Stroke,"Second Affiliated Hospital, Zhejiang University, School of Medicine",OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Recruiting,2026-03-10,ESTIMATED,Ischemic Stroke,PPA Intervention,Cerebral Edema at 5-7 Days,https://clinicaltrials.gov/study/NCT06863571,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | primary endpoint time frame: 5-7 days post-treatment
NCT06304883,Long-term Extension of Phase 3 Study of ALZ- 801 in APOE4/4 Early AD Subjects,Alzheon Inc.,INDUSTRY,,,,UNRESOLVED SPONSOR,Phase 3,Terminated,2026-03-11,ACTUAL,Early Alzheimer's Disease,Experimental: ALZ-801,Primary cognitive efficacy endpoint 1,https://clinicaltrials.gov/study/NCT06304883,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: INDUSTRY | primary endpoint time frame: Week 104
NCT06425159,A Study to Determine if BHV-7000 is Effective and Safe in Adults With Idiopathic Generalized Epilepsy With Generalized Tonic-clonic Seizures,Biohaven Therapeutics Ltd.,INDUSTRY,,,,UNRESOLVED SPONSOR,Phase 2 / Phase 3,Terminated,2026-03-12,ACTUAL,Generalized Epilepsy,BHV-7000; Placebo,Time to the Second Day with a Generalized Tonic Clonic (GTC) Seizure During the 24- week Double-blind Treatment Period,https://clinicaltrials.gov/study/NCT06425159,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: INDUSTRY | Phase 2/3 combined study | primary endpoint time frame: Baseline to Week 24 of Double-Blind Treatment Period
NCT06698042,A Clinical Study of Pembrolizumab (+) Berahyaluronidase Alfa (MK-3475A) to Treat Newly-diagnosed Metastatic Non-small Cell Lung Cancer (MK-3475A-F84),Merck Sharp & Dohme LLC,INDUSTRY,,,,UNRESOLVED SPONSOR,Phase 3,Active Not Recruiting,2026-03-12,ACTUAL,Lung Cancer,,Area Under the Curve (AUC) of Pembrolizumab Measured After the First Dose,https://clinicaltrials.gov/study/NCT06698042,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: INDUSTRY | primary endpoint time frame: At designated time points (up to approximately 14 months)
NCT06603883,Efficacy of Fecal Microbiota Transplantation in ICU Patients With Gastrointestinal Dysfunction-induced Enteral Nutrition Intolerance,"Union Hospital, Tongji Medical College, Huazhong University of Science and Technology",OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 2 / Phase 3,Completed,2026-03-13,ACTUAL,Gastrointestinal Dysfunction-induced Enteral Nutrition Intolerance,,Percentage of the effective improvement of enteral nutrition intolerance,https://clinicaltrials.gov/study/NCT06603883,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,"lead sponsor class: OTHER | Phase 2/3 combined study | primary endpoint time frame: 24, 48, 72 and 96 hours after first FMT."
NCT06306001,Intravenous Methylene Blue for Treating Refractory Neonatal Septic Shock,"Post Graduate Institute of Medical Education and Research, Chandigarh",OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 2 / Phase 3,Not Yet Recruiting,2026-03-14,ESTIMATED,Neonatal Sepsis,Methylene Blue,All-cause mortality within 7 days after randomization,https://clinicaltrials.gov/study/NCT06306001,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | Phase 2/3 combined study | primary endpoint time frame: 7 days
NCT06781996,A Study to Determine the Efficacy of a Digital Self-management Support Tool to Improve the Quality of Life During Adjuvant HOrmonal Therapy for Patients With Early Breast Cancer,"Gustave Roussy, Cancer Campus, Grand Paris",OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Recruiting,2026-03-15,ESTIMATED,Breast Cancer,,"To determine the efficacy of a personalized approach, consisting of a multi-component, interventional mobile application in addition to standard of care, compared with standard care alone in improving quality of life (QOL) after 12 weeks.",https://clinicaltrials.gov/study/NCT06781996,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | primary endpoint time frame: up to 12 weeks of intervention
NCT07296146,Probiotics Against Erythropoietin Resistance in Chronic Kidney Disease Patients.,Badr University,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Not Yet Recruiting,2026-03-15,ESTIMATED,Anaemia,Erythropoietin + Probiotic; EPO,- Hemoglobin concentration,https://clinicaltrials.gov/study/NCT07296146,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,"lead sponsor class: OTHER | primary endpoint time frame: at baseline, and 3-months postintervention"
NCT06159790,"A Study to Compare Efficacy, Safety, and Immunogenicity of GME751 and EU-authorized Keytruda in Adult Participants With Untreated Metastatic Non-squamous Non-small Cell Lung Cancer (NSCLC)",Sandoz,INDUSTRY,,,,UNRESOLVED SPONSOR,Phase 3,Completed,2026-03-16,ACTUAL,Metastatic NSCLC,GME751; Keytruda-EU,Best Overall Response (BOR),https://clinicaltrials.gov/study/NCT06159790,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: INDUSTRY | primary endpoint time frame: up to 9 months from date of randomization
NCT06613685,Study of Oral Weekly GS-1720 and GS-4182 Compared With Biktarvy in People With HIV-1 Who Have Not Been Treated,Gilead Sciences,INDUSTRY,Gilead Sciences,GILD,NASDAQ,US-LISTED,Phase 2 / Phase 3,Terminated,2026-03-16,ACTUAL,HIV-1-infection,lepetegravir; lenacapavir pacfosacil; Bictegravir/emtricitabine/tenofovir alafenamide; lepetegravir/lenacapavir pacfosacil FDC,Phase 2: Proportion of Participants With HIV-1 RNA < 50 Copies/mL at Week 24 as Determined by the United States (US) Food and Drug Administration (FDA)-defined Snapshot Algorithm,https://clinicaltrials.gov/study/NCT06613685,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,lead sponsor verified row-by-row earlier in this repository,lead sponsor class: INDUSTRY | Phase 2/3 combined study | primary endpoint time frame: Week 24
NCT06911424,Efficacy of Fusidic Acid 1% in the Treatment of Bacterial Conjunctivitis,"Baxis Pharmaceuticals, Inc.",INDUSTRY,,,,UNRESOLVED SPONSOR,Phase 3,Recruiting,2026-03-16,ESTIMATED,Bacterial Conjunctivitis,Fusidic Acid 1%; Placebo,Clinical Cure,https://clinicaltrials.gov/study/NCT06911424,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: INDUSTRY | primary endpoint time frame: Visit 2 (Day 4)
NCT07820111,Comparative Study of Different Weekly GLP-1 Receptor Agonists Among Diabetic and Non-Diabetic Patients: Clinical Trial,Zagazig University,OTHER_GOV,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Completed,2026-03-17,ACTUAL,Obese Diabetics,"Dulaglutide 1.5 MG/ML; Semaglutide 2 mg/1.5 ml (1.34 mg/ml), prefilled pen-injector for subcutaneous injection solution; Tirzepatide is administered as part of routine clinical care for obesity management, according to standard prescribing practices. Dosing and treatment duration are determined by the treating physician; Dulaglutide 0.75mg subcutaneous injection",change in body weight at 3 and 6 months,https://clinicaltrials.gov/study/NCT07820111,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER_GOV | primary endpoint time frame: 6-MONTH STUDY PERIOD
NCT04901169,Angiotensin II in Liver Transplantation,"University of California, San Francisco",OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 2 / Phase 3,Active Not Recruiting,2026-03-18,ACTUAL,Liver Transplant; Complications,Angiotensin II; Saline,"Total dose of norepinephrine (NE), averaged over case duration and total body weight, utilized during liver transplantation (LT) to maintain mean arterial pressure (MAP) greater than or equal to 65 mmHg.",https://clinicaltrials.gov/study/NCT04901169,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,"lead sponsor class: OTHER | Phase 2/3 combined study | primary endpoint time frame: Duration of surgery - defined as the time period starting with skin incision by the surgeon, and ending at the time of skin closure, an average of 8 hours."
NCT07333924,Randomised Study Within a Review (SWAR) to Compare Communication of the Findings of Systematic Reviews to the Public by Plain Language Summary or Video Abstract,"Queen's University, Belfast",OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Completed,2026-03-18,ACTUAL,Behavioral Changes,,Immediate comprehension of the information presented in the review summary.,https://clinicaltrials.gov/study/NCT07333924,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | primary endpoint time frame: Immediately after interaction with the summary.
NCT05494619,"A Study to Evaluate the Efficacy, Safety, Pharmacokinetics, and Pharmacodynamics of Crovalimab in Participants With Guillain-Barré Syndrome (GBS)",Hoffmann-La Roche,INDUSTRY,,,,UNRESOLVED SPONSOR,Phase 3,Withdrawn,2026-03-19,ESTIMATED,Guillain-Barré Syndrome,Crovalimab; Placebo; Intravenous immunoglobulin therapy,Percentage of Participants who Reach Hughes Functional Grade (FG) Score ≤ 1 on the Guillain-Barré Syndrome Disability Scale (GBS-DS) at Week 24,https://clinicaltrials.gov/study/NCT05494619,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: INDUSTRY | primary endpoint time frame: Week 24
NCT05814354,SHR-A1811 Versus Investigator's Chemotherapy in Recurrent/Metastatic Breast Cancer Clinical Trial,"Jiangsu HengRui Medicine Co., Ltd.",INDUSTRY,,,,UNRESOLVED SPONSOR,Phase 3,Active Not Recruiting,2026-03-20,ACTUAL,Breast Cancer,SHR-A1811; Capecitabine/Eribulin/Gemcitabine/Paclitaxel/Nab-paclitaxel,Progression-free Survival (PFS) Based on Blind Independent Video Review Committee (BIRC),https://clinicaltrials.gov/study/NCT05814354,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: INDUSTRY | primary endpoint time frame: within approximately 2 years
NCT04965038,Early Reperfusion Therapy With Intravenous Thrombolysis for Recovery of VISION in Acute Central Retinal Artery Occlusion,University Hospital Tuebingen,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Terminated,2026-03-23,ACTUAL,Central Retinal Artery Occlusion,Tenecteplase (until trial protocol V04: Alteplase),Functional recovery at visit 3,https://clinicaltrials.gov/study/NCT04965038,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | primary endpoint time frame: 30 days
NCT07001397,Study on the Short-term Efficacy and Safety of Recombinant Human Thrombopoietin Combined With Immunosuppressant Sequential Eltrombopag Ethanolamine Dry Suspension in the Treatment of SAA/TD-NSAA,Peking Union Medical College Hospital,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Not Yet Recruiting,2026-03-23,ESTIMATED,Aplastic Anemias,EPAG-pfos,overall response rate,https://clinicaltrials.gov/study/NCT07001397,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,"lead sponsor class: OTHER | primary endpoint time frame: 1 month, 3 month"
NCT06267560,Lp(a) Lowering Study of Pelacarsen (TQJ230) in US Black/African American and Hispanic Participants With Elevated Lp(a) and Established ASCVD,Novartis Pharmaceuticals,INDUSTRY,,,,UNRESOLVED SPONSOR,Phase 3,Completed,2026-03-25,ACTUAL,Elevated Lp(a) and Established Atherosclerotic Cardiovascular Disease,TQJ230; Placebo,Change in log-transformed Lp(a) concentration from baseline at week 52,https://clinicaltrials.gov/study/NCT06267560,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,"lead sponsor class: INDUSTRY | primary endpoint time frame: Baseline, week 52"
NCT05207709,Ribociclib vs. Palbociclib in Patients With Advanced Breast Cancer Within the HER2-Enriched Intrinsic Subtype,SOLTI Breast Cancer Research Group,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Terminated,2026-03-26,ACTUAL,Metastatic Breast Cancer,Ribociclib + Letrozole OR Fulvestrant; Palbociclib + Letrozole OR Fulvestrant; Paclitaxel +/- Tislelizumab,Progression-free survival,https://clinicaltrials.gov/study/NCT05207709,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,"lead sponsor class: OTHER | primary endpoint time frame: From date of randomization until the date of first documented progression, death, lost of follow-up, withdraw consent or the study is terminated by SOLTI, whichever occurs first, assessed up to approximately 62 months after the first patient enrolled"
NCT06879782,Phase III Clinical Study of Lifitegrast Ophthalmic Solution for the Treatment of Dry Eye Disease,"Lunan Better Pharmaceutical Co., LTD.",INDUSTRY,,,,UNRESOLVED SPONSOR,Phase 3,Recruiting,2026-03-28,ESTIMATED,Dry Eye Disease (DED),Drug placebo,Inferior Corneal Fluorescein Staining Score,https://clinicaltrials.gov/study/NCT06879782,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: INDUSTRY | primary endpoint time frame: After 84 days of treatment
