company_name,ticker,drug_brand,drug_generic,decision_type,decision_date,indication,review_pathway,source_url_1,source_url_2,verification_status,notes,us_investable_class,classification_basis,exchange,decision_id
Biogen in partnership with Sage Therapeutics,BIIB,Zurzuvae,zuranolone,Approval,2023-08-04,Postpartum depression,Priority,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/217369s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2023,Verified,Co-developed with Sage Therapeutics (NASDAQ:SAGE); Biogen leads US commercialization,US-LISTED,derived 2026-09-12 from verified exchange/ticker fields; US primary listing per exchange field: 'NASDAQ',NASDAQ,D176
Janssen Biotech (Johnson & Johnson),JNJ,Talvey,talquetamab-tgvs,Approval (Accelerated),2023-08-09,Relapsed/refractory multiple myeloma,Priority/Accelerated,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761342s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2023,Verified,ACCELERATED APPROVAL,US-LISTED,derived 2026-09-12 from verified exchange/ticker fields; US primary listing per exchange field: 'NYSE',NYSE,D177
Pfizer,PFE,Elrexfio,elranatamab-bcmm,Approval (Accelerated),2023-08-14,Relapsed/refractory multiple myeloma,Priority/Accelerated,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761345Orig1s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2023,Verified,ACCELERATED APPROVAL,US-LISTED,derived 2026-09-12 from verified exchange/ticker fields; US primary listing per exchange field: 'NYSE',NYSE,D178
Ipsen S.A.,IPN.PA,Sohonos,palovarotene,Approval,2023-08-16,Fibrodysplasia ossificans progressiva,Priority,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/215559s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2023,Verified - foreign listing only,,NON-US LISTING ONLY,derived 2026-09-12 from verified exchange/ticker fields; exchange field states there is no US-listed equity: 'Euronext Paris; no US ticker',Euronext Paris; no US ticker,D179
Regeneron Pharmaceuticals,REGN,Veopoz,pozelimab-bbfg,Approval,2023-08-18,CD55-deficient protein-losing enteropathy (CHAPLE disease),Priority,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761339s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2023,Verified,,US-LISTED,derived 2026-09-12 from verified exchange/ticker fields; US primary listing per exchange field: 'NASDAQ',NASDAQ,D180
Ayrmid Pharma (current holder per openFDA) / BioLineRx (applicant at approval),BLRX,Aphexda,motixafortide,Approval,2023-09-08,Stem-cell mobilization in multiple myeloma,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/217159s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2023,Verified,BioLineRx was the applicant; US rights later transferred to Ayrmid per openFDA sponsor record; BLRX used for the approval reaction,US-LISTED (ADR),"derived 2026-09-12 from verified exchange/ticker fields; US depositary receipt / OTC line per exchange field: 'NASDAQ (ADS, BioLineRx proxy)'","NASDAQ (ADS, BioLineRx proxy)",D181
GSK plc,GSK,Ojjaara,momelotinib,Approval,2023-09-15,Intermediate/high-risk myelofibrosis with anemia,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/216873s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2023,Verified,Momelotinib added to GSK via Sierra Oncology acquisition (2022),US-LISTED,derived 2026-09-12 from verified exchange/ticker fields; US primary listing per exchange field: 'NYSE',NYSE,D182
Fabre Kramer Pharmaceuticals (private),NO_TICKER,Exxua,gepirone,Approval,2023-09-22,Major depressive disorder,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/021164s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2023,Verified - no public ticker,Fabre Kramer Pharmaceuticals is privately held,PRIVATE / NO EQUITY,"derived 2026-09-12 from verified exchange/ticker fields; no listed equity in the verified fields (ticker='NO_TICKER', exchange='N/A')",N/A,D183
"Amicus Therapeutics (at approval; later acquired by BioMarin, closed Apr 2026)",FOLD,Pombiliti,cipaglucosidase alfa-atga,Approval,2023-09-28,Late-onset Pompe disease,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761204s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2023,Verified - FLAGGED IRREGULARITY,"Amicus was independent at approval; BioMarin completed its $14.50/sh acquisition of Amicus in Apr 2026 and FOLD was delisted, so approval-window price data is unavailable on Yahoo",FORMERLY US-LISTED (DELISTED/ACQUIRED),"derived 2026-09-12 from verified exchange/ticker fields; exchange field states a former US venue: 'formerly NASDAQ:FOLD, delisted Apr 2026'","formerly NASDAQ:FOLD, delisted Apr 2026",D184
Novo Nordisk,NVO,Rivfloza,nedosiran,Approval,2023-09-29,Primary hyperoxaluria type 1,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/215842s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2023,Verified,,US-LISTED (ADR),derived 2026-09-12 from verified exchange/ticker fields; US depositary receipt / OTC line per exchange field: 'NYSE (ADR)',NYSE (ADR),D185
Pfizer,PFE,Velsipity,etrasimod,Approval,2023-10-12,Moderately to severely active ulcerative colitis,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/216956s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2023,Verified,,US-LISTED,derived 2026-09-12 from verified exchange/ticker fields; US primary listing per exchange field: 'NYSE',NYSE,D186
UCB,UCB.BR,Bimzelx,bimekizumab-bkzx,Approval,2023-10-17,Moderate to severe plaque psoriasis,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761151s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2023,Verified - foreign listing only,"UCB received two novel drug approvals the same day (Zilbrysq and Bimzelx, Oct 17 2023)",NON-US LISTING ONLY,derived 2026-09-12 from verified exchange/ticker fields; exchange field states there is no US-listed equity: 'Euronext Brussels; no US ticker',Euronext Brussels; no US ticker,D187
UCB,UCB.BR,Zilbrysq,zilucoplan,Approval,2023-10-17,Generalized myasthenia gravis,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/216834s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2023,Verified - foreign listing only,"UCB received two novel drug approvals the same day (Zilbrysq and Bimzelx, Oct 17 2023)",NON-US LISTING ONLY,derived 2026-09-12 from verified exchange/ticker fields; exchange field states there is no US-listed equity: 'Euronext Brussels; no US ticker',Euronext Brussels; no US ticker,D188
Catalyst Pharmaceuticals,CPRX,Agamree,vamorolone,Approval,2023-10-26,Duchenne muscular dystrophy,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/215239s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2023,Verified - FLAGGED IRREGULARITY,"Vamorolone in-licensed from Santhera Pharmaceuticals; Catalyst remains listed (Angelini Pharma acquisition pending 2026) but Yahoo's daily series does not extend back to Oct 2023, so approval-window price data could not be verified",US-LISTED,derived 2026-09-12 from verified exchange/ticker fields; US primary listing per exchange field: 'NASDAQ',NASDAQ,D189
Eli Lilly and Company,LLY,Omvoh,mirikizumab-mrkz,Approval,2023-10-26,Ulcerative colitis,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761279s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2023,Verified,,US-LISTED,derived 2026-09-12 from verified exchange/ticker fields; US primary listing per exchange field: 'NYSE',NYSE,D190
Coherus BioSciences (now Coherus Oncology) with partner Junshi Biosciences,CHRS,Loqtorzi,toripalimab-tpzi,Approval,2023-10-27,Recurrent/metastatic nasopharyngeal carcinoma,Priority,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761240s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2023,Verified,US applicant Coherus; originator Junshi Biosciences (HKEX/SSE:1877) co-developed,US-LISTED,derived 2026-09-12 from verified exchange/ticker fields; US primary listing per exchange field: 'NASDAQ',NASDAQ,D191
Takeda Pharmaceutical Company,TAK,Fruzaqla,fruquintinib,Approval,2023-11-08,Refractory metastatic colorectal cancer,Priority,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/217564s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2023,Verified,US rights in-licensed from HUTCHMED (NASDAQ/AIM:HCM),US-LISTED (ADR),derived 2026-09-12 from verified exchange/ticker fields; US depositary receipt / OTC line per exchange field: 'NYSE (ADR)',NYSE (ADR),D192
Bristol Myers Squibb,BMY,Augtyro,repotrectinib,Approval,2023-11-15,ROS1-positive non-small cell lung cancer,Priority,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/218213s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2023,Verified,Repotrectinib added to BMS via Turning Point Therapeutics acquisition (2022),US-LISTED,derived 2026-09-12 from verified exchange/ticker fields; US primary listing per exchange field: 'NYSE',NYSE,D193
CorMedix,CRMD,Defencath,taurolidine and heparin,Approval,2023-11-15,Catheter-related bloodstream infection prevention (hemodialysis),Priority,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/214520s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2023,Verified,,US-LISTED,derived 2026-09-12 from verified exchange/ticker fields; US primary listing per exchange field: 'NYSE American',NYSE American,D194
Evive Biotechnology (private),NO_TICKER,Ryzneuta,efbemalenograstim alfa-vuxw,Approval,2023-11-16,Neutropenia,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761134s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2023,Verified - no public ticker,Evive Biotechnology is privately held (a subsidiary of Yifan Pharmaceutical),PRIVATE / NO EQUITY,"derived 2026-09-12 from verified exchange/ticker fields; no listed equity in the verified fields (ticker='NO_TICKER', exchange='N/A')",N/A,D195
AstraZeneca,AZN,Truqap,capivasertib,Approval,2023-11-16,"Breast cancer (HR+/HER2-, AKT pathway-altered)",Priority,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/218197s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2023,Verified,,US-LISTED (ADR),derived 2026-09-12 from verified exchange/ticker fields; US depositary receipt / OTC line per exchange field: 'NASDAQ (ADR)',NASDAQ (ADR),D196
"SpringWorks Therapeutics (at approval; later acquired by Merck KGaA, closed Jul 2025)",SWTX,Ogsiveo,nirogacestat,Approval,2023-11-27,Progressing desmoid tumors,Priority,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/217677s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2023,Verified - FLAGGED IRREGULARITY,"SpringWorks independent at approval; acquired by Merck KGaA ($47/sh, ~$3.9B, closed Jul 1 2025); SWTX delisted so approval-window price data is unavailable on Yahoo",FORMERLY US-LISTED (DELISTED/ACQUIRED),"derived 2026-09-12 from verified exchange/ticker fields; exchange field states a former US venue: 'formerly NASDAQ:SWTX, delisted Jul 2025'","formerly NASDAQ:SWTX, delisted Jul 2025",D197
Novartis AG,NVS,Fabhalta,iptacopan,Approval,2023-12-05,Paroxysmal nocturnal hemoglobinuria,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/218276s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2023,Verified,,US-LISTED,derived 2026-09-12 from verified exchange/ticker fields; US primary listing per exchange field: 'NYSE',NYSE,D198
"Chiesi Farmaceutici (current holder, private) / Amryt Pharma (applicant at approval)",NO_TICKER,Filsuvez,birch triterpenes,Approval,2023-12-18,Wounds associated with dystrophic/junctional epidermolysis bullosa,Priority,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/215064s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2023,Verified - no public ticker,"Amryt was the applicant (Priority Review Voucher granted per approval letter); Amryt acquired by Chiesi in 2023 - both private at/after approval, no listed equity",PRIVATE / NO EQUITY,"derived 2026-09-12 from verified exchange/ticker fields; no listed equity in the verified fields (ticker='NO_TICKER', exchange='N/A')",N/A,D199
AstraZeneca (current holder per openFDA) / Ionis Pharmaceuticals (applicant at approval),IONS,Wainua,eplontersen,Approval,2023-12-21,Polyneuropathy of hereditary transthyretin-mediated amyloidosis,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/217388s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2023,Verified,Ionis was the US applicant at approval; eplontersen license later held by AstraZeneca AB per openFDA; IONS used for the approval reaction,US-LISTED,derived 2026-09-12 from verified exchange/ticker fields; US primary listing per exchange field: 'NASDAQ (Ionis proxy)',NASDAQ (Ionis proxy),D200
Ligand Pharmaceuticals / Pelthos Therapeutics,LGND,Zelsuvmi,berdazimer,Approval,2024-01-05,Molluscum contagiosum,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/217424s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified,First novel drug approved for molluscum contagiosum; asset later spun into Pelthos Therapeutics (PTHS),US-LISTED,derived 2026-09-12 from verified exchange/ticker fields; US primary listing per exchange field: 'NASDAQ',NASDAQ,D001
Allecra Therapeutics (private) / commercial partner ADVANZ PHARMA (private),NO_TICKER,Exblifep,cefepime and enmetazobactam,Approval,2024-02-22,Complicated urinary tract infections,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/216165s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified - no public ticker,Allecra Therapeutics and Advanz Pharma are both privately held; no listed equity to track,PRIVATE / NO EQUITY,"derived 2026-09-12 from verified exchange/ticker fields; no listed equity in the verified fields (ticker='NO_TICKER', exchange='N/A')",N/A,D002
Sun Pharmaceutical Industries,SUNPHARMA.NS,Letybo,letibotulinumtoxinA-wlbg,Approval,2024-02-29,Glabellar lines,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761225s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified - foreign listing only,Listed on Indian exchanges (NSE:SUNPHARMA / BSE:524715); no U.S. ticker,NON-US LISTING ONLY,derived 2026-09-12 from verified exchange/ticker fields; exchange field states there is no US-listed equity: 'NSE/BSE India; no US ADR',NSE/BSE India; no US ADR,D003
BeOne Medicines (formerly BeiGene),ONC,Tevimbra,tislelizumab-jsgr,Approval,2024-03-13,Esophageal squamous cell carcinoma,Priority,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761232Orig1s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified,Company renamed from BeiGene to BeOne Medicines in 2025; ticker changed from BGNE to ONC,US-LISTED,derived 2026-09-12 from verified exchange/ticker fields; US primary listing per exchange field: 'NASDAQ',NASDAQ,D004
Madrigal Pharmaceuticals,MDGL,Rezdiffra,resmetirom,Approval (Accelerated),2024-03-14,Noncirrhotic MASH with moderate-to-advanced liver fibrosis,Priority/Accelerated,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/217785s000lbl.pdf,https://www.fda.gov/news-events/press-announcements/fda-approves-first-treatment-patients-liver-scarring-due-fatty-liver-disease,Verified,First FDA-approved MASH treatment,US-LISTED,derived 2026-09-12 from verified exchange/ticker fields; US primary listing per exchange field: 'NASDAQ',NASDAQ,D005
Idorsia Pharmaceuticals,IDIA.SW,Tryvio,aprocitentan,Approval,2024-03-19,Hypertension (add-on),Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/217686s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified - foreign listing only,Swiss-listed; no U.S.-listed ADR identified,NON-US LISTING ONLY,derived 2026-09-12 from verified exchange/ticker fields; exchange field states there is no US-listed equity: 'SIX Swiss Exchange; no US ticker',SIX Swiss Exchange; no US ticker,D006
"Italfarmaco S.p.A. (parent, private) / ITF Therapeutics (US arm, private)",NO_TICKER,Duvyzat,givinostat,Approval,2024-03-21,Duchenne muscular dystrophy (6 years and older),Priority,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/217865Orig1s000lbl.pdf,https://www.fda.gov/news-events/press-announcements/fda-approves-nonsteroidal-treatment-duchenne-muscular-dystrophy,Verified - no public ticker,Italfarmaco is a privately held Italian company,PRIVATE / NO EQUITY,"derived 2026-09-12 from verified exchange/ticker fields; no listed equity in the verified fields (ticker='NO_TICKER', exchange='N/A')",N/A,D007
Merck & Co.,MRK,Winrevair,sotatercept-csrk,Approval,2024-03-26,Pulmonary arterial hypertension,Priority,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761363s000lbl.pdf,https://www.ajmc.com/view/fda-approves-sotatercept-first-in-class-treatment-for-adults-with-pah,Verified,Asset acquired via Merck's 2021 buyout of Acceleron Pharma,US-LISTED,derived 2026-09-12 from verified exchange/ticker fields; US primary listing per exchange field: 'NYSE',NYSE,D008
Akebia Therapeutics,AKBA,Vafseo,vadadustat,Approval,2024-03-27,Anemia due to chronic kidney disease (dialysis patients),Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/215192s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified,,US-LISTED,derived 2026-09-12 from verified exchange/ticker fields; US primary listing per exchange field: 'NASDAQ',NASDAQ,D010
CSL Limited,CSL.AX,Voydeya,danicopan,Approval,2024-03-29,Extravascular hemolysis in PNH (add-on),Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/218037s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified - foreign listing only,CSL Limited trades on ASX; thinly traded US OTC ADR CSLLY exists,NON-US LISTING ONLY,derived 2026-09-12 from verified exchange/ticker fields; exchange field states there is no US-listed equity: 'ASX Australia; no US ADR primary',ASX Australia; no US ADR primary,D009
Basilea Pharmaceutica (developer) / Innoviva (US rights holder),INVA,Zevtera,ceftobiprole medocaril sodium,Approval,2024-04-03,MRSA bacteremia; ABSSSI; CABP,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/218275s000lbl.pdf,https://www.fda.gov/news-events/press-announcements/fda-approves-new-antibiotic-three-different-uses,Verified,Basilea (SIX:BSLN) is Swiss-listed; Innoviva (NASDAQ:INVA) holds exclusive US rights since Dec 2024,US-LISTED,derived 2026-09-12 from verified exchange/ticker fields; US primary listing per exchange field: 'NASDAQ',NASDAQ,D011
Lumicell Inc. (private),NO_TICKER,Lumisight,pegulicianine,Approval,2024-04-17,Intraoperative breast cancer tissue detection,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/214511s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified - no public ticker,Sponsor Lumicell Inc. is privately held,PRIVATE / NO EQUITY,"derived 2026-09-12 from verified exchange/ticker fields; no listed equity in the verified fields (ticker='NO_TICKER', exchange='N/A')",N/A,D012
ImmunityBio,IBRX,Anktiva,nogapendekin alfa inbakicept-pmln,Approval,2024-04-22,BCG-unresponsive non-muscle invasive bladder cancer,Priority,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761336s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified,,US-LISTED,derived 2026-09-12 from verified exchange/ticker fields; US primary listing per exchange field: 'NASDAQ',NASDAQ,D013
Day One Biopharmaceuticals,DAWN,Ojemda,tovorafenib,Approval (Accelerated),2024-04-23,Relapsed/refractory pediatric low-grade glioma,Priority/Accelerated,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/218033s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified,,US-LISTED,derived 2026-09-12 from verified exchange/ticker fields; US primary listing per exchange field: 'NASDAQ',NASDAQ,D014
X4 Pharmaceuticals,XFOR,Xolremdi,mavorixafor,Approval,2024-04-26,WHIM syndrome,Priority,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/218709s000lbl.pdf,https://www.globenewswire.com/news-release/2024/04/29/2871050/0/en/X4-Pharmaceuticals-Announces-FDA-Approval-of-XOLREMDI-mavorixafor-Capsules-First-Drug-Indicated-in-Patients-with-WHIM-Syndrome.html,Verified,,US-LISTED,derived 2026-09-12 from verified exchange/ticker fields; US primary listing per exchange field: 'NASDAQ',NASDAQ,D015
Amgen,AMGN,Imdelltra,tarlatamab-dlle,Approval (Accelerated),2024-05-16,Extensive-stage small cell lung cancer,Priority/Accelerated,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761344s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified,,US-LISTED,derived 2026-09-12 from verified exchange/ticker fields; US primary listing per exchange field: 'NASDAQ',NASDAQ,D016
Geron Corporation,GERN,Rytelo,imetelstat,Approval,2024-06-06,Low-to-intermediate-1 risk myelodysplastic syndromes,Priority,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/217779s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified,,US-LISTED,derived 2026-09-12 from verified exchange/ticker fields; US primary listing per exchange field: 'NASDAQ',NASDAQ,D017
Ipsen S.A.,IPN.PA,Iqirvo,elafibranor,Approval (Accelerated),2024-06-10,Primary biliary cholangitis (add-on),Priority/Accelerated,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/218860s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified - foreign listing only,Ipsen S.A. trades on Euronext Paris; no primary US listing,NON-US LISTING ONLY,derived 2026-09-12 from verified exchange/ticker fields; exchange field states there is no US-listed equity: 'Euronext Paris; no US ticker',Euronext Paris; no US ticker,D018
Botanix Pharmaceuticals,BOT.AX,Sofdra,sofpironium,Approval,2024-06-20,Primary axillary hyperhidrosis,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/217347s000lbl.pdf,https://biotechdispatch.com.au/news/fda-approves-botanixs-sofdra-the-first-new-drug-for-primary-axillary-hyperhidrosis,Verified - foreign listing primary,Primary listing ASX:BOT; thinly-traded US OTC ADR BTXXY exists,US-LISTED (ADR),derived 2026-09-12 from verified exchange/ticker fields; US depositary receipt / OTC line per exchange field: 'ASX Australia; US OTC as BTXXY',ASX Australia; US OTC as BTXXY,D019
Roche Holding AG (Genentech),RHHBY,Piasky,crovalimab-akkz,Approval,2024-06-20,Paroxysmal nocturnal hemoglobinuria,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761388s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified,,US-LISTED (ADR),derived 2026-09-12 from verified exchange/ticker fields; US depositary receipt / OTC line per exchange field: 'OTC ADR; primary SIX:ROG',OTC ADR; primary SIX:ROG,D021
Verona Pharma plc,VRNA,Ohtuvayre,ensifentrine,Approval,2024-06-26,Chronic obstructive pulmonary disease,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/217389s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified,"Chiesi Farmaceutici is a partner in certain territories, not the NDA holder",US-LISTED,derived 2026-09-12 from verified exchange/ticker fields; US primary listing per exchange field: 'NASDAQ',NASDAQ,D020
Eli Lilly and Company,LLY,Kisunla,donanemab-azbt,Approval,2024-07-02,Alzheimer's disease,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761248s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified,,US-LISTED,derived 2026-09-12 from verified exchange/ticker fields; US primary listing per exchange field: 'NYSE',NYSE,D022
Sun Pharmaceutical Industries,SUNPHARMA.NS,Leqselvi,deuruxolitinib,Approval,2024-07-25,Severe alopecia areata,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/217900Orig1s000correctedlbl.pdf,https://synapse.patsnap.com/article/sun-pharmas-leqselvi-gets-fda-approval-for-severe-alopecia,Verified - foreign listing only,"Acquired via Concert Pharmaceuticals buyout ($576M, Jan 2023)",NON-US LISTING ONLY,derived 2026-09-12 from verified exchange/ticker fields; exchange field states there is no US-listed equity: 'NSE/BSE India; no US ADR',NSE/BSE India; no US ADR,D023
Servier Pharmaceuticals (private),NO_TICKER,Voranigo,vorasidenib,Approval,2024-08-06,Grade 2 astrocytoma/oligodendroglioma,Priority,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/218784s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified - no public ticker,Servier is a privately held French pharmaceutical group,PRIVATE / NO EQUITY,"derived 2026-09-12 from verified exchange/ticker fields; no listed equity in the verified fields (ticker='NO_TICKER', exchange='N/A')",N/A,D033
Ascendis Pharma,ASND,Yorvipath,palopegteriparatide,Approval,2024-08-09,Hypoparathyroidism,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/216490s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified,,US-LISTED,derived 2026-09-12 from verified exchange/ticker fields; US primary listing per exchange field: 'NASDAQ',NASDAQ,D032
Galderma Group AG,GALD.SW,Nemluvio,nemolizumab-ilto,Approval,2024-08-12,Prurigo nodularis,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761390s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified - foreign listing only,Galderma listed on SIX Swiss Exchange since 2024 IPO,NON-US LISTING ONLY,derived 2026-09-12 from verified exchange/ticker fields; exchange field states there is no US-listed equity: 'SIX Swiss Exchange; no US ticker',SIX Swiss Exchange; no US ticker,D031
Incyte Corporation,INCY,Niktimvo,axatilimab-csfr,Approval,2024-08-14,Chronic graft-versus-host disease,Priority,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761411s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified,Co-developed with Syndax Pharmaceuticals (NASDAQ:SNDX),US-LISTED,derived 2026-09-12 from verified exchange/ticker fields; US primary listing per exchange field: 'NASDAQ',NASDAQ,D029
Gilead Sciences,GILD,Livdelzi,seladelpar,Approval (Accelerated),2024-08-14,Primary biliary cholangitis,Priority/Accelerated,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/217899s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified,Gilead acquired CymaBay Therapeutics in 2024,US-LISTED,derived 2026-09-12 from verified exchange/ticker fields; US primary listing per exchange field: 'NASDAQ',NASDAQ,D030
Johnson & Johnson,JNJ,Lazcluze,lazertinib,Approval,2024-08-19,Non-small cell lung cancer (with amivantamab),Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/219008s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified,,US-LISTED,derived 2026-09-12 from verified exchange/ticker fields; US primary listing per exchange field: 'NYSE',NYSE,D028
