nct_id,brief_title,lead_sponsor,sponsor_class,resolved_company,ticker,exchange,investability_class,phases,study_status,primary_completion_date,primary_completion_date_type,conditions,drug_interventions,primary_outcome_measure,source_url,verification_status,sponsor_resolution_basis,notes,window_source
NCT06728371,Intravenous Methadone for Sternotomy Pain Control in Cardiac Surgery,Chinese University of Hong Kong,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Recruiting,2024-12-01,ESTIMATED,"Pain, Postoperative",Methadone; Morphine,Postoperative morphine consumption,https://clinicaltrials.gov/study/NCT06728371,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),lead sponsor class: OTHER (academic/government/network sponsor),lead sponsor class: OTHER | primary endpoint time frame: Postoperative within 72 hours,clinicaltrials_phase3_2024_2025_windows/studies_2024H2.json
NCT06871033,Ketamine Versus Neostigmine in Ultrasound-Guided Transversus Abdominis Plane Block in Caesarean Section,Alexandria University,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Completed,2024-12-01,ACTUAL,Caesarian Section,TAP block with neostigmine; TAP block with Ketamine,Post operative pain score,https://clinicaltrials.gov/study/NCT06871033,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),lead sponsor class: OTHER (academic/government/network sponsor),"lead sponsor class: OTHER | primary endpoint time frame: Intraoperatively and at 2 hr., 4 hr., 6 hr., 12 hr., 18hr., and 24 hr. postoperatively",clinicaltrials_phase3_2024_2025_windows/studies_2024H2.json
NCT03664895,"Density Lowering Effect of ""OFS Add on to TMX""(DELFINO Trial)",Seoul National University Hospital,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Unknown,2024-12-02,ESTIMATED,Breast Cancer Invasive,Leuplin or zoladex,MMG density Reduction,https://clinicaltrials.gov/study/NCT03664895,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),lead sponsor class: OTHER (academic/government/network sponsor),lead sponsor class: OTHER | primary endpoint time frame: 5 years,clinicaltrials_phase3_2024_2025_windows/studies_2024H2.json
NCT04044690,"A Study to Evaluate the Efficacy, Safety, and Pharmacokinetics of IgPro20 in Adults With Dermatomyositis (DM)",CSL Behring,INDUSTRY,,,,UNRESOLVED SPONSOR,Phase 3,Terminated,2024-12-02,ACTUAL,Dermatomyositis,human immunoglobulin G; Placebo,Responder Rate,https://clinicaltrials.gov/study/NCT04044690,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: INDUSTRY | primary endpoint time frame: At Week 25,clinicaltrials_phase3_2024_2025_windows/studies_2024H2.json
NCT04165317,A Study of Sasanlimab in People With Non-muscle Invasive Bladder Cancer,Pfizer,INDUSTRY,Pfizer Inc.,PFE,NYSE,US-LISTED,Phase 3,Active Not Recruiting,2024-12-02,ACTUAL,Non-muscle Invasive Bladder Cancer,PF-06801591; Bacillus Calmette-Guerin,Cohort A: Event Free Survival (EFS) as Assessed by the Investigator: Arm A Versus Arm C,https://clinicaltrials.gov/study/NCT04165317,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),Hospira acquired by Pfizer in 2015; parent is the listed issuer,"lead sponsor class: INDUSTRY | primary endpoint time frame: From randomization (Day 1) to first documentation of high-grade disease, progression of disease, persistence of CIS or death due to any cause, whichever occurred first (maximum follow up duration was up to 257.1 weeks)",clinicaltrials_phase3_2024_2025_windows/studies_2024H2.json
NCT05549037,Effect of Time-of-Day (ToD) for Immunochemotherapy on PFS in NSCLC,Hunan Province Tumor Hospital,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Completed,2024-12-02,ACTUAL,Non-small Cell Lung Cancer,"Pembrolizumab, Sintilimab",Progression-free survival (PFS),https://clinicaltrials.gov/study/NCT05549037,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),lead sponsor class: OTHER (academic/government/network sponsor),"lead sponsor class: OTHER | primary endpoint time frame: Time from first subject dose to study completion, or up to 36 month.",clinicaltrials_phase3_2024_2025_windows/studies_2024H2.json
NCT05878561,A Study to Evaluate the Efficacy and Safety of BR1015 Combination Therapy,"Boryung Pharmaceutical Co., Ltd",INDUSTRY,,,,UNRESOLVED SPONSOR,Phase 3,Completed,2024-12-02,ACTUAL,Essential Hypertension,Fimasartan + Indapamide; Fimasartan + Indapamide placebo,Sitting systolic blood pressure,https://clinicaltrials.gov/study/NCT05878561,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: INDUSTRY | primary endpoint time frame: 8weeks from Baseline Visit,clinicaltrials_phase3_2024_2025_windows/studies_2024H2.json
NCT06438172,A Study to Evaluate Efficacy and Safety of HCP1803 Compared to RLD2001-1 in Patients with Essential Hypertension,Hanmi Pharmaceutical Company Limited,INDUSTRY,,,,UNRESOLVED SPONSOR,Phase 3,Completed,2024-12-02,ACTUAL,Hypertension,HCP1803-3; RLD2001-1; HPP2003-3; HPP2002-1,Change from baseline in sitting systolic blood pressure,https://clinicaltrials.gov/study/NCT06438172,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,"lead sponsor class: INDUSTRY | primary endpoint time frame: baseline, 8 weeks",clinicaltrials_phase3_2024_2025_windows/studies_2024H2.json
NCT04178798,Study to Investigate the Use of Acalabrutinib in the Treatment of Patients With Chronic Lymphocytic Leukemia,PETHEMA Foundation,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Completed,2024-12-03,ACTUAL,Chronic Lymphocytic Leukemia- Binet Staging System,Acalabrutinib 100 MG Oral Capsule,Event-Free Survival (EFS),https://clinicaltrials.gov/study/NCT04178798,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),lead sponsor class: OTHER (academic/government/network sponsor),lead sponsor class: OTHER | primary endpoint time frame: From randomization to 60 months,clinicaltrials_phase3_2024_2025_windows/studies_2024H2.json
NCT04947553,A Study to Assess the Long-term Safety and Efficacy of AXS-05 in Subjects With Alzheimer's Disease Agitation,"Axsome Therapeutics, Inc.",INDUSTRY,"Axsome Therapeutics, Inc.",AXSM,,US-LISTED,Phase 3,Completed,2024-12-03,ACTUAL,Agitation in Patients With Dementia of the Alzheimer's Type,AXS-05 (dextromethorphan-bupropion); Placebo,Long-term Safety,https://clinicaltrials.gov/study/NCT04947553,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),exact match (legal suffixes removed) against SEC company_tickers.json,lead sponsor class: INDUSTRY | primary endpoint time frame: up to 76 weeks,clinicaltrials_phase3_2024_2025_windows/studies_2024H2.json
NCT06029426,Study to Evaluate the Effects of Oral NMRA-335140 Versus Placebo in Participants With Major Depressive Disorder,"Neumora Therapeutics, Inc.",INDUSTRY,"Neumora Therapeutics, Inc.",NMRA,,US-LISTED,Phase 3,Completed,2024-12-03,ACTUAL,Major Depressive Disorder,NMRA-335140; Placebo,Change from Baseline to Week 6 in the Montgomery Asberg Depression Rating Scale (MADRS) total score,https://clinicaltrials.gov/study/NCT06029426,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),exact match (legal suffixes removed) against SEC company_tickers.json,lead sponsor class: INDUSTRY | primary endpoint time frame: Baseline and up to Week 6,clinicaltrials_phase3_2024_2025_windows/studies_2024H2.json
NCT02255799,Multicenter Evaluation of Memory Remediation After TBI With Donepezil,Baylor College of Medicine,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Completed,2024-12-04,ACTUAL,Traumatic Brain Injury,Donepezil; Placebo,Hopkins Verbal Learning Test-Revised (HVLT-R) Total Trials 1-3,https://clinicaltrials.gov/study/NCT02255799,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),lead sponsor class: OTHER (academic/government/network sponsor),lead sponsor class: OTHER | primary endpoint time frame: study week 10,clinicaltrials_phase3_2024_2025_windows/studies_2024H2.json
NCT02311959,Therapeutic Nipple Sparing Mastectomy.,Institut Claudius Regaud,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Completed,2024-12-04,ACTUAL,Breast Cancer,,Local recurrence rate.,https://clinicaltrials.gov/study/NCT02311959,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),lead sponsor class: OTHER (academic/government/network sponsor),lead sponsor class: OTHER | primary endpoint time frame: 9 years.,clinicaltrials_phase3_2024_2025_windows/studies_2024H2.json
NCT02664753,L-carnitine as an Adjunct Treatment for Septic Shock Patients With Acute Kidney Injury,Centre Hospitalier Universitaire de Nīmes,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Terminated,2024-12-04,ACTUAL,Severe Sepsis,56 days of weight-adjusted L-Carnitine treatment; 10 days of intravenous placebo (isotonic saline),Mortality,https://clinicaltrials.gov/study/NCT02664753,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),lead sponsor class: OTHER (academic/government/network sponsor),lead sponsor class: OTHER | primary endpoint time frame: 28 days,clinicaltrials_phase3_2024_2025_windows/studies_2024H2.json
NCT04655144,Dexamethasone for Post Uterine Artery Embolization Pain,University of Miami,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Completed,2024-12-04,ACTUAL,Leiomyoma,Dexamethasone; Saline,Pain Scores Using the VAS Questionnaire,https://clinicaltrials.gov/study/NCT04655144,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),lead sponsor class: OTHER (academic/government/network sponsor),lead sponsor class: OTHER | primary endpoint time frame: Day 7,clinicaltrials_phase3_2024_2025_windows/studies_2024H2.json
NCT04857671,Botulinum Toxin A in Frequent and Chronic Tension-type Headache,Helse Nord-Trøndelag HF,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Completed,2024-12-04,ACTUAL,Tension-Type Headache,Botulinum Toxin Type A in saline water; Isotone saline water,Difference in TTH-headache days in week 5-8 of the active period versus the placebo period.,https://clinicaltrials.gov/study/NCT04857671,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),lead sponsor class: OTHER (academic/government/network sponsor),lead sponsor class: OTHER | primary endpoint time frame: 36 weeks,clinicaltrials_phase3_2024_2025_windows/studies_2024H2.json
NCT06281418,Postoperative Intraperitoneal Pain Management Following Laparoscopic Cholecystectomy,Future University in Egypt,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Completed,2024-12-04,ACTUAL,Post Operative Pain,Granisetron 1 Mg/mL Intravenous Solution,VAS score,https://clinicaltrials.gov/study/NCT06281418,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),lead sponsor class: OTHER (academic/government/network sponsor),"lead sponsor class: OTHER | primary endpoint time frame: 2 hours, 4 hours, 8 hours, 12 hours, 24 hours",clinicaltrials_phase3_2024_2025_windows/studies_2024H2.json
NCT06635798,"A Phase III Clinical Trail to Evaluate the Efficacy, Safety, Pharmacokinetics and Immunogenicity Characteristics of GR2001 Injection","Genrix (Shanghai) Biopharmaceutical Co., Ltd.",INDUSTRY,,,,UNRESOLVED SPONSOR,Phase 3,Recruiting,2024-12-04,ESTIMATED,Tetanus,,The increase of anti-tetanus neutralizing antibody titers (∆ titers),https://clinicaltrials.gov/study/NCT06635798,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: INDUSTRY | primary endpoint time frame: Baseline up to 12 hours after receipt of Investigational medicinal product.,clinicaltrials_phase3_2024_2025_windows/studies_2024H2.json
NCT06698666,Efficacy of Statins Among Major Depressive Disorder,Ain Shams University,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Recruiting,2024-12-04,ACTUAL,Major Depressive Disorder,Rosuvastatin 10 mg tablet.; Sertraline Pill,Severity of depression among Participants with MDD as Assessed by MADRS scale,https://clinicaltrials.gov/study/NCT06698666,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),lead sponsor class: OTHER (academic/government/network sponsor),lead sponsor class: OTHER | primary endpoint time frame: 3 months (12 weeks),clinicaltrials_phase3_2024_2025_windows/studies_2024H2.json
NCT01218789,Safety Study of Tasimelteon for Treatment of Non-24-Hour-Sleep-Wake Disorder in Blind Individuals With No Light Perception,Vanda Pharmaceuticals,INDUSTRY,Vanda Pharmaceuticals,VNDA,NASDAQ,US-LISTED,Phase 3,Unknown,2024-12-05,ESTIMATED,Non 24 Hour Sleep Wake Disorder,tasimelteon,Safety Evaluations,https://clinicaltrials.gov/study/NCT01218789,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),lead sponsor verified row-by-row earlier in this repository,lead sponsor class: INDUSTRY | primary endpoint time frame: Week 4,clinicaltrials_phase3_2024_2025_windows/studies_2024H2.json
NCT03013010,"PREACT Study: Locally Advanced Gastric Cancer, Chemoradiotherapy vs. Chemotherapy Followed by D2 Surgery and Adjuvant Chemotherapy","Shanghai Cancer Hospital, China",OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Completed,2024-12-05,ACTUAL,Stomach Neoplasm,Tegafur-Gimeracil-Oteracil Potassium; Oxaliplatin,Disease free survival,https://clinicaltrials.gov/study/NCT03013010,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),lead sponsor class: OTHER (academic/government/network sponsor),lead sponsor class: OTHER | primary endpoint time frame: up to 3 years,clinicaltrials_phase3_2024_2025_windows/studies_2024H2.json
NCT03946111,Cognitive-Behavioral and Pharmacologic (LDX) Treatment of Binge-Eating Disorder and Obesity: Medication Change for Non-Responders,Yale University,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 2 / Phase 3,Completed,2024-12-05,ACTUAL,Binge-Eating Disorder,Naltrexone and Bupropion,Change in Binge-Eating Frequency,https://clinicaltrials.gov/study/NCT03946111,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),lead sponsor class: OTHER (academic/government/network sponsor),lead sponsor class: OTHER | Phase 2/3 combined study | primary endpoint time frame: From baseline interview at study enrollment to 3 months after the 12-week treatment.,clinicaltrials_phase3_2024_2025_windows/studies_2024H2.json
NCT04569409,Clinical Study to Evaluate Efficacy and Safety of ALLO-ASC-DFU in Patients With Diabetic Wagner Grade 2 Foot Ulcers.,"Anterogen Co., Ltd.",INDUSTRY,,,,UNRESOLVED SPONSOR,Phase 3,Completed,2024-12-05,ACTUAL,Diabetic Foot Ulcer,,Proportions of subjects who achieved complete wound closure,https://clinicaltrials.gov/study/NCT04569409,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: INDUSTRY | primary endpoint time frame: During 12 weeks,clinicaltrials_phase3_2024_2025_windows/studies_2024H2.json
NCT05355818,Efficacy and Safety of Delgocitinib Cream in Adolescents 12-17 Years of Age With Moderate to Severe Chronic Hand Eczema,LEO Pharma,INDUSTRY,LEO Pharma A/S,,,PRIVATE / NO EQUITY,Phase 3,Completed,2024-12-05,ACTUAL,Chronic Hand Eczema,Delgocitinib; Cream vehicle,Number of Participants With IGA-CHE Treatment Success at Week 16,https://clinicaltrials.gov/study/NCT05355818,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),Owned by the LEO Foundation; no publicly traded equity,lead sponsor class: INDUSTRY | primary endpoint time frame: Week 16,clinicaltrials_phase3_2024_2025_windows/studies_2024H2.json
NCT05680870,The Possible Protective Role of Omeprazole Against Oxaliplatin Induced Neuropathy in Cancer Patients,Aya Mohamed Sadek Elsaid,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Completed,2024-12-05,ACTUAL,Chemotherapy Induced Peripheral Neuropathy,Omeprazole,Acute peripheral neuropathy,https://clinicaltrials.gov/study/NCT05680870,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),lead sponsor class: OTHER (academic/government/network sponsor),"lead sponsor class: OTHER | primary endpoint time frame: After the first intervention by 2 weeks of the first chemotherapy cycle ( each cycle is two days every two weeks), and through the study average for six months",clinicaltrials_phase3_2024_2025_windows/studies_2024H2.json
NCT06333964,A Study to Evaluate the Efficacy and Safety of AST-001 in ASD Children,"Astrogen, Inc.",INDUSTRY,,,,UNRESOLVED SPONSOR,Phase 3,Completed,2024-12-05,ACTUAL,Autism Spectrum Disorder,AST-001; Placebo of AST-001,K-VABS-II (Korean-Vineland Adaptive Behavior Scale-II),https://clinicaltrials.gov/study/NCT06333964,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,"lead sponsor class: INDUSTRY | primary endpoint time frame: Baseline, 12week, 24week",clinicaltrials_phase3_2024_2025_windows/studies_2024H2.json
NCT06654726,"A Multi-center Evaluation of Aldafermin in a Randomized, Double-blind, Placebo-controlled Study in Subjects With Primary Sclerosing Cholangitis.","NGM Biopharmaceuticals, Inc",INDUSTRY,,,,UNRESOLVED SPONSOR,Phase 2 / Phase 3,Withdrawn,2024-12-05,ACTUAL,Primary Sclerosing Cholangitis,aldafermin; Placebo,Change From Baseline in Enhanced Liver Fibrosis Score at Week 96,https://clinicaltrials.gov/study/NCT06654726,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: INDUSTRY | Phase 2/3 combined study | primary endpoint time frame: 96 Weeks,clinicaltrials_phase3_2024_2025_windows/studies_2024H2.json
NCT05008783,A Study of AK104 in the First-line Treatment of Locally Advanced Unresectable or Metastatic G/GEJ Adenocarcinoma,Akeso,INDUSTRY,Akeso,9926.HK,HKEX Hong Kong; no US ticker,US-LISTED,Phase 3,Completed,2024-12-06,ACTUAL,Gastric Adenocarcinoma,AK104; Placebo,Overall Survival (os),https://clinicaltrials.gov/study/NCT05008783,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),lead sponsor verified row-by-row earlier in this repository,lead sponsor class: INDUSTRY | primary endpoint time frame: Up to 2 years,clinicaltrials_phase3_2024_2025_windows/studies_2024H2.json
NCT05743075,A Study to Evaluate the Efficacy and Safety of Ensifentrine for 24 Weeks in Patients With Moderate to Severe Chronic Obstructive Pulmonary Disease,"Nuance Pharma (shanghai) Co., Ltd",INDUSTRY,,,,UNRESOLVED SPONSOR,Phase 3,Completed,2024-12-06,ACTUAL,Chronic Obstructive Pulmonary Disease,Ensifentrine; Placebo,Average forced expiratory volume in 1 second (FEV1) area under the curve (AUC)0-12h,https://clinicaltrials.gov/study/NCT05743075,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: INDUSTRY | primary endpoint time frame: 12 weeks,clinicaltrials_phase3_2024_2025_windows/studies_2024H2.json
NCT05878405,Methylene Blue Mouthwash for the Treatment of Oral Mucositis Pain in Patients With Cancer,Mayo Clinic,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Completed,2024-12-06,ACTUAL,Hematopoietic and Lymphoid System Neoplasm,,Change in oral pain,https://clinicaltrials.gov/study/NCT05878405,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),lead sponsor class: OTHER (academic/government/network sponsor),"lead sponsor class: OTHER | primary endpoint time frame: Baseline, 3 days",clinicaltrials_phase3_2024_2025_windows/studies_2024H2.json
NCT05883956,"A Study Comparing Treatment Preference Between Oral Decitabine/Cedazuridine and Azacitidine in Myelodysplastic Syndrome, Low-Blast Acute Myeloid Leukemia, or Chronic Myelomonocytic Leukemia",Otsuka Australia Pharmaceutical Pty Ltd,INDUSTRY,,,,UNRESOLVED SPONSOR,Phase 3,Active Not Recruiting,2024-12-06,ACTUAL,Myelodysplastic Syndromes,Subcutaneous azacitidine; Oral decitabine/cedazuridine,Proportion of patients reporting preference for oral decitabine/cedazuridine vs subcutaneous azacitidine on the patient treatment preference in myelodysplasia questionnaire (pTPMQ),https://clinicaltrials.gov/study/NCT05883956,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: INDUSTRY | primary endpoint time frame: Prior to initiation of Cycle 3 (each cycle is 28 days),clinicaltrials_phase3_2024_2025_windows/studies_2024H2.json
NCT06108544,A Study About How Well TAK-279 Works and Its Safety in Participants With Moderate-to-severe Plaque Psoriasis During 60 Weeks of Treatment With a Withdrawal and Retreatment Period,Takeda,INDUSTRY,,,,UNRESOLVED SPONSOR,Phase 3,Completed,2024-12-06,ACTUAL,Plaque Psoriasis,TAK-279; Placebo; Apremilast,Percentage of Participants Achieving a Static Physician's Global Assessment (sPGA) of Clear (0) or Almost Clear (1) With a ≥2-Point Decrease from Baseline at Week 16 Comparing TAK-279 Against Placebo,https://clinicaltrials.gov/study/NCT06108544,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,"lead sponsor class: INDUSTRY | primary endpoint time frame: Baseline, Week 16",clinicaltrials_phase3_2024_2025_windows/studies_2024H2.json
NCT07092189,Colposcopy Anxiety and the Role of Pre-procedure Nursing Intervention,Université de Sherbrooke,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Completed,2024-12-08,ACTUAL,Anxiety,,Pre-procedure situational anxiety,https://clinicaltrials.gov/study/NCT07092189,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),lead sponsor class: OTHER (academic/government/network sponsor),lead sponsor class: OTHER | primary endpoint time frame: On the day of the colposcopy procedure,clinicaltrials_phase3_2024_2025_windows/studies_2024H2.json
NCT05204550,Intranasal Heparin Treatment to Reduce Transmission Among Household Contacts of COVID 19 Positive Adults and Children,Murdoch Childrens Research Institute,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 2 / Phase 3,Completed,2024-12-09,ACTUAL,COVID-19,unfractionated heparin; 0.9%sodium chloride,"Number of household contacts (swab negative on day 1) testing positive for SARS-CoV-2 by PCR on either of three routine nasopharyngeal swabs on day 3,5 and 10 after enrolment or on nasopharyngeal swab in response to clinical symptoms in the first 14 days",https://clinicaltrials.gov/study/NCT05204550,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),lead sponsor class: OTHER (academic/government/network sponsor),lead sponsor class: OTHER | Phase 2/3 combined study | primary endpoint time frame: 14 days from randomisation,clinicaltrials_phase3_2024_2025_windows/studies_2024H2.json
NCT05490680,A New Sildenafil Oral Film in Patients With Erectile Dysfunction,IBSA Institut Biochimique SA,INDUSTRY,IBSA Institut Biochimique SA,,,PRIVATE / NO EQUITY,Phase 3,Completed,2024-12-09,ACTUAL,Erectile Dysfunction,"Sildenafil Oral Film 25 mg, 50 mg, 75 mg or 100 mg; Placebo",Safety of Sildenafil doses versus placebo,https://clinicaltrials.gov/study/NCT05490680,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),Privately held Swiss company; no publicly traded equity,lead sponsor class: INDUSTRY | primary endpoint time frame: 12 weeks of treatment,clinicaltrials_phase3_2024_2025_windows/studies_2024H2.json
NCT05642312,A Study to Investigate Vamikibart in Participants With Uveitic Macular Edema,Hoffmann-La Roche,INDUSTRY,Roche Holding AG,RHHBY,OTCQX,US-LISTED,Phase 3,Completed,2024-12-09,ACTUAL,Uveitic Macular Edema,Vamikibart,Proportion of participants with ≥ 15 letter improvement from baseline in best-corrected visual acuity (BCVA) at Week 16,https://clinicaltrials.gov/study/NCT05642312,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),F. Hoffmann-La Roche AG operating entity of Roche Holding AG (OTCQX:RHHBY / SIX:ROG),lead sponsor class: INDUSTRY | primary endpoint time frame: Week 16,clinicaltrials_phase3_2024_2025_windows/studies_2024H2.json
NCT05741034,A Study to Assess Adverse Events and Effectiveness of Injected JUVÉDERM® VOLITE™ Gel Filler for Change in Neck Lines in Adult Chinese Participants,AbbVie,INDUSTRY,AbbVie Inc.,ABBV,NYSE,US-LISTED,Phase 3,Completed,2024-12-09,ACTUAL,Neck Lines,,"Percentage of Participants Achieving ""Responder"" status based on Evaluating Investigator's (EI) live assessment of transverse neck lines using the Allergan Transverse Neck Lines Scale (ATNLS)",https://clinicaltrials.gov/study/NCT05741034,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),Forest Laboratories acquired by Actavis/Allergan 2014; Allergan acquired by AbbVie 2020,lead sponsor class: INDUSTRY | primary endpoint time frame: Month 2,clinicaltrials_phase3_2024_2025_windows/studies_2024H2.json
NCT06298708,Immunogenicity and Safety of Inactivated and Live-attenuated HAV Vaccine Among Thai Healthy Children and Adolescents,Chiang Mai University,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Completed,2024-12-09,ACTUAL,HAV,,Anti-HAV immunoglobulin G (IgG) seroconversion rate,https://clinicaltrials.gov/study/NCT06298708,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),lead sponsor class: OTHER (academic/government/network sponsor),lead sponsor class: OTHER | primary endpoint time frame: L-HAV group: 4 weeks after the first vaccination. I-HAV group: 4 weeks after the second vaccination,clinicaltrials_phase3_2024_2025_windows/studies_2024H2.json
NCT06408714,Nalmefene vs Naloxone for the Treatment of Recurrent Respiratory Depression After Opioid Overdose,University of New Mexico,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Withdrawn,2024-12-09,ACTUAL,Opioid Overdose,Nalmefene Injection; Naloxone Injection,Recurrent respiratory depression,https://clinicaltrials.gov/study/NCT06408714,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),lead sponsor class: OTHER (academic/government/network sponsor),lead sponsor class: OTHER | primary endpoint time frame: Within 8 hours of intervention,clinicaltrials_phase3_2024_2025_windows/studies_2024H2.json
NCT06607263,"Comparative Study of CPC+Zn Mouthwash, Dental Floss, and Essential Oils Mouthwash on Plaque and Gingivitis Reduction",Colgate Palmolive,INDUSTRY,Colgate Palmolive,CL,,US-LISTED,Phase 3,Completed,2024-12-09,ACTUAL,Gingival Bleeding,Mouthwash CPC+Zn+F; Essential oils mouthrinse; Toothpaste,Modified Gingival Index,https://clinicaltrials.gov/study/NCT06607263,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),exact match (legal suffixes removed) against SEC company_tickers.json,lead sponsor class: INDUSTRY | primary endpoint time frame: 12 weeks,clinicaltrials_phase3_2024_2025_windows/studies_2024H2.json
NCT04669288,AZithromycin Therapy in Preschoolers With a Severe Wheezing Episode Diagnosed at the Emergency Department,University of Arizona,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Terminated,2024-12-10,ACTUAL,Asthma,Azithromycin; Placebo,"ADYC (Median, IQR)",https://clinicaltrials.gov/study/NCT04669288,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),lead sponsor class: OTHER (academic/government/network sponsor),lead sponsor class: OTHER | primary endpoint time frame: 5 day course of azithromycin,clinicaltrials_phase3_2024_2025_windows/studies_2024H2.json
NCT05726110,Selinexor in Combination With HAD or CAG Rregimens in Relapsed or Refractory Acute Myeloid Leukemia,Shanxi Bethune Hospital,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Recruiting,2024-12-10,ESTIMATED,Relapsed or Refractory Acute Myeloid Leukemia,Selinexor; Homoharringtonine; Daunorubicin; Cytarabine,Remission Rate,https://clinicaltrials.gov/study/NCT05726110,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),lead sponsor class: OTHER (academic/government/network sponsor),lead sponsor class: OTHER | primary endpoint time frame: max 2 years,clinicaltrials_phase3_2024_2025_windows/studies_2024H2.json
