company_name,ticker,total_pipeline_programs_tracked,approved_count,advanced_to_next_phase_count,paused_or_clinical_hold_count,crl_rejected_count,phase_details,source_url_1,source_url_2,verification_status,notes
Ouvex (current holder per openFDA) / Santen Pharmaceutical (applicant at approval),4536.T,1,1,0,0,0,FDA decisions tracked in this dataset: Omlonti (2022-09-22 - Approval),https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/215092s000lbl.pdf,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/215092s000lbl.pdf,Verified - FDA decisions only (partial pipeline view),Counts cover ONLY the FDA decisions that have been verified and tracked in this repository - they are not the company's full pipeline. Phase-by-phase progression and clinical holds are therefore reported as 0 rather than estimated; upgrade this row to a full pipeline scorecard by reading the company's own pipeline disclosure.
PharmaEssentia Corp.,6446.TW,1,1,0,0,0,FDA decisions tracked in this dataset: Besremi (2021-11-12 - Approval),https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2021,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2021,Verified - FDA decisions only (partial pipeline view),Counts cover ONLY the FDA decisions that have been verified and tracked in this repository - they are not the company's full pipeline. Phase-by-phase progression and clinical holds are therefore reported as 0 rather than estimated; upgrade this row to a full pipeline scorecard by reading the company's own pipeline disclosure.
Akeso Inc.,9926.HK,1,1,0,0,0,FDA decisions tracked in this dataset: penpulimab-kcqx (2025-04-23 - Approval),https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/761258Orig1s000correctedlbl.pdf,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/761258Orig1s000correctedlbl.pdf,Verified - FDA decisions only (partial pipeline view),Counts cover ONLY the FDA decisions that have been verified and tracked in this repository - they are not the company's full pipeline. Phase-by-phase progression and clinical holds are therefore reported as 0 rather than estimated; upgrade this row to a full pipeline scorecard by reading the company's own pipeline disclosure.
Acadia Pharmaceuticals,ACAD,1,1,0,0,0,FDA decisions tracked in this dataset: Daybue (2023-03-10 - Approval),https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/217026s000lbl.pdf,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/217026s000lbl.pdf,Verified - FDA decisions only (partial pipeline view),Counts cover ONLY the FDA decisions that have been verified and tracked in this repository - they are not the company's full pipeline. Phase-by-phase progression and clinical holds are therefore reported as 0 rather than estimated; upgrade this row to a full pipeline scorecard by reading the company's own pipeline disclosure.
ADC Therapeutics SA,ADCT,1,1,0,0,0,FDA decisions tracked in this dataset: Zynlonta (2021-04-23 - Approval),https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2021,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2021,Verified - FDA decisions only (partial pipeline view),Counts cover ONLY the FDA decisions that have been verified and tracked in this repository - they are not the company's full pipeline. Phase-by-phase progression and clinical holds are therefore reported as 0 rather than estimated; upgrade this row to a full pipeline scorecard by reading the company's own pipeline disclosure.
Agios Pharmaceuticals,AGIO,1,1,0,0,0,FDA decisions tracked in this dataset: Pyrukynd (2022-02-17 - Approval),https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/216196s000lbl.pdf,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/216196s000lbl.pdf,Verified - FDA decisions only (partial pipeline view),Counts cover ONLY the FDA decisions that have been verified and tracked in this repository - they are not the company's full pipeline. Phase-by-phase progression and clinical holds are therefore reported as 0 rather than estimated; upgrade this row to a full pipeline scorecard by reading the company's own pipeline disclosure.
Akebia Therapeutics,AKBA,1,1,0,0,0,FDA decisions tracked in this dataset: Vafseo (2024-03-27 - Approval),https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/215192s000lbl.pdf,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/215192s000lbl.pdf,Verified - FDA decisions only (partial pipeline view),Counts cover ONLY the FDA decisions that have been verified and tracked in this repository - they are not the company's full pipeline. Phase-by-phase progression and clinical holds are therefore reported as 0 rather than estimated; upgrade this row to a full pipeline scorecard by reading the company's own pipeline disclosure.
Alcon Inc.,ALC,1,1,0,0,0,FDA decisions tracked in this dataset: Tryptyr (2025-05-28 - Approval),https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/217370s000lbl.pdf,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/217370s000lbl.pdf,Verified - FDA decisions only (partial pipeline view),Counts cover ONLY the FDA decisions that have been verified and tracked in this repository - they are not the company's full pipeline. Phase-by-phase progression and clinical holds are therefore reported as 0 rather than estimated; upgrade this row to a full pipeline scorecard by reading the company's own pipeline disclosure.
Alkermes plc,ALKS,1,1,0,0,0,FDA decisions tracked in this dataset: Lybalvi (2021-05-28 - Approval),https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2021,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2021,Verified - FDA decisions only (partial pipeline view),Counts cover ONLY the FDA decisions that have been verified and tracked in this repository - they are not the company's full pipeline. Phase-by-phase progression and clinical holds are therefore reported as 0 rather than estimated; upgrade this row to a full pipeline scorecard by reading the company's own pipeline disclosure.
Alnylam Pharmaceuticals,ALNY,1,1,0,0,0,FDA decisions tracked in this dataset: Amvuttra (2022-06-13 - Approval),https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/215515s000lbl.pdf,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/215515s000lbl.pdf,Verified - FDA decisions only (partial pipeline view),Counts cover ONLY the FDA decisions that have been verified and tracked in this repository - they are not the company's full pipeline. Phase-by-phase progression and clinical holds are therefore reported as 0 rather than estimated; upgrade this row to a full pipeline scorecard by reading the company's own pipeline disclosure.
Astellas Pharma Inc.,ALPMY,1,1,0,0,0,FDA decisions tracked in this dataset: Vyloy (2024-10-18 - Approval),https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified - FDA decisions only (partial pipeline view),Counts cover ONLY the FDA decisions that have been verified and tracked in this repository - they are not the company's full pipeline. Phase-by-phase progression and clinical holds are therefore reported as 0 rather than estimated; upgrade this row to a full pipeline scorecard by reading the company's own pipeline disclosure.
Amgen,AMGN,2,2,0,0,0,FDA decisions tracked in this dataset: Lumakras (2021-05-28 - Approval) | Imdelltra (2024-05-16 - Approval),https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761344s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2021,Verified - FDA decisions only (partial pipeline view),Counts cover ONLY the FDA decisions that have been verified and tracked in this repository - they are not the company's full pipeline. Phase-by-phase progression and clinical holds are therefore reported as 0 rather than estimated; upgrade this row to a full pipeline scorecard by reading the company's own pipeline disclosure.
Amylyx Pharmaceuticals,AMLX,1,1,0,0,0,FDA decisions tracked in this dataset: Relyvrio (2022-09-29 - Approval),https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/216660s000lbledt.pdf,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/216660s000lbledt.pdf,Verified - FDA decisions only (partial pipeline view),Counts cover ONLY the FDA decisions that have been verified and tracked in this repository - they are not the company's full pipeline. Phase-by-phase progression and clinical holds are therefore reported as 0 rather than estimated; upgrade this row to a full pipeline scorecard by reading the company's own pipeline disclosure.
"Apellis Pharmaceuticals, Inc.",APLS,1,1,0,0,0,FDA decisions tracked in this dataset: Empaveli (2021-05-14 - Approval),https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2021,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2021,Verified - FDA decisions only (partial pipeline view),Counts cover ONLY the FDA decisions that have been verified and tracked in this repository - they are not the company's full pipeline. Phase-by-phase progression and clinical holds are therefore reported as 0 rather than estimated; upgrade this row to a full pipeline scorecard by reading the company's own pipeline disclosure.
argenx SE,ARGX,1,1,0,0,0,FDA decisions tracked in this dataset: Vyvgart (2021-12-17 - Approval),https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2021,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2021,Verified - FDA decisions only (partial pipeline view),Counts cover ONLY the FDA decisions that have been verified and tracked in this repository - they are not the company's full pipeline. Phase-by-phase progression and clinical holds are therefore reported as 0 rather than estimated; upgrade this row to a full pipeline scorecard by reading the company's own pipeline disclosure.
Arrowhead Pharmaceuticals,ARWR,1,1,0,0,0,FDA decisions tracked in this dataset: Redemplo (2025-11-18 - Approval),https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/219947s000lbl.pdf,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/219947s000lbl.pdf,Verified - FDA decisions only (partial pipeline view),Counts cover ONLY the FDA decisions that have been verified and tracked in this repository - they are not the company's full pipeline. Phase-by-phase progression and clinical holds are therefore reported as 0 rather than estimated; upgrade this row to a full pipeline scorecard by reading the company's own pipeline disclosure.
Aurinia Pharmaceuticals,AUPH,1,1,0,0,0,FDA decisions tracked in this dataset: Lupkynis (2021-01-22 - Approval),,,Verified - FDA decisions only (partial pipeline view),Counts cover ONLY the FDA decisions that have been verified and tracked in this repository - they are not the company's full pipeline. Phase-by-phase progression and clinical holds are therefore reported as 0 rather than estimated; upgrade this row to a full pipeline scorecard by reading the company's own pipeline disclosure.
"Aurobindo Pharma (parent, India-listed) / Acrotech Biopharma (private US subsidiary)",AUROPHARMA.NS,1,1,0,0,0,FDA decisions tracked in this dataset: Adquey (2026-02-13 - Approval),https://www.pharmaindiamagazine.com/acrotech-biopharma-inc-announces-fda-approval-of-adquey-ointment/,https://www.pharmaindiamagazine.com/acrotech-biopharma-inc-announces-fda-approval-of-adquey-ointment/,Verified - FDA decisions only (partial pipeline view),Counts cover ONLY the FDA decisions that have been verified and tracked in this repository - they are not the company's full pipeline. Phase-by-phase progression and clinical holds are therefore reported as 0 rather than estimated; upgrade this row to a full pipeline scorecard by reading the company's own pipeline disclosure.
"AVEO Pharmaceuticals, Inc. (acquired by LG Chem, 2023)",AVEO,1,1,0,0,0,FDA decisions tracked in this dataset: Fotivda (2021-03-10 - Approval),https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2021,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2021,Verified - FDA decisions only (partial pipeline view),Counts cover ONLY the FDA decisions that have been verified and tracked in this repository - they are not the company's full pipeline. Phase-by-phase progression and clinical holds are therefore reported as 0 rather than estimated; upgrade this row to a full pipeline scorecard by reading the company's own pipeline disclosure.
Bayer AG,BAYRY,4,4,0,0,0,FDA decisions tracked in this dataset: Kerendia (2021-07-09 - Approval) | Lynkuet (2025-10-24 - Approval) | Hyrnuo (2025-11-19 - Approval) | Ambelvist (2026-06-12 - Approval),https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2021,Verified - FDA decisions only (partial pipeline view),Counts cover ONLY the FDA decisions that have been verified and tracked in this repository - they are not the company's full pipeline. Phase-by-phase progression and clinical holds are therefore reported as 0 rather than estimated; upgrade this row to a full pipeline scorecard by reading the company's own pipeline disclosure.
"BridgeBio Pharma, Inc.",BBIO,1,1,0,0,0,FDA decisions tracked in this dataset: Attruby (2024-11-22 - Approval),https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified - FDA decisions only (partial pipeline view),Counts cover ONLY the FDA decisions that have been verified and tracked in this repository - they are not the company's full pipeline. Phase-by-phase progression and clinical holds are therefore reported as 0 rather than estimated; upgrade this row to a full pipeline scorecard by reading the company's own pipeline disclosure.
Bausch + Lomb,BLCO,1,1,0,0,0,FDA decisions tracked in this dataset: Miebo (2023-05-18 - Approval),https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/216675s000lbl.pdf,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/216675s000lbl.pdf,Verified - FDA decisions only (partial pipeline view),Counts cover ONLY the FDA decisions that have been verified and tracked in this repository - they are not the company's full pipeline. Phase-by-phase progression and clinical holds are therefore reported as 0 rather than estimated; upgrade this row to a full pipeline scorecard by reading the company's own pipeline disclosure.
Ayrmid Pharma (current holder per openFDA) / BioLineRx (applicant at approval),BLRX,1,1,0,0,0,FDA decisions tracked in this dataset: Aphexda (2023-09-08 - Approval),https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/217159s000lbl.pdf,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/217159s000lbl.pdf,Verified - FDA decisions only (partial pipeline view),Counts cover ONLY the FDA decisions that have been verified and tracked in this repository - they are not the company's full pipeline. Phase-by-phase progression and clinical holds are therefore reported as 0 rather than estimated; upgrade this row to a full pipeline scorecard by reading the company's own pipeline disclosure.
BioMarin Pharmaceutical Inc.,BMRN,1,1,0,0,0,FDA decisions tracked in this dataset: Voxzogo (2021-11-19 - Approval),https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2021,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2021,Verified - FDA decisions only (partial pipeline view),Counts cover ONLY the FDA decisions that have been verified and tracked in this repository - they are not the company's full pipeline. Phase-by-phase progression and clinical holds are therefore reported as 0 rather than estimated; upgrade this row to a full pipeline scorecard by reading the company's own pipeline disclosure.
Botanix Pharmaceuticals,BOT.AX,1,1,0,0,0,FDA decisions tracked in this dataset: Sofdra (2024-06-20 - Approval),https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/217347s000lbl.pdf,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/217347s000lbl.pdf,Verified - FDA decisions only (partial pipeline view),Counts cover ONLY the FDA decisions that have been verified and tracked in this repository - they are not the company's full pipeline. Phase-by-phase progression and clinical holds are therefore reported as 0 rather than estimated; upgrade this row to a full pipeline scorecard by reading the company's own pipeline disclosure.
"ChemoCentryx, Inc. (acquired by Amgen, Oct 2022)",CCXI,1,1,0,0,0,FDA decisions tracked in this dataset: Tavneos (2021-10-07 - Approval),https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2021,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2021,Verified - FDA decisions only (partial pipeline view),Counts cover ONLY the FDA decisions that have been verified and tracked in this repository - they are not the company's full pipeline. Phase-by-phase progression and clinical holds are therefore reported as 0 rather than estimated; upgrade this row to a full pipeline scorecard by reading the company's own pipeline disclosure.
Mundipharma (current holder) / Cidara Therapeutics (applicant at approval),CDTX,1,1,0,0,0,FDA decisions tracked in this dataset: Rezzayo (2023-03-22 - Approval),https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/217417s000lbl.pdf,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/217417s000lbl.pdf,Verified - FDA decisions only (partial pipeline view),Counts cover ONLY the FDA decisions that have been verified and tracked in this repository - they are not the company's full pipeline. Phase-by-phase progression and clinical holds are therefore reported as 0 rather than estimated; upgrade this row to a full pipeline scorecard by reading the company's own pipeline disclosure.
Celcuity Inc.,CELC,1,1,0,0,0,FDA decisions tracked in this dataset: Revtorpyk (2026-07-14 - Approval),https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026,Verified - FDA decisions only (partial pipeline view),Counts cover ONLY the FDA decisions that have been verified and tracked in this repository - they are not the company's full pipeline. Phase-by-phase progression and clinical holds are therefore reported as 0 rather than estimated; upgrade this row to a full pipeline scorecard by reading the company's own pipeline disclosure.
Coherus BioSciences (now Coherus Oncology) with partner Junshi Biosciences,CHRS,1,1,0,0,0,FDA decisions tracked in this dataset: Loqtorzi (2023-10-27 - Approval),https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761240s000lbl.pdf,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761240s000lbl.pdf,Verified - FDA decisions only (partial pipeline view),Counts cover ONLY the FDA decisions that have been verified and tracked in this repository - they are not the company's full pipeline. Phase-by-phase progression and clinical holds are therefore reported as 0 rather than estimated; upgrade this row to a full pipeline scorecard by reading the company's own pipeline disclosure.
"Checkpoint Therapeutics, Inc. (acquired by Sun Pharma, 2025)",CKPT,1,1,0,0,0,FDA decisions tracked in this dataset: Unloxcyt (2024-12-13 - Approval),https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified - FDA decisions only (partial pipeline view),Counts cover ONLY the FDA decisions that have been verified and tracked in this repository - they are not the company's full pipeline. Phase-by-phase progression and clinical holds are therefore reported as 0 rather than estimated; upgrade this row to a full pipeline scorecard by reading the company's own pipeline disclosure.
Chimerix Inc.,CMRX,1,1,0,0,0,FDA decisions tracked in this dataset: Modeyso (2025-08-06 - Approval),https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/219876s000lbl.pdf,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/219876s000lbl.pdf,Verified - FDA decisions only (partial pipeline view),Counts cover ONLY the FDA decisions that have been verified and tracked in this repository - they are not the company's full pipeline. Phase-by-phase progression and clinical holds are therefore reported as 0 rather than estimated; upgrade this row to a full pipeline scorecard by reading the company's own pipeline disclosure.
Corcept Therapeutics Incorporated,CORT,1,1,0,0,0,FDA decisions tracked in this dataset: Lifyorli (2026-03-25 - Approval),https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026,Verified - FDA decisions only (partial pipeline view),Counts cover ONLY the FDA decisions that have been verified and tracked in this repository - they are not the company's full pipeline. Phase-by-phase progression and clinical holds are therefore reported as 0 rather than estimated; upgrade this row to a full pipeline scorecard by reading the company's own pipeline disclosure.
Catalyst Pharmaceuticals,CPRX,1,1,0,0,0,FDA decisions tracked in this dataset: Agamree (2023-10-26 - Approval),https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/215239s000lbl.pdf,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/215239s000lbl.pdf,Verified - FDA decisions only (partial pipeline view),Counts cover ONLY the FDA decisions that have been verified and tracked in this repository - they are not the company's full pipeline. Phase-by-phase progression and clinical holds are therefore reported as 0 rather than estimated; upgrade this row to a full pipeline scorecard by reading the company's own pipeline disclosure.
CorMedix,CRMD,1,1,0,0,0,FDA decisions tracked in this dataset: Defencath (2023-11-15 - Approval),https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/214520s000lbl.pdf,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/214520s000lbl.pdf,Verified - FDA decisions only (partial pipeline view),Counts cover ONLY the FDA decisions that have been verified and tracked in this repository - they are not the company's full pipeline. Phase-by-phase progression and clinical holds are therefore reported as 0 rather than estimated; upgrade this row to a full pipeline scorecard by reading the company's own pipeline disclosure.
Crinetics Pharmaceuticals,CRNX,1,1,0,0,0,FDA decisions tracked in this dataset: Palsonify (2025-09-25 - Approval),https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/219070s000lbl.pdf,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/219070s000lbl.pdf,Verified - FDA decisions only (partial pipeline view),Counts cover ONLY the FDA decisions that have been verified and tracked in this repository - they are not the company's full pipeline. Phase-by-phase progression and clinical holds are therefore reported as 0 rather than estimated; upgrade this row to a full pipeline scorecard by reading the company's own pipeline disclosure.
"Swedish Orphan Biovitrum, SOBI (current holder) / CTI BioPharma (applicant at approval)",CTIC,1,1,0,0,0,FDA decisions tracked in this dataset: Vonjo (2022-02-28 - Approval),https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/208712s000lbl.pdf,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/208712s000lbl.pdf,Verified - FDA decisions only (partial pipeline view),Counts cover ONLY the FDA decisions that have been verified and tracked in this repository - they are not the company's full pipeline. Phase-by-phase progression and clinical holds are therefore reported as 0 rather than estimated; upgrade this row to a full pipeline scorecard by reading the company's own pipeline disclosure.
Cytokinetics Incorporated,CYTK,1,1,0,0,0,FDA decisions tracked in this dataset: Myqorzo (2025-12-19 - Approval),https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/219083s000lbl.pdf,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/219083s000lbl.pdf,Verified - FDA decisions only (partial pipeline view),Counts cover ONLY the FDA decisions that have been verified and tracked in this repository - they are not the company's full pipeline. Phase-by-phase progression and clinical holds are therefore reported as 0 rather than estimated; upgrade this row to a full pipeline scorecard by reading the company's own pipeline disclosure.
Day One Biopharmaceuticals,DAWN,1,1,0,0,0,FDA decisions tracked in this dataset: Ojemda (2024-04-23 - Approval),https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/218033s000lbl.pdf,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/218033s000lbl.pdf,Verified - FDA decisions only (partial pipeline view),Counts cover ONLY the FDA decisions that have been verified and tracked in this repository - they are not the company's full pipeline. Phase-by-phase progression and clinical holds are therefore reported as 0 rather than estimated; upgrade this row to a full pipeline scorecard by reading the company's own pipeline disclosure.
Denali Therapeutics,DNLI,1,1,0,0,0,FDA decisions tracked in this dataset: Avlayah (2026-03-24 - Approval),https://practicalneurology.com/news/fda-approves-avlayah-for-neurologic-manifestations-of-hunter-syndrome/2486410/,https://practicalneurology.com/news/fda-approves-avlayah-for-neurologic-manifestations-of-hunter-syndrome/2486410/,Verified - FDA decisions only (partial pipeline view),Counts cover ONLY the FDA decisions that have been verified and tracked in this repository - they are not the company's full pipeline. Phase-by-phase progression and clinical holds are therefore reported as 0 rather than estimated; upgrade this row to a full pipeline scorecard by reading the company's own pipeline disclosure.
Daiichi Sankyo,DSNKY,1,1,0,0,0,FDA decisions tracked in this dataset: Vanflyta (2023-07-20 - Approval),https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/216993s000lbl.pdf,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/216993s000lbl.pdf,Verified - FDA decisions only (partial pipeline view),Counts cover ONLY the FDA decisions that have been verified and tracked in this repository - they are not the company's full pipeline. Phase-by-phase progression and clinical holds are therefore reported as 0 rather than estimated; upgrade this row to a full pipeline scorecard by reading the company's own pipeline disclosure.
Fortress Biotech / Cyprium Therapeutics (majority-owned subsidiary),FBIO,1,1,0,0,0,FDA decisions tracked in this dataset: Zycubo (2026-01-13 - Approval),https://globalgenes.org/raredaily/fda-approves-sentynls-therapy-for-menkes-disease/,https://globalgenes.org/raredaily/fda-approves-sentynls-therapy-for-menkes-disease/,Verified - FDA decisions only (partial pipeline view),Counts cover ONLY the FDA decisions that have been verified and tracked in this repository - they are not the company's full pipeline. Phase-by-phase progression and clinical holds are therefore reported as 0 rather than estimated; upgrade this row to a full pipeline scorecard by reading the company's own pipeline disclosure.
"Amicus Therapeutics (at approval; later acquired by BioMarin, closed Apr 2026)",FOLD,1,1,0,0,0,FDA decisions tracked in this dataset: Pombiliti (2023-09-28 - Approval),https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761204s000lbl.pdf,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761204s000lbl.pdf,Verified - FDA decisions only (partial pipeline view),Counts cover ONLY the FDA decisions that have been verified and tracked in this repository - they are not the company's full pipeline. Phase-by-phase progression and clinical holds are therefore reported as 0 rather than estimated; upgrade this row to a full pipeline scorecard by reading the company's own pipeline disclosure.
Galderma Group AG,GALD.SW,1,1,0,0,0,FDA decisions tracked in this dataset: Nemluvio (2024-08-12 - Approval),https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761390s000lbl.pdf,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761390s000lbl.pdf,Verified - FDA decisions only (partial pipeline view),Counts cover ONLY the FDA decisions that have been verified and tracked in this repository - they are not the company's full pipeline. Phase-by-phase progression and clinical holds are therefore reported as 0 rather than estimated; upgrade this row to a full pipeline scorecard by reading the company's own pipeline disclosure.
Guerbet SA,GBT.PA,1,1,0,0,0,FDA decisions tracked in this dataset: Elucirem (2022-09-21 - Approval),https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/216986s000lbl.pdf,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/216986s000lbl.pdf,Verified - FDA decisions only (partial pipeline view),Counts cover ONLY the FDA decisions that have been verified and tracked in this repository - they are not the company's full pipeline. Phase-by-phase progression and clinical holds are therefore reported as 0 rather than estimated; upgrade this row to a full pipeline scorecard by reading the company's own pipeline disclosure.
GE HealthCare Technologies,GEHC,1,1,0,0,0,FDA decisions tracked in this dataset: Flyrcado (2024-09-27 - Approval),https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/215168s000lbl.pdf,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/215168s000lbl.pdf,Verified - FDA decisions only (partial pipeline view),Counts cover ONLY the FDA decisions that have been verified and tracked in this repository - they are not the company's full pipeline. Phase-by-phase progression and clinical holds are therefore reported as 0 rather than estimated; upgrade this row to a full pipeline scorecard by reading the company's own pipeline disclosure.
Geron Corporation,GERN,1,1,0,0,0,FDA decisions tracked in this dataset: Rytelo (2024-06-06 - Approval),https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/217779s000lbl.pdf,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/217779s000lbl.pdf,Verified - FDA decisions only (partial pipeline view),Counts cover ONLY the FDA decisions that have been verified and tracked in this repository - they are not the company's full pipeline. Phase-by-phase progression and clinical holds are therefore reported as 0 rather than estimated; upgrade this row to a full pipeline scorecard by reading the company's own pipeline disclosure.
Genmab,GMAB,1,1,0,0,0,FDA decisions tracked in this dataset: Epkinly (2023-05-19 - Approval),https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761324s000lbl.pdf,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761324s000lbl.pdf,Verified - FDA decisions only (partial pipeline view),Counts cover ONLY the FDA decisions that have been verified and tracked in this repository - they are not the company's full pipeline. Phase-by-phase progression and clinical holds are therefore reported as 0 rather than estimated; upgrade this row to a full pipeline scorecard by reading the company's own pipeline disclosure.
Pharmacosmos Group (current holder) / G1 Therapeutics (applicant at approval),GTHX,1,1,0,0,0,FDA decisions tracked in this dataset: Cosela (2021-02-12 - Approval),,,Verified - FDA decisions only (partial pipeline view),Counts cover ONLY the FDA decisions that have been verified and tracked in this repository - they are not the company's full pipeline. Phase-by-phase progression and clinical holds are therefore reported as 0 rather than estimated; upgrade this row to a full pipeline scorecard by reading the company's own pipeline disclosure.
ImmunityBio,IBRX,1,1,0,0,0,FDA decisions tracked in this dataset: Anktiva (2024-04-22 - Approval),https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761336s000lbl.pdf,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761336s000lbl.pdf,Verified - FDA decisions only (partial pipeline view),Counts cover ONLY the FDA decisions that have been verified and tracked in this repository - they are not the company's full pipeline. Phase-by-phase progression and clinical holds are therefore reported as 0 rather than estimated; upgrade this row to a full pipeline scorecard by reading the company's own pipeline disclosure.
Immunocore Holdings,IMCR,1,1,0,0,0,FDA decisions tracked in this dataset: Kimmtrak (2022-01-25 - Approval),https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/761228s000lbl.pdf,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/761228s000lbl.pdf,Verified - FDA decisions only (partial pipeline view),Counts cover ONLY the FDA decisions that have been verified and tracked in this repository - they are not the company's full pipeline. Phase-by-phase progression and clinical holds are therefore reported as 0 rather than estimated; upgrade this row to a full pipeline scorecard by reading the company's own pipeline disclosure.
