company_name,ticker,exchange,us_investable_class,phase3_trials_tracked_2026_2027,phase3_active_or_recruiting,phase3_completed,phase3_paused_or_terminated,deep_dive_pipeline_programs,advanced_to_next_phase_count,paused_or_clinical_hold_count,clinical_progression_rate_pct,novel_nme_approvals,original_non_nme_approvals,label_expansions_approved,crl_rejections_tracked,total_fda_decisions_tracked,fda_approval_rate_pct,composite_clinical_score_0_100,success_grade,source_url_1,source_url_2,verification_status,notes
Cephalon (acquired by Teva 2011),CEPH,,FORMERLY US-LISTED (DELISTED/ACQUIRED),0,0,0,0,1,0,0,,1,0,0,0,1,100.0,64.5,C,https://web.archive.org/web/20090709172207if_/http://www.fda.gov/downloads/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/UCM081805.pdf,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 1 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
CoTherix (acquired by Actelion 2007),CTRX,NASDAQ,FORMERLY US-LISTED (DELISTED/ACQUIRED),0,0,0,0,1,0,0,,1,0,0,0,1,100.0,64.5,C,https://web.archive.org/web/20090709174612/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081677.htm,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 1 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
Durata Therapeutics (acquired by Actavis/Allergan 2014),DRTX,NASDAQ (delisted Dec 2014),US-LISTED,0,0,0,0,1,0,0,,1,5,3,0,1,100.0,64.5,C,https://web.archive.org/web/20190207172014/https://www.fda.gov/Drugs/DevelopmentApprovalProcess/DrugInnovation/ucm429249.htm,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 1 novel approval(s), 0 CRL(s) [approval rate 100.0%] | 5 original non-NME approval(s) | 3 label expansion(s)"
Dyax Corp. (acquired by Shire 2016),DYAX,NASDAQ,FORMERLY US-LISTED (DELISTED/ACQUIRED),0,0,0,0,1,0,0,,1,0,0,0,1,100.0,64.5,C,https://web.archive.org/web/20160514110748if_/http://www.fda.gov/downloads/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/UCM091096.pdf,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 1 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
Eyetech Pharmaceuticals (merged into OSI 2005),EYET,NASDAQ,FORMERLY US-LISTED (DELISTED/ACQUIRED),0,0,0,0,1,0,0,,1,0,0,0,1,100.0,64.5,C,https://web.archive.org/web/20090709174612/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081677.htm,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 1 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
Halozyme Therapeutics,HALO,NASDAQ,US-LISTED,0,0,0,0,1,0,0,,1,1,0,0,1,100.0,64.5,C,https://web.archive.org/web/20090709174606/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081676.htm,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 1 novel approval(s), 0 CRL(s) [approval rate 100.0%] | 1 original non-NME approval(s)"
Harmony Biosciences,HRMY,NASDAQ,US-LISTED,0,0,0,0,1,0,0,,1,1,2,0,1,100.0,64.5,C,https://www.fda.gov/media/133911/download,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 1 novel approval(s), 0 CRL(s) [approval rate 100.0%] | 1 original non-NME approval(s) | 2 label expansion(s)"
ImClone Systems (acquired by Lilly 2008),IMCL,,FORMERLY US-LISTED (DELISTED/ACQUIRED),0,0,0,0,1,0,0,,1,0,0,0,1,100.0,64.5,C,https://web.archive.org/web/20090709174612/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081677.htm,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 1 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
Immedica Pharma (current holder) / Marinus Pharmaceuticals (applicant at approval),MRNS,"formerly NASDAQ:MRNS, delisted Feb 2025",FORMERLY US-LISTED (DELISTED/ACQUIRED),0,0,0,0,1,0,0,,1,0,0,0,1,100.0,64.5,C,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/215904s000lbl.pdf,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 1 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
Immunocore Holdings,IMCR,NASDAQ,US-LISTED,0,0,0,0,1,0,0,,1,0,0,0,1,100.0,64.5,C,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/761228s000lbl.pdf,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 1 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
"InterMune, Inc. (acquired by Roche 2014)",ITMN,NASDAQ (delisted 2014),US-LISTED,0,0,0,0,1,0,0,,1,0,0,0,1,100.0,64.5,C,https://web.archive.org/web/20190207172014/https://www.fda.gov/Drugs/DevelopmentApprovalProcess/DrugInnovation/ucm429249.htm,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 1 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
"Intercept Pharmaceuticals, Inc.",ICPT,NASDAQ,US-LISTED,0,0,0,0,1,0,0,,1,0,0,0,1,100.0,64.5,C,https://web.archive.org/web/20190207172630/https://www.fda.gov/Drugs/DevelopmentApprovalProcess/DrugInnovation/ucm483775.htm,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 1 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
La Jolla Pharmaceutical Company,LJPC,NASDAQ,US-LISTED,0,0,0,0,1,0,0,,1,0,0,0,1,100.0,64.5,C,https://web.archive.org/web/20240430031316/https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2017,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 1 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
"Melinta Therapeutics, Inc.",MLNT,NASDAQ (delisted/bankrupt 2019),US-LISTED,0,0,0,0,1,0,0,,1,2,5,0,1,100.0,64.5,C,https://web.archive.org/web/20240430031316/https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2017,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 1 novel approval(s), 0 CRL(s) [approval rate 100.0%] | 2 original non-NME approval(s) | 5 label expansion(s)"
Millennium Pharmaceuticals (acquired by Takeda 2008),MLNM,,FORMERLY US-LISTED (DELISTED/ACQUIRED),0,0,0,0,1,0,0,,1,0,0,0,1,100.0,64.5,C,https://web.archive.org/web/20090709174608/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081680.htm,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 1 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
Mundipharma (current holder) / Cidara Therapeutics (applicant at approval),CDTX,"formerly NASDAQ:CDTX, delisted Jan 2026",FORMERLY US-LISTED (DELISTED/ACQUIRED),0,0,0,0,1,0,0,,1,0,0,0,1,100.0,64.5,C,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/217417s000lbl.pdf,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 1 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
Myovant Sciences GmbH,MYOV,NASDAQ,US-LISTED,0,0,0,0,1,0,0,,1,0,0,0,1,100.0,64.5,C,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2020/214621Orig1s000Approv.pdf,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 1 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
Nabriva Therapeutics (delisted 2023),NBRW,NASDAQ,FORMERLY US-LISTED (DELISTED/ACQUIRED),0,0,0,0,1,0,0,,1,0,0,0,1,100.0,64.5,C,https://www.fda.gov/media/133911/download,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 1 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
OSI Pharmaceuticals (acquired by Astellas 2010),OSIP,NASDAQ,FORMERLY US-LISTED (DELISTED/ACQUIRED),0,0,0,0,1,0,0,,1,0,0,0,1,100.0,64.5,C,https://web.archive.org/web/20090709174612/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081677.htm,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 1 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
Onyx Pharmaceuticals (acquired by Amgen 2013),ONXX,NASDAQ (delisted 2013),US-LISTED,0,0,0,0,1,0,0,,1,0,0,0,1,100.0,64.5,C,https://web.archive.org/web/20161022052126/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/DrugInnovation/ucm336117.htm,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 1 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
Optimer Pharmaceuticals (acquired by Cubist/Merck 2013-15),OPTR,NASDAQ (delisted 2013),US-LISTED,0,0,0,0,1,0,0,,1,0,0,0,1,100.0,64.5,C,https://web.archive.org/web/20190207172014/http://wayback.archive-it.org/7993/20170112022004/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/DrugInnovation/ucm285489.htm,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 1 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
"Orphan Europe (Recordati group, Italy)",REC,,NON-US LISTING ONLY,0,0,0,0,1,0,0,,1,0,0,0,1,100.0,64.5,C,https://web.archive.org/web/20110614054533if_/http://www.fda.gov/downloads/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/UCM242677.pdf,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 1 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
Orphan Medical (acquired by Jazz 2005),ORPH,NASDAQ,FORMERLY US-LISTED (DELISTED/ACQUIRED),0,0,0,0,1,0,0,,1,0,0,0,1,100.0,64.5,C,https://web.archive.org/web/20090709174607/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081683.htm,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 1 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
Paladin Therapeutics (acquired by Endo International Feb 2014),ENDP,NASDAQ (later OTC/now delisted),US-LISTED (ADR),0,0,0,0,1,0,0,,1,0,0,0,1,100.0,64.5,C,https://web.archive.org/web/20190207172014/https://www.fda.gov/Drugs/DevelopmentApprovalProcess/DrugInnovation/ucm429249.htm,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 1 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
Pharmacosmos Group (current holder) / G1 Therapeutics (applicant at approval),GTHX,"formerly NASDAQ:GTHX, delisted Sep 2024",FORMERLY US-LISTED (DELISTED/ACQUIRED),0,0,0,0,1,0,0,,1,0,0,0,1,100.0,64.5,C,https://www.fda.gov/drugs,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 1 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
Pharmacyclics Inc. (acquired by AbbVie 2015),PCYC,NASDAQ (delisted May 2015),US-LISTED,0,0,0,0,1,0,0,,1,2,24,0,1,100.0,64.5,C,https://web.archive.org/web/20190207172014/http://wayback.archive-it.org/7993/20170112022004/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/DrugInnovation/ucm370175.htm,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 1 novel approval(s), 0 CRL(s) [approval rate 100.0%] | 2 original non-NME approval(s) | 24 label expansion(s)"
Pharming Group,PHAR,NASDAQ (ADS),US-LISTED (ADR),0,0,0,0,1,0,0,,1,0,1,0,1,100.0,64.5,C,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/217759s000lbl.pdf,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 1 novel approval(s), 0 CRL(s) [approval rate 100.0%] | 1 label expansion(s)"
Pharmion Corp. (acquired by Celgene 2008),PHRM,NASDAQ,FORMERLY US-LISTED (DELISTED/ACQUIRED),0,0,0,0,1,0,0,,1,0,0,0,1,100.0,64.5,C,https://web.archive.org/web/20090709174612/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081677.htm,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 1 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
Praecis Pharmaceuticals (acquired by Amgen 2007),PRCS,NASDAQ,FORMERLY US-LISTED (DELISTED/ACQUIRED),0,0,0,0,1,0,0,,1,0,0,0,1,100.0,64.5,C,https://web.archive.org/web/20090709174608/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081680.htm,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 1 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
QLT Inc. (delisted 2012),QLTI,NASDAQ,FORMERLY US-LISTED (DELISTED/ACQUIRED),0,0,0,0,1,0,0,,1,0,0,0,1,100.0,64.5,C,https://web.archive.org/web/20090709174610/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081685.htm,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 1 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
Sanofi (current holder) / Provention Bio (applicant at approval),PRVB,"formerly NASDAQ:PRVB, delisted 2023",FORMERLY US-LISTED (DELISTED/ACQUIRED),0,0,0,0,1,0,0,,1,0,0,0,1,100.0,64.5,C,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/761183s000lbl.pdf,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 1 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
Santen Pharmaceutical (Japan),4536,TSE,NON-US LISTING ONLY,0,0,0,0,1,0,0,,1,0,0,0,1,100.0,64.5,C,https://web.archive.org/web/20090709174613/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081686.htm,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 1 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
Savient Pharmaceuticals (bankrupt 2013),SVNT,NASDAQ,FORMERLY US-LISTED (DELISTED/ACQUIRED),0,0,0,0,1,0,0,,1,0,0,0,1,100.0,64.5,C,https://web.archive.org/web/20110614054533if_/http://www.fda.gov/downloads/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/UCM242677.pdf,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 1 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
Swedish Orphan International (now Sobi),SOBI,,NON-US LISTING ONLY,0,0,0,0,1,0,0,,1,0,0,0,1,100.0,64.5,C,https://web.archive.org/web/20090709174607/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081683.htm,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 1 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
Syndax Pharmaceuticals,SNDX,NASDAQ,US-LISTED,0,0,0,0,1,0,0,,1,0,1,0,1,100.0,64.5,C,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/218944s000lbl.pdf,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 1 novel approval(s), 0 CRL(s) [approval rate 100.0%] | 1 label expansion(s)"
Tercica (acquired by Ipsen 2008),TRCA,NASDAQ,FORMERLY US-LISTED (DELISTED/ACQUIRED),0,0,0,0,1,0,0,,1,0,0,0,1,100.0,64.5,C,https://web.archive.org/web/20090709174606/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081676.htm,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 1 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
Eisai Co. (Japan),4523,TSE,NON-US LISTING ONLY,0,0,0,0,4,0,0,,4,0,0,0,4,100.0,63.8,C,https://web.archive.org/web/20110614054533if_/http://www.fda.gov/downloads/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/UCM242677.pdf,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 4 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
Johnson & Johnson (Janssen Biotech),JNJ,NYSE,US-LISTED,10,9,1,0,40,18,3,85.7,28,36,273,1,29,96.6,63.7,C,https://www.jnj.com/innovation/pipeline,https://web.archive.org/web/20090709174616/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081684.htm,Verified - Deep-Dive Pipeline & FDA Record,"10 Phase 3 study(ies) completing 2026-2027 in CT.gov registry (9 active, 1 completed) | Pipeline progression: 18 advanced, 3 paused/on hold | FDA outcomes: 28 novel approval(s), 1 CRL(s) [approval rate 96.6%] | 36 original non-NME approval(s) | 273 label expansion(s)"
Acacia Pharma Group (Merck KGaA 2022),ACP,LSE (AIM); delisted 2022,NON-US LISTING ONLY,0,0,0,0,2,0,0,,2,0,0,0,2,100.0,63.6,C,http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=212295,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 2 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
Array BioPharma Inc.,ARRY,NASDAQ,US-LISTED,0,0,0,0,2,0,0,,2,0,13,0,2,100.0,63.6,C,https://web.archive.org/web/20240420232222/https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2018,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 2 novel approval(s), 0 CRL(s) [approval rate 100.0%] | 13 label expansion(s)"
Mayne Pharma Group Limited,MYX.AX,ASX; no US listing,NON-US LISTING ONLY,0,0,0,0,2,0,0,,2,0,0,0,2,100.0,63.6,C,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2021,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 2 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
"Shionogi & Co., Ltd. (Japan)",4507,TSE,NON-US LISTING ONLY,0,0,0,0,2,0,0,,2,0,0,0,2,100.0,63.6,C,http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=210923,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 2 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
"Taiho Oncology, Inc. (subsidiary of Otsuka Holdings)",OTSKY,OTC ADR; primary TSE:4578,US-LISTED (ADR),0,0,0,0,2,0,0,,2,3,8,0,2,100.0,63.6,C,https://web.archive.org/web/20190207172632/https://www.fda.gov/Drugs/DevelopmentApprovalProcess/DrugInnovation/ucm430302.htm,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 2 novel approval(s), 0 CRL(s) [approval rate 100.0%] | 3 original non-NME approval(s) | 8 label expansion(s)"
argenx SE,ARGX,NASDAQ,US-LISTED,3,2,1,0,1,0,0,,1,0,0,0,1,100.0,63.2,C,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2021,https://clinicaltrials.gov/study/NCT04812925,Verified - Phase 3 Registry + FDA Outcomes,"3 Phase 3 study(ies) completing 2026-2027 in CT.gov registry (2 active, 1 completed) | Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 1 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
Abbott Laboratories,ABT,NYSE,US-LISTED,0,0,0,0,3,0,0,,3,1,3,0,3,100.0,61.8,C,https://web.archive.org/web/20090709174612/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081677.htm,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 3 novel approval(s), 0 CRL(s) [approval rate 100.0%] | 1 original non-NME approval(s) | 3 label expansion(s)"
"Eisai Co., Ltd.",ESALY,OTC ADR; primary TSE:4523,US-LISTED (ADR),0,0,0,0,3,0,0,,3,6,21,0,3,100.0,61.8,C,https://www.fda.gov/media/133911/download,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 3 novel approval(s), 0 CRL(s) [approval rate 100.0%] | 6 original non-NME approval(s) | 21 label expansion(s)"
Salix Pharmaceuticals (acquired by Valeant/Bausch 2015),SLXP,NASDAQ,FORMERLY US-LISTED (DELISTED/ACQUIRED),0,0,0,0,3,0,0,,3,0,0,0,3,100.0,61.8,C,https://web.archive.org/web/20161022052126/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/DrugInnovation/ucm336117.htm,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 3 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
Insmed Incorporated,INSM,NASDAQ,US-LISTED,2,1,1,0,2,0,0,,2,1,1,0,2,100.0,60.8,C,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/217673s000lbl.pdf,https://clinicaltrials.gov/study/NCT05649748,Verified - Phase 3 Registry + FDA Outcomes,"2 Phase 3 study(ies) completing 2026-2027 in CT.gov registry (1 active, 1 completed) | Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 2 novel approval(s), 0 CRL(s) [approval rate 100.0%] | 1 original non-NME approval(s) | 1 label expansion(s)"
Allergan (acquired by AbbVie 2020),AGN,NYSE,FORMERLY US-LISTED (DELISTED/ACQUIRED),0,0,0,0,2,0,0,,2,0,0,0,2,100.0,60.5,C,https://web.archive.org/web/20090709174608/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081680.htm,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 2 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
Elan Corp. (acquired by Perrigo 2013),ELN,NYSE,FORMERLY US-LISTED (DELISTED/ACQUIRED),0,0,0,0,2,0,0,,2,0,0,0,2,100.0,60.5,C,https://web.archive.org/web/20090709174612/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081677.htm,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 2 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
ISTA Pharmaceuticals (acquired by Bausch & Lomb 2012),ISTA,NASDAQ,FORMERLY US-LISTED (DELISTED/ACQUIRED),0,0,0,0,2,0,0,,2,0,0,0,2,100.0,60.5,C,https://web.archive.org/web/20160514110748if_/http://www.fda.gov/downloads/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/UCM091096.pdf,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 2 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
Mallinckrodt Pharmaceuticals,MNK,"formerly NYSE:MNK, equity cancelled 2023",FORMERLY US-LISTED (DELISTED/ACQUIRED),0,0,0,0,2,0,0,,2,0,0,0,2,100.0,60.5,C,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/022231s000lbl.pdf,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 2 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
NPS Pharmaceuticals (acquired by Shire/Takeda 2015),NPSP,NASDAQ (delisted Feb 2015),US-LISTED,0,0,0,0,2,0,0,,2,0,0,0,2,100.0,60.5,C,https://web.archive.org/web/20190207172632/https://www.fda.gov/Drugs/DevelopmentApprovalProcess/DrugInnovation/ucm430302.htm,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 2 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
