company_name,ticker,drug_name,recent_clinical_trial_result,fda_decision,fda_decision_date,fda_decision_type,stock_pricing_before,stock_pricing_after,pct_change_on_decision,stock_price_t1,pct_change_t1,stock_pricing_summary,company_success_rate_summary,company_score,company_score_grade,company_success_rate_pct,total_drugs_in_profile,approved_drugs,phase3_programs,paused_or_hold,advanced_to_next_phase,review_pathway,indication,fda_source_url,secondary_source_url,verification_status,us_investable_class,notes
"King Pharmaceuticals, Inc.",,See FDA letter,See FDA CRL letter - indication in application,Complete Response Letter (Rejection) on 2009-05-15 for See FDA letter (See FDA CRL letter - indication in application) - Pathway: Not stated,2009-05-15,Complete Response Letter (Rejection),,,,,,Before: N/A on N/A -> After: N/A on 2009-05-15 (N/A%); T+1: N/A (N/A%),"Score: 10.8 Grade: E Success Rate: N/A% - Profile: N/A total, N/A approved, 0 Phase3, 0 paused, 0 advanced",10.8,E,,,,,,,,See FDA CRL letter - indication in application,"https://api.fda.gov/transparency/crl.json?search=company_name:""King Pharmaceuticals, Inc.""",https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=022377,Verified - FLAGGED (sponsor/equity not yet resolved),,"Decision engine analysis row: King Pharmaceuticals, Inc. See FDA letter Complete Response Letter (Rejection) 2009-05-15. Trial result: See FDA CRL letter - indication in application. Stock: Before: N/A on N/A -> After: N/A on 2009-05-15 (N/A%); T+1: N/A (N/A%). Score: Score: 10.8 Grade: E Success Rate: N/A% - Profile: N/A total, N/A approved, 0 Phase3, 0 paused, 0 ad. Sources: https://api.fda.gov/transparency/crl.json?search=company_name:""King Pharmaceuticals, Inc."" + https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=022377"
Vanda Pharmaceuticals,VNDA,Fanapt (Iloperidone),SCHIZOPHRENIA. [US commercialization later licensed to Novartis 2010-2022; returned to Vanda.],Approval on 2009-05-06 for Fanapt (Iloperidone) (SCHIZOPHRENIA. [US commercialization later licensed to Novartis 2010-2022; retur) - Pathway: Standard,2009-05-06,Approval,1.09,1.08,-0.92,7.84,619.27,Before: 1.09 on 2009-05-05 -> After: 1.08 on 2009-05-06 (-0.92%); T+1: 7.84 (619.27%),"Score: 59.1 Grade: C Success Rate: 37.5% - Profile: 8 total, 3 approved, 3 Phase3, 1 paused, 2 advanced",59.1,C,37.5,8,3,3,1,2,Standard,SCHIZOPHRENIA. [US commercialization later licensed to Novartis 2010-2022; returned to Vanda.],https://web.archive.org/web/20160514110748if_/http://www.fda.gov/downloads/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/UCM091096.pdf,http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=022192,Verified,US-LISTED,"Decision engine analysis row: Vanda Pharmaceuticals Fanapt (Iloperidone) Approval 2009-05-06. Trial result: SCHIZOPHRENIA. [US commercialization later licensed to Novartis 2010-2022; returned to Vanda.]. Stock: Before: 1.09 on 2009-05-05 -> After: 1.08 on 2009-05-06 (-0.92%); T+1: 7.84 (619.27%). Score: Score: 59.1 Grade: C Success Rate: 37.5% - Profile: 8 total, 3 approved, 3 Phase3, 1 paused, 2 advan. Sources: https://web.archive.org/web/20160514110748if_/http://www.fda.gov/downloads/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/UCM091096.pdf + http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=022192"
Ipsen SA (France),IPSEY,Dysport (AbobotulinumtoxinA),TREATMENT OF CERVICAL DYSTONIA (SPASMODIC TORTICOLLIS). [US commercialization partner: Ipsen/Medicis.],Approval on 2009-04-29 for Dysport (AbobotulinumtoxinA) (TREATMENT OF CERVICAL DYSTONIA (SPASMODIC TORTICOLLIS). [US commercialization pa) - Pathway: Standard,2009-04-29,Approval,,,,,,Before: N/A on N/A -> After: N/A on 2009-04-29 (N/A%); T+1: N/A (N/A%),"Score: 48.9 Grade: D Success Rate: 100.0% - Profile: 2 total, 2 approved, 3 Phase3, 0 paused, 0 advanced",48.9,D,100.0,2,2,3,0,0,Standard,TREATMENT OF CERVICAL DYSTONIA (SPASMODIC TORTICOLLIS). [US commercialization partner: Ipsen/Medicis.],https://web.archive.org/web/20160514110748if_/http://www.fda.gov/downloads/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/UCM091096.pdf,http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=125274,Verified,NON-US LISTING ONLY,"Decision engine analysis row: Ipsen SA (France) Dysport (AbobotulinumtoxinA) Approval 2009-04-29. Trial result: TREATMENT OF CERVICAL DYSTONIA (SPASMODIC TORTICOLLIS). [US commercialization partner: Ipsen/Medicis. Stock: Before: N/A on N/A -> After: N/A on 2009-04-29 (N/A%); T+1: N/A (N/A%). Score: Score: 48.9 Grade: D Success Rate: 100.0% - Profile: 2 total, 2 approved, 3 Phase3, 0 paused, 0 adva. Sources: https://web.archive.org/web/20160514110748if_/http://www.fda.gov/downloads/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/UCM091096.pdf + http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=125274"
Centocor (Johnson & Johnson),JNJ,Simponi (Golimumab),"NEW BLA FOR RHEUMATOID ARTHRITIS, PSORIATIC ARTHRITIS AND ANKYLOSING SPONDYLITIS.","Approval on 2009-04-24 for Simponi (Golimumab) (NEW BLA FOR RHEUMATOID ARTHRITIS, PSORIATIC ARTHRITIS AND ANKYLOSING SPONDYLITIS) - Pathway: Standard",2009-04-24,Approval,51.4,50.92,-0.93,50.86,-1.05,Before: 51.4 on 2009-04-23 -> After: 50.92 on 2009-04-24 (-0.93%); T+1: 50.86 (-1.05%),"Score: 64.6 Grade: C Success Rate: 60.0% - Profile: 40 total, 24 approved, 10 Phase3, 3 paused, 18 advanced",64.6,C,60.0,40,24,10,3,18,Standard,"NEW BLA FOR RHEUMATOID ARTHRITIS, PSORIATIC ARTHRITIS AND ANKYLOSING SPONDYLITIS.",https://web.archive.org/web/20160514110748if_/http://www.fda.gov/downloads/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/UCM091096.pdf,http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=125289,Verified,US-LISTED,"Decision engine analysis row: Centocor (Johnson & Johnson) Simponi (Golimumab) Approval 2009-04-24. Trial result: NEW BLA FOR RHEUMATOID ARTHRITIS, PSORIATIC ARTHRITIS AND ANKYLOSING SPONDYLITIS.. Stock: Before: 51.4 on 2009-04-23 -> After: 50.92 on 2009-04-24 (-0.93%); T+1: 50.86 (-1.05%). Score: Score: 64.6 Grade: C Success Rate: 60.0% - Profile: 40 total, 24 approved, 10 Phase3, 3 paused, 18 a. Sources: https://web.archive.org/web/20160514110748if_/http://www.fda.gov/downloads/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/UCM091096.pdf + http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=125289"
Sciele Pharma (acquired by Shionogi 2008),SCRL,Ulesfia (Benzyl Alcohol),INDICATED FOR PTS INFECTED WITH PEDICULUS HUMANUS CAPITIS (HEAD LICE) OF THE SCALP HAIR. [FDA PDF prints 'CAPITAS'; corrected with verbatim flag.],Approval on 2009-04-09 for Ulesfia (Benzyl Alcohol) (INDICATED FOR PTS INFECTED WITH PEDICULUS HUMANUS CAPITIS (HEAD LICE) OF THE SCA) - Pathway: Standard,2009-04-09,Approval,,,,,,Before: N/A on N/A -> After: N/A on 2009-04-09 (N/A%); T+1: N/A (N/A%),"Score: 41.5 Grade: D Success Rate: 100.0% - Profile: 1 total, 1 approved, 0 Phase3, 0 paused, 0 advanced",41.5,D,100.0,1,1,0,0,0,Standard,INDICATED FOR PTS INFECTED WITH PEDICULUS HUMANUS CAPITIS (HEAD LICE) OF THE SCALP HAIR. [FDA PDF prints 'CAPITAS'; corrected with verbatim flag.],https://web.archive.org/web/20160514110748if_/http://www.fda.gov/downloads/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/UCM091096.pdf,http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=022129,Verified - FLAGGED (source-verbatim note),FORMERLY US-LISTED (DELISTED/ACQUIRED),"Decision engine analysis row: Sciele Pharma (acquired by Shionogi 2008) Ulesfia (Benzyl Alcohol) Approval 2009-04-09. Trial result: INDICATED FOR PTS INFECTED WITH PEDICULUS HUMANUS CAPITIS (HEAD LICE) OF THE SCALP HAIR. [FDA PDF pr. Stock: Before: N/A on N/A -> After: N/A on 2009-04-09 (N/A%); T+1: N/A (N/A%). Score: Score: 41.5 Grade: D Success Rate: 100.0% - Profile: 1 total, 1 approved, 0 Phase3, 0 paused, 0 adva. Sources: https://web.archive.org/web/20160514110748if_/http://www.fda.gov/downloads/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/UCM091096.pdf + http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=022129"
Novartis AG,NVS,Coartem (Artemether 20mg/Lumefantrine 120mg),TREATMENT OF INFECTIONS DUE TO PLASMODIUM FALCIPARUM OR MIXED INFECTIONS INCLUDING P. FALCIPARUM,Approval on 2009-04-07 for Coartem (Artemether 20mg/Lumefantrine 120mg) (TREATMENT OF INFECTIONS DUE TO PLASMODIUM FALCIPARUM OR MIXED INFECTIONS INCLUDI) - Pathway: Priority,2009-04-07,Approval,33.3423,33.4319,0.27,33.3961,0.16,Before: 33.3423 on 2009-04-06 -> After: 33.4319 on 2009-04-07 (0.27%); T+1: 33.3961 (0.16%),"Score: 70.2 Grade: B Success Rate: 66.66666666666666% - Profile: 48 total, 32 approved, 17 Phase3, 3 paused, 24 advanced",70.2,B,66.66666666666666,48,32,17,3,24,Priority,TREATMENT OF INFECTIONS DUE TO PLASMODIUM FALCIPARUM OR MIXED INFECTIONS INCLUDING P. FALCIPARUM,https://web.archive.org/web/20160514110748if_/http://www.fda.gov/downloads/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/UCM091096.pdf,http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=022268,Verified,US-LISTED,"Decision engine analysis row: Novartis AG Coartem (Artemether 20mg/Lumefantrine 120mg) Approval 2009-04-07. Trial result: TREATMENT OF INFECTIONS DUE TO PLASMODIUM FALCIPARUM OR MIXED INFECTIONS INCLUDING P. FALCIPARUM. Stock: Before: 33.3423 on 2009-04-06 -> After: 33.4319 on 2009-04-07 (0.27%); T+1: 33.3961 (0.16%). Score: Score: 70.2 Grade: B Success Rate: 66.66666666666666% - Profile: 48 total, 32 approved, 17 Phase3, 3. Sources: https://web.archive.org/web/20160514110748if_/http://www.fda.gov/downloads/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/UCM091096.pdf + http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=022268"
Novartis AG,NVS,Afinitor (Everolimus),TREATMENT OF ADVANCED RENAL CELL CARCINOMA.,Approval on 2009-03-30 for Afinitor (Everolimus) (TREATMENT OF ADVANCED RENAL CELL CARCINOMA.) - Pathway: Priority,2009-03-30,Approval,33.172,32.7509,-1.27,33.8979,2.19,Before: 33.172 on 2009-03-27 -> After: 32.7509 on 2009-03-30 (-1.27%); T+1: 33.8979 (2.19%),"Score: 70.2 Grade: B Success Rate: 66.66666666666666% - Profile: 48 total, 32 approved, 17 Phase3, 3 paused, 24 advanced",70.2,B,66.66666666666666,48,32,17,3,24,Priority,TREATMENT OF ADVANCED RENAL CELL CARCINOMA.,https://web.archive.org/web/20160514110748if_/http://www.fda.gov/downloads/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/UCM091096.pdf,http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=022334,Verified,US-LISTED,"Decision engine analysis row: Novartis AG Afinitor (Everolimus) Approval 2009-03-30. Trial result: TREATMENT OF ADVANCED RENAL CELL CARCINOMA.. Stock: Before: 33.172 on 2009-03-27 -> After: 32.7509 on 2009-03-30 (-1.27%); T+1: 33.8979 (2.19%). Score: Score: 70.2 Grade: B Success Rate: 66.66666666666666% - Profile: 48 total, 32 approved, 17 Phase3, 3. Sources: https://web.archive.org/web/20160514110748if_/http://www.fda.gov/downloads/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/UCM091096.pdf + http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=022334"
Takeda Pharmaceutical Co. (Japan),4502,Uloric (Febuxostat),MANAGEMENT OF HYPERURICEMIA IN PATIENTS WITH GOUT. [IRREGULARITY: Uloric withdrawn by Takeda Feb 2025 after CV-safety review.],Approval on 2009-02-13 for Uloric (Febuxostat) (MANAGEMENT OF HYPERURICEMIA IN PATIENTS WITH GOUT. [IRREGULARITY: Uloric withdra) - Pathway: Standard,2009-02-13,Approval,,,,,,Before: N/A on N/A -> After: N/A on 2009-02-13 (N/A%); T+1: N/A (N/A%),"Score: 74.6 Grade: B Success Rate: 100.0% - Profile: 5 total, 9 approved, 0 Phase3, 0 paused, 0 advanced",74.6,B,100.0,5,9,0,0,0,Standard,MANAGEMENT OF HYPERURICEMIA IN PATIENTS WITH GOUT. [IRREGULARITY: Uloric withdrawn by Takeda Feb 2025 after CV-safety review.],https://web.archive.org/web/20160514110748if_/http://www.fda.gov/downloads/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/UCM091096.pdf,http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=021856,Verified - FLAGGED (source-verbatim note),NON-US LISTING ONLY,"Decision engine analysis row: Takeda Pharmaceutical Co. (Japan) Uloric (Febuxostat) Approval 2009-02-13. Trial result: MANAGEMENT OF HYPERURICEMIA IN PATIENTS WITH GOUT. [IRREGULARITY: Uloric withdrawn by Takeda Feb 202. Stock: Before: N/A on N/A -> After: N/A on 2009-02-13 (N/A%); T+1: N/A (N/A%). Score: Score: 74.6 Grade: B Success Rate: 100.0% - Profile: 5 total, 9 approved, 0 Phase3, 0 paused, 0 adva. Sources: https://web.archive.org/web/20160514110748if_/http://www.fda.gov/downloads/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/UCM091096.pdf + http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=021856"
Cypress Bioscience (take-private 2010),CYPB,Savella (Milnacipran HCl Tablets),TREATMENT OF FIBROMYALGIA SYNDROME. [US partner: Pierre Fabre/Cypress; marketed by Forest/Roche.],Approval on 2009-01-14 for Savella (Milnacipran HCl Tablets) (TREATMENT OF FIBROMYALGIA SYNDROME. [US partner: Pierre Fabre/Cypress; marketed ) - Pathway: Standard,2009-01-14,Approval,,,,,,Before: N/A on N/A -> After: N/A on 2009-01-14 (N/A%); T+1: N/A (N/A%),"Score: 41.5 Grade: D Success Rate: 100.0% - Profile: 1 total, 1 approved, 0 Phase3, 0 paused, 0 advanced",41.5,D,100.0,1,1,0,0,0,Standard,TREATMENT OF FIBROMYALGIA SYNDROME. [US partner: Pierre Fabre/Cypress; marketed by Forest/Roche.],https://web.archive.org/web/20160514110748if_/http://www.fda.gov/downloads/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/UCM091096.pdf,http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=022256,Verified,FORMERLY US-LISTED (DELISTED/ACQUIRED),"Decision engine analysis row: Cypress Bioscience (take-private 2010) Savella (Milnacipran HCl Tablets) Approval 2009-01-14. Trial result: TREATMENT OF FIBROMYALGIA SYNDROME. [US partner: Pierre Fabre/Cypress; marketed by Forest/Roche.]. Stock: Before: N/A on N/A -> After: N/A on 2009-01-14 (N/A%); T+1: N/A (N/A%). Score: Score: 41.5 Grade: D Success Rate: 100.0% - Profile: 1 total, 1 approved, 0 Phase3, 0 paused, 0 adva. Sources: https://web.archive.org/web/20160514110748if_/http://www.fda.gov/downloads/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/UCM091096.pdf + http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=022256"
Ferring Pharmaceuticals (private),,Firmagon (degarelix),degarelix is a GnRH receptor antagonist indicated for treatment of patients with advanced prostate cancer.,Approval on 2008-12-24 for Firmagon (degarelix) (degarelix is a GnRH receptor antagonist indicated for treatment of patients with) - Pathway: Standard,2008-12-24,Approval,,,,,,Before: N/A on N/A -> After: N/A on 2008-12-24 (N/A%); T+1: N/A (N/A%),"Score: N/A Grade: N/A Success Rate: N/A% - Profile: N/A total, N/A approved, 0 Phase3, 0 paused, 0 advanced",,,,,,,,,Standard,degarelix is a GnRH receptor antagonist indicated for treatment of patients with advanced prostate cancer.,https://www.fda.gov/media/177921/download?attachment,http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=022201,Verified,PRIVATE / NO EQUITY,"Decision engine analysis row: Ferring Pharmaceuticals (private) Firmagon (degarelix) Approval 2008-12-24. Trial result: degarelix is a GnRH receptor antagonist indicated for treatment of patients with advanced prostate c. Stock: Before: N/A on N/A -> After: N/A on 2008-12-24 (N/A%); T+1: N/A (N/A%). Score: Score: N/A Grade: N/A Success Rate: N/A% - Profile: N/A total, N/A approved, 0 Phase3, 0 paused, 0 a. Sources: https://www.fda.gov/media/177921/download?attachment + http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=022201"
Epix Pharmaceuticals (delisted; Vasovist later Lantheus),EPIX,Vasovist (gadofosveset trisodium),VASOVIST is indicated for use as a contrast agent in magnetic resonance angiography (MRA) to evaluate aortoiliac occlusive disease (AIOD) in adults with known or suspected peripheral vascular disease.,Approval on 2008-12-22 for Vasovist (gadofosveset trisodium) (VASOVIST is indicated for use as a contrast agent in magnetic resonance angiogra) - Pathway: Standard,2008-12-22,Approval,,,,,,Before: N/A on N/A -> After: N/A on 2008-12-22 (N/A%); T+1: N/A (N/A%),"Score: 41.5 Grade: D Success Rate: 100.0% - Profile: 1 total, 1 approved, 0 Phase3, 0 paused, 0 advanced",41.5,D,100.0,1,1,0,0,0,Standard,VASOVIST is indicated for use as a contrast agent in magnetic resonance angiography (MRA) to evaluate aortoiliac occlusive disease (AIOD) in adults with known or suspected peripheral vascular disease.,https://www.fda.gov/media/177921/download?attachment,http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=021711,Verified,FORMERLY US-LISTED (DELISTED/ACQUIRED),"Decision engine analysis row: Epix Pharmaceuticals (delisted; Vasovist later Lantheus) Vasovist (gadofosveset trisodium) Approval 2008-12-22. Trial result: VASOVIST is indicated for use as a contrast agent in magnetic resonance angiography (MRA) to evaluat. Stock: Before: N/A on N/A -> After: N/A on 2008-12-22 (N/A%); T+1: N/A (N/A%). Score: Score: 41.5 Grade: D Success Rate: 100.0% - Profile: 1 total, 1 approved, 0 Phase3, 0 paused, 0 adva. Sources: https://www.fda.gov/media/177921/download?attachment + http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=021711"
Genzyme (acquired by Sanofi 2011),GENZ,Mozobil (Plerixafor),"USE IN COMBINATION WITH GRANULOCYTE COLONY-STIMULATING FACTOR (G-CSF) TO MOBILIZE HEMATOPOIETIC STEM CELLS TO THE PERIPHERAL BLOOD FOR COLLECTION AND SUBSEQUENT AUTOLOGOUS TRANSPLANTATION IN PATIENTS WITH NON-HODGKIN'S LYMPHOMA AND MULTIPLE MYELOMA. [NOT on FDA's Nov-30-2008 PDF table (December approval). Verified from the official Drugs@FDA record: NDA 022311 ORIG-1 approved 12/15/2008, 'Type 1 - New Molecular Entity', Priority, Orphan, applicant GENZYME. Sources: Drugs@FDA overview + approval letter PDF.]",Approval on 2008-12-15 for Mozobil (Plerixafor) (USE IN COMBINATION WITH GRANULOCYTE COLONY-STIMULATING FACTOR (G-CSF) TO MOBILIZ) - Pathway: Priority,2008-12-15,Approval,,,,,,Before: N/A on N/A -> After: N/A on 2008-12-15 (N/A%); T+1: N/A (N/A%),"Score: 86.5 Grade: A Success Rate: 100.0% - Profile: 4 total, 8 approved, 0 Phase3, 0 paused, 0 advanced",86.5,A,100.0,4,8,0,0,0,Priority,"USE IN COMBINATION WITH GRANULOCYTE COLONY-STIMULATING FACTOR (G-CSF) TO MOBILIZE HEMATOPOIETIC STEM CELLS TO THE PERIPHERAL BLOOD FOR COLLECTION AND SUBSEQUENT AUTOLOGOUS TRANSPLANTATION IN PATIENTS WITH NON-HODGKIN'S LYMPHOMA AND MULTIPLE MYELOMA. [NOT on FDA's Nov-30-2008 PDF table (December approval). Verified from the official Drugs@FDA record: NDA 022311 ORIG-1 approved 12/15/2008, 'Type 1 - New Molecular Entity', Priority, Orphan, applicant GENZYME. Sources: Drugs@FDA overview + approval letter PDF.]",https://web.archive.org/web/20090709172207if_/http://www.fda.gov/downloads/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/UCM081805.pdf,http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=022311,Verified,FORMERLY US-LISTED (DELISTED/ACQUIRED),"Decision engine analysis row: Genzyme (acquired by Sanofi 2011) Mozobil (Plerixafor) Approval 2008-12-15. Trial result: USE IN COMBINATION WITH GRANULOCYTE COLONY-STIMULATING FACTOR (G-CSF) TO MOBILIZE HEMATOPOIETIC STEM. Stock: Before: N/A on N/A -> After: N/A on 2008-12-15 (N/A%); T+1: N/A (N/A%). Score: Score: 86.5 Grade: A Success Rate: 100.0% - Profile: 4 total, 8 approved, 0 Phase3, 0 paused, 0 adva. Sources: https://web.archive.org/web/20090709172207if_/http://www.fda.gov/downloads/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/UCM081805.pdf + http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=022311"
Eisai Co. (Japan),4523,Lusedra (fospropofol disodium),LUSEDRA (fospropofol disodium) injection is an intravenous sedative-hypnotic agent indicated for monitored anesthesia care (MAC) sedation in adult patients undergoing diagnostic or therapeutic procedures.,Approval on 2008-12-12 for Lusedra (fospropofol disodium) (LUSEDRA (fospropofol disodium) injection is an intravenous sedative-hypnotic age) - Pathway: Standard,2008-12-12,Approval,,,,,,Before: N/A on N/A -> After: N/A on 2008-12-12 (N/A%); T+1: N/A (N/A%),"Score: 70.4 Grade: B Success Rate: 100.0% - Profile: 4 total, 5 approved, 0 Phase3, 0 paused, 0 advanced",70.4,B,100.0,4,5,0,0,0,Standard,LUSEDRA (fospropofol disodium) injection is an intravenous sedative-hypnotic agent indicated for monitored anesthesia care (MAC) sedation in adult patients undergoing diagnostic or therapeutic procedures.,https://www.fda.gov/media/177921/download?attachment,http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=022244,Verified,NON-US LISTING ONLY,"Decision engine analysis row: Eisai Co. (Japan) Lusedra (fospropofol disodium) Approval 2008-12-12. Trial result: LUSEDRA (fospropofol disodium) injection is an intravenous sedative-hypnotic agent indicated for mon. Stock: Before: N/A on N/A -> After: N/A on 2008-12-12 (N/A%); T+1: N/A (N/A%). Score: Score: 70.4 Grade: B Success Rate: 100.0% - Profile: 4 total, 5 approved, 0 Phase3, 0 paused, 0 adva. Sources: https://www.fda.gov/media/177921/download?attachment + http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=022244"
EISAI INC,,NDA022244,NDA022244 - Approval (Type 1 - New Molecular Entity; v24 openFDA backfill),Approval (Type 1 - New Molecular Entity; v24 openFDA backfill) on 2008-12-08 for NDA022244 (No indication text - blank beats guessed) - Pathway: STANDARD,2008-12-08,Approval (Type 1 - New Molecular Entity; v24 openFDA backfill),,,,,,Before: N/A on N/A -> After: N/A on 2008-12-08 (N/A%); T+1: N/A (N/A%),"Score: N/A Grade: N/A Success Rate: N/A% - Profile: N/A total, N/A approved, 0 Phase3, 0 paused, 0 advanced",,,,,,,,,STANDARD,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=022244,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA022244""",Verified - openFDA Drugs@FDA ORIG/AP record (v24 backfill),,"Decision engine analysis row: EISAI INC NDA022244 Approval (Type 1 - New Molecular Entity; v24 openFDA backfill) 2008-12-08. Trial result: NDA022244 - Approval (Type 1 - New Molecular Entity; v24 openFDA backfill). Stock: Before: N/A on N/A -> After: N/A on 2008-12-08 (N/A%); T+1: N/A (N/A%). Score: Score: N/A Grade: N/A Success Rate: N/A% - Profile: N/A total, N/A approved, 0 Phase3, 0 paused, 0 a. Sources: https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=022244 + https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA022244"""
