company_name,ticker,us_investable_class,total_efficacy_supplements,distinct_drugs_expanded,priority_review_count,priority_review_share_pct,orphan_supplement_count,first_expansion_date,last_expansion_date,expansions_last_5y,expansion_velocity_per_yr,novel_approvals_tracked,breadth_ratio_suppl_per_novel,rows_flagged_for_review,evidence_basis,verification_status
"Ironwood Pharmaceuticals, Inc. (acquired by Alfasigma 2024)",IRWD,FORMERLY US-LISTED (DELISTED/ACQUIRED),2,1,0,0.0,0,2004-08-21,2019-03-29,0,0.0,1,2.0,2,"2 approved FDA efficacy supplements across 1 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=IRWD)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records - 2 row(s) flagged for review
Shire plc (acquired by Takeda 2019),SHPG,FORMERLY US-LISTED (DELISTED/ACQUIRED),2,1,1,50.0,1,2013-06-24,2013-06-24,0,0.0,6,0.33,2,"2 approved FDA efficacy supplements across 1 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=SHPG)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records - 2 row(s) flagged for review
"BioCryst Pharmaceuticals, Inc.",BCRX,US-LISTED,2,1,2,100.0,0,2017-09-20,2021-01-28,0,0.0,2,1.0,0,"2 approved FDA efficacy supplements across 1 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=BCRX)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
"Relypsa, Inc. (acquired by Vifor Pharma 2016)",RLYP,FORMERLY US-LISTED (DELISTED/ACQUIRED),2,1,0,0.0,0,2018-05-02,2023-10-02,1,0.2,1,2.0,2,"2 approved FDA efficacy supplements across 1 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=RLYP)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records - 2 row(s) flagged for review
PTC Therapeutics,PTCT,US-LISTED,2,2,2,100.0,2,2019-06-07,2019-06-07,0,0.0,1,2.0,0,"2 approved FDA efficacy supplements across 2 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=PTCT)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
"Neurocrine Biosciences, Inc.",NBIX,US-LISTED,2,1,0,0.0,1,2021-04-23,2023-08-18,1,0.2,3,0.67,0,"2 approved FDA efficacy supplements across 1 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=NBIX)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
SIGA Technologies Inc.,SIGA,US-LISTED,2,1,0,0.0,2,2021-11-23,2022-05-18,2,0.4,1,2.0,0,"2 approved FDA efficacy supplements across 1 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=SIGA)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
Harmony Biosciences,HRMY,US-LISTED,2,1,2,100.0,2,2024-06-21,2026-02-13,2,0.4,1,2.0,0,"2 approved FDA efficacy supplements across 1 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=HRMY)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
Biofrontera Inc.,BFRI,US-LISTED,2,1,0,0.0,0,2024-10-04,2026-09-09,2,0.4,0,,0,"2 approved FDA efficacy supplements across 1 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=BFRI)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
Amphastar Pharmaceuticals,AMPH,US-LISTED,2,2,1,50.0,0,2025-03-17,2026-06-16,2,0.4,1,2.0,0,"2 approved FDA efficacy supplements across 2 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=AMPH)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
"Viela Bio, Inc.",VIE,US-LISTED,2,1,1,50.0,1,2025-04-03,2025-12-11,2,0.4,1,2.0,0,"2 approved FDA efficacy supplements across 1 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=VIE)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
Day One Biopharmaceuticals,DAWN,US-LISTED,2,2,0,0.0,2,2025-08-27,2025-08-27,2,0.4,1,2.0,0,"2 approved FDA efficacy supplements across 2 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=DAWN)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
Shionogi & Co. Ltd.,SGIOF,US-LISTED (ADR),1,1,1,100.0,0,2020-09-25,2020-09-25,0,0.0,2,0.5,0,"1 approved FDA efficacy supplements across 1 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=SGIOF)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
Insmed,INSM,US-LISTED,1,1,0,0.0,1,2020-10-19,2020-10-19,0,0.0,2,0.5,0,"1 approved FDA efficacy supplements across 1 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=INSM)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
Dr. Reddy's Laboratories Ltd,RDY,US-LISTED (ADR),1,1,0,0.0,0,2021-03-11,2021-03-11,0,0.0,0,,0,"1 approved FDA efficacy supplements across 1 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=RDY)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
Solventum Corporation,SOLV,US-LISTED,1,1,0,0.0,0,2023-01-20,2023-01-20,1,0.2,0,,0,"1 approved FDA efficacy supplements across 1 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=SOLV)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
Rigel Pharmaceuticals,RIGL,US-LISTED,1,1,0,0.0,1,2023-08-09,2023-08-09,1,0.2,3,0.33,0,"1 approved FDA efficacy supplements across 1 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=RIGL)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
Aurinia Pharmaceuticals,AUPH,US-LISTED,1,1,0,0.0,0,2024-04-29,2024-04-29,1,0.2,1,1.0,0,"1 approved FDA efficacy supplements across 1 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=AUPH)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
MediWound,MDWD,US-LISTED (ADR),1,1,0,0.0,1,2024-08-15,2024-08-15,1,0.2,1,1.0,0,"1 approved FDA efficacy supplements across 1 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=MDWD)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
Ascendis Pharma A/S,ASND,US-LISTED,1,1,0,0.0,1,2025-07-25,2025-07-25,1,0.2,3,0.33,0,"1 approved FDA efficacy supplements across 1 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=ASND)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
Syndax Pharmaceuticals,SNDX,US-LISTED,1,1,1,100.0,1,2025-10-24,2025-10-24,1,0.2,1,1.0,0,"1 approved FDA efficacy supplements across 1 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=SNDX)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
Agios Pharmaceuticals,AGIO,US-LISTED,1,1,0,0.0,1,2025-12-23,2025-12-23,1,0.2,2,0.5,0,"1 approved FDA efficacy supplements across 1 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=AGIO)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
Zealand Pharma A/S,ZLDPF,US-LISTED (ADR),1,1,1,100.0,0,2026-06-18,2026-06-18,1,0.2,1,1.0,0,"1 approved FDA efficacy supplements across 1 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=ZLDPF)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
Ionis Pharmaceuticals,IONS,US-LISTED,1,1,1,100.0,1,2026-06-24,2026-06-24,1,0.2,5,0.2,0,"1 approved FDA efficacy supplements across 1 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=IONS)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
Aeterna Zentaris Inc.,AEZS,US-LISTED,1,1,1,100.0,1,2026-07-23,2026-07-23,1,0.2,1,1.0,0,"1 approved FDA efficacy supplements across 1 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=AEZS)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
Pharming Group,PHAR,US-LISTED (ADR),1,1,1,100.0,1,2026-09-11,2026-09-11,1,0.2,1,1.0,0,"1 approved FDA efficacy supplements across 1 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=PHAR)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
