decision_id,decision_date,drug_brand,drug_generic,legacy_sponsor_verbatim,lineage_recorded_in_master,master_ticker,master_exchange,us_investable_class,application_number,status,action_for_reviewer,sec_edgar_company_search,drugsatfda_link,fda_year_enumeration,priority
D1327,1996-05-23,Acthrel,corticorelin ovine triflutate,Ferring Pharmaceuticals (private),private,,N/A - privately held,PRIVATE / NO EQUITY,020162,NO-EQUITY (documented),none - master documents private/government/non-profit issuer,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Ferring%20Pharmaceuticals&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020162,https://www.fda.gov/media/177921/download?attachment,n/a
D1329,1996-05-31,Differin,adapalene,Galderma SA (Nestle/L'Oreal JV; no listed equity until SIX:GALD 2024),Nestle/L'Oreal JV; no listed equity until SIX:GALD 2024,,"N/A - jointly held, no separate equity",PRIVATE / NO EQUITY,020338,NO-EQUITY (documented),none - master documents private/government/non-profit issuer,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Galderma%20SA&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020338,https://www.fda.gov/media/177921/download?attachment,n/a
D1336,1996-06-21,Viramune,nevirapine,Boehringer Ingelheim (private),private,,N/A - privately held,PRIVATE / NO EQUITY,020636,NO-EQUITY (documented),none - master documents private/government/non-profit issuer,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Boehringer%20Ingelheim&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020636,https://www.fda.gov/media/177921/download?attachment,n/a
D1343,1996-08-20,Verluma,nofetumomab,Boehringer Ingelheim (private),private,,N/A - privately held,PRIVATE / NO EQUITY,103582,NO-EQUITY (documented),none - master documents private/government/non-profit issuer,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Boehringer%20Ingelheim&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=103582,https://www.fda.gov/media/177921/download?attachment,n/a
D1355,1996-10-18,Mentax,butenafine hydrochloride,Penederm Inc. (private),private,,N/A - privately held,PRIVATE / NO EQUITY,020524,NO-EQUITY (documented),none - master documents private/government/non-profit issuer,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Penederm%20Inc.&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020524,https://www.fda.gov/media/177921/download?attachment,n/a
D1369,1996-12-19,Monurol,fosfomycin tromethamine,"Zambon S.p.A. (private, Italy)","private, Italy",,N/A - privately held,PRIVATE / NO EQUITY,050717,NO-EQUITY (documented),none - master documents private/government/non-profit issuer,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Zambon%20S.p.A.&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=050717,https://www.fda.gov/media/177921/download?attachment,n/a
D1383,1997-04-15,Flomax,tamsulosin hydrochloride,Boehringer Ingelheim (private),private,,N/A - privately held,PRIVATE / NO EQUITY,020579,NO-EQUITY (documented),none - master documents private/government/non-profit issuer,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Boehringer%20Ingelheim&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020579,https://www.fda.gov/media/177921/download?attachment,n/a
D1384,1997-05-09,Pytest Kit,14 C Urea,Tri-Med Specialties (private),private,,N/A - privately held,PRIVATE / NO EQUITY,020617,NO-EQUITY (documented),none - master documents private/government/non-profit issuer,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Tri-Med%20Specialties&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020617,https://www.fda.gov/media/177921/download?attachment,n/a
D1417,1997-12-24,Sclerosol,talc,Bryan Corp. (private),private,,N/A - privately held,PRIVATE / NO EQUITY,020587,NO-EQUITY (documented),none - master documents private/government/non-profit issuer,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Bryan%20Corp.&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020587,https://www.fda.gov/media/177921/download?attachment,n/a
D1010,1998-07-01,Infasurf,calfactant,"ONY Inc. (private, Amherst NY)","private, Amherst NY",,N/A - privately held,PRIVATE / NO EQUITY,020521,NO-EQUITY (documented),none - master documents private/government/non-profit issuer,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=ONY%20Inc.&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020521,see data/fda_year_source_register.csv row 1998,n/a
D1019,1998-09-25,Valstar,valrubicin,Anthra Pharmaceuticals (private),private,,N/A - privately held,PRIVATE / NO EQUITY,020892,NO-EQUITY (documented),none - master documents private/government/non-profit issuer,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Anthra%20Pharmaceuticals&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020892,see data/fda_year_source_register.csv row 1998,n/a
D1022,1998-11-10,Micardis,telmisartan,Boehringer Ingelheim (private),private,,N/A - privately held,PRIVATE / NO EQUITY,020850,NO-EQUITY (documented),none - master documents private/government/non-profit issuer,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Boehringer%20Ingelheim&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020850,see data/fda_year_source_register.csv row 1998,n/a
D957,1999-02-18,Ferrlecit,sodium ferric gluconate complex,R&D Laboratories Inc (private),private,,N/A - privately held,PRIVATE / NO EQUITY,020955,NO-EQUITY (documented),none - master documents private/government/non-profit issuer,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=R%26D%20Laboratories%20Inc&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020955,see data/fda_year_source_register.csv row 1999,n/a
D981,1999-11-18,Curosurf,poractant alfa,"Dey Laboratories (Nattermann/Merck KGaA lineage, private)","Nattermann/Merck KGaA lineage, private",,N/A - privately held,PRIVATE / NO EQUITY,020744,NO-EQUITY (documented),none - master documents private/government/non-profit issuer,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Dey%20Laboratories&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020744,see data/fda_year_source_register.csv row 1999,n/a
D989,1999-12-23,INOmax,nitric oxide,"INO Therapeutics (Ikaria lineage, private; Mallinckrodt 2017)","Ikaria lineage, private; Mallinckrodt 2017",,N/A - privately held at approval,PRIVATE / NO EQUITY,020845,NO-EQUITY (documented),none - master documents private/government/non-profit issuer,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=INO%20Therapeutics&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020845,see data/fda_year_source_register.csv row 1999,n/a
D635,2000-01-11,Evoxac,Cevimeline Hydrochloride,Snow Brand Pharmaceuticals (Japan lineage; current holder Cosette Pharmaceuticals),Japan lineage; current holder Cosette Pharmaceuticals,,N/A - privately held,PRIVATE / NO EQUITY,020989,NO-EQUITY (documented),none - master documents private/government/non-profit issuer,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Snow%20Brand%20Pharmaceuticals&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020989,see data/fda_year_source_register.csv row 2000,n/a
D639,2000-02-17,Skin Exposure Reduction Paste Against Chemical Warfare Agents,Perfluoro-polymethyl-isopropyl Ether; Polytetrafluoro-ethylene,U.S. Army Medical Research (government),government,,N/A - government,PRIVATE / NO EQUITY,021084,NO-EQUITY (documented),none - master documents private/government/non-profit issuer,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=U.S.%20Army%20Medical%20Research&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=021084,see data/fda_year_source_register.csv row 2000,n/a
D641,2000-04-03,Septocaine,"Articaine Hydrochloride, Epinephrine","Deproco SpA (private, Italy)","private, Italy",,N/A - privately held,PRIVATE / NO EQUITY,020971,NO-EQUITY (documented),none - master documents private/government/non-profit issuer,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Deproco%20SpA&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020971,see data/fda_year_source_register.csv row 2000,n/a
D643,2000-04-13,Mobic,Meloxicam,Boehringer Ingelheim (private),private,,N/A - privately held,PRIVATE / NO EQUITY,020938,NO-EQUITY (documented),none - master documents private/government/non-profit issuer,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Boehringer%20Ingelheim&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020938,see data/fda_year_source_register.csv row 2000,n/a
D650,2000-06-15,Trelstar Depot,Triptorelin Pamoate,"Debiopharm Group (private, Switzerland)","private, Switzerland",,N/A - privately held,PRIVATE / NO EQUITY,020715,NO-EQUITY (documented),none - master documents private/government/non-profit issuer,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Debiopharm%20Group&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020715,see data/fda_year_source_register.csv row 2000,n/a
D659,2000-09-28,Mifeprex,Mifepristone,The Population Council (non-profit),non-profit,,N/A - non-profit,PRIVATE / NO EQUITY,020687,NO-EQUITY (documented),none - master documents private/government/non-profit issuer,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=The%20Population%20Council&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020687,see data/fda_year_source_register.csv row 2000,n/a
