crl_row_id,master_crl_id,master_link_status,curated_candidate_ids,duplicate_letter_same_app_same_date,raw_file_name,company_name_verbatim,application_number_verbatim,application_number_normalised,application_kind,letter_date,letter_year,letter_type_verbatim,fda_approval_status_verbatim,later_original_approval_actions_observed,first_later_original_action_date,days_letter_to_first_later_original_action,later_any_approval_actions_observed,first_later_any_action_date,later_original_action_sources,later_any_action_types,conflict_flag,fda_application_url,replay_query_url,dataset_last_updated,evidence_source_files,verification_status,notes
CR-NDA204957-20200424,CR-NDA204957-20200424,JOINED,,FALSE,204957_2021_Orig1s000OtherActionLtrs.pdf,"B. Braun Medical, Inc.",NDA 204957,NDA204957,NDA,2020-04-24,2020,COMPLETE RESPONSE,Approved,1,2021-02-18,300,1,2021-02-18,openfda_orig_decisions_2011_2026,2021-02-18 ORIG,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=NDA204957,https://api.fda.gov/transparency/crl.json?search=file_name%3A%22204957_2021_Orig1s000OtherActionLtrs.pdf%22+AND+letter_date%3A%2204%2F24%2F2020%22,2026-08-13,data/raw/probe/crl_page1.json|data/raw/openfda_approvals_2000_2010/*.json|data/raw/openfda_orig_decisions_2011_2026/decisions_*.json|data/raw/openfda_efficacy_supplements/suppl_*.json,Verified (verbatim FDA CRL record; approval actions observed in committed FDA payloads),"v23 2026-09-20: FDA's own approval_status field is published verbatim and is not reinterpreted. 'Observed' means an approval action with a later status date exists for the same application number inside the committed payload coverage; absence of an observed action is NOT evidence that the application failed. conflict_flag=NONE; the flag is raised for human review, never resolved by preference."
CR-NDA206610-20150227,CR-NDA206610-20150227,JOINED,,FALSE,206610_2021_Orig1s000OtherActionLtrs.pdf,"Mylan Pharmaceuticals, Inc.",NDA 206610,NDA206610,NDA,2015-02-27,2015,COMPLETE RESPONSE,Approved,1,2021-01-15,2149,1,2021-01-15,openfda_orig_decisions_2011_2026,2021-01-15 ORIG,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=NDA206610,https://api.fda.gov/transparency/crl.json?search=file_name%3A%22206610_2021_Orig1s000OtherActionLtrs.pdf%22+AND+letter_date%3A%2202%2F27%2F2015%22,2026-08-13,data/raw/probe/crl_page1.json|data/raw/openfda_approvals_2000_2010/*.json|data/raw/openfda_orig_decisions_2011_2026/decisions_*.json|data/raw/openfda_efficacy_supplements/suppl_*.json,Verified (verbatim FDA CRL record; approval actions observed in committed FDA payloads),"v23 2026-09-20: FDA's own approval_status field is published verbatim and is not reinterpreted. 'Observed' means an approval action with a later status date exists for the same application number inside the committed payload coverage; absence of an observed action is NOT evidence that the application failed. conflict_flag=NONE; the flag is raised for human review, never resolved by preference."
CR-NDA209863-20171020,CR-NDA209863-20171020,JOINED,,FALSE,209863_2019_Orig1s000OtherActionLtrs.pdf,"Antares Pharma, Inc.",NDA 209863,NDA209863,NDA,2017-10-20,2017,COMPLETE RESPONSE,Approved,1,2018-09-28,343,1,2018-09-28,openfda_orig_decisions_2011_2026,2018-09-28 ORIG,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=NDA209863,https://api.fda.gov/transparency/crl.json?search=file_name%3A%22209863_2019_Orig1s000OtherActionLtrs.pdf%22+AND+letter_date%3A%2210%2F20%2F2017%22,2026-08-13,data/raw/probe/crl_page1.json|data/raw/openfda_approvals_2000_2010/*.json|data/raw/openfda_orig_decisions_2011_2026/decisions_*.json|data/raw/openfda_efficacy_supplements/suppl_*.json,Verified (verbatim FDA CRL record; approval actions observed in committed FDA payloads),"v23 2026-09-20: FDA's own approval_status field is published verbatim and is not reinterpreted. 'Observed' means an approval action with a later status date exists for the same application number inside the committed payload coverage; absence of an observed action is NOT evidence that the application failed. conflict_flag=NONE; the flag is raised for human review, never resolved by preference."
CR-NDA211039-20190719,,CURATED_CANDIDATE_NOT_JOINED,C044,FALSE,211039_2020_Orig1s000OtherActionLtrs.pdf,Bausch Health Ireland Limited,NDA 211039,NDA211039,NDA,2019-07-19,2019,COMPLETE RESPONSE,Approved,1,2020-03-09,234,1,2020-03-09,openfda_orig_decisions_2011_2026,2020-03-09 ORIG,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=NDA211039,https://api.fda.gov/transparency/crl.json?search=file_name%3A%22211039_2020_Orig1s000OtherActionLtrs.pdf%22+AND+letter_date%3A%2207%2F19%2F2019%22,2026-08-13,data/raw/probe/crl_page1.json|data/raw/openfda_approvals_2000_2010/*.json|data/raw/openfda_orig_decisions_2011_2026/decisions_*.json|data/raw/openfda_efficacy_supplements/suppl_*.json,Verified (verbatim FDA CRL record; approval actions observed in committed FDA payloads),"v23 2026-09-20: FDA's own approval_status field is published verbatim and is not reinterpreted. 'Observed' means an approval action with a later status date exists for the same application number inside the committed payload coverage; absence of an observed action is NOT evidence that the application failed. conflict_flag=NONE; the flag is raised for human review, never resolved by preference. Curated master candidate(s) C044 share this letter date but the link is not unambiguous: the candidate curated row's company name does not correspond to the name FDA publishes on the letter (parent/subsidiary or acquirer attribution). Flagged for human review, never resolved by preference."
CR-BLA761303-20240322,,CURATED_CANDIDATE_NOT_JOINED,C023|C024,FALSE,CRL_BLA761303Original2_20240322.pdf,"Regeneron Pharmaceuticals, Inc.",BLA 761303/Original 2,BLA761303,BLA,2024-03-22,2024,COMPLETE RESPONSE,Unapproved,0,,,0,,,,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=BLA761303,https://api.fda.gov/transparency/crl.json?search=file_name%3A%22CRL_BLA761303Original2_20240322.pdf%22+AND+letter_date%3A%2203%2F22%2F2024%22,2026-08-13,data/raw/probe/crl_page1.json|data/raw/openfda_approvals_2000_2010/*.json|data/raw/openfda_orig_decisions_2011_2026/decisions_*.json|data/raw/openfda_efficacy_supplements/suppl_*.json,Verified (verbatim FDA CRL record; approval actions observed in committed FDA payloads),"v23 2026-09-20: FDA's own approval_status field is published verbatim and is not reinterpreted. 'Observed' means an approval action with a later status date exists for the same application number inside the committed payload coverage; absence of an observed action is NOT evidence that the application failed. conflict_flag=NONE; the flag is raised for human review, never resolved by preference. Curated master candidate(s) C023|C024 share this letter date but the link is not unambiguous: more than one curated row on this date corresponds to the company. Flagged for human review, never resolved by preference."
CR-NDA208288-20160506,CR-NDA208288-20160506,JOINED,,FALSE,208288_2018_Orig1s000OtherActionLtrs.pdf,3M Health Care (Infection Prevention Division),NDA 208288,NDA208288,NDA,2016-05-06,2016,COMPLETE RESPONSE,Approved,1,2018-08-08,824,2,2018-08-08,openfda_orig_decisions_2011_2026,2018-08-08 ORIG; 2023-01-20 SUPPL,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=NDA208288,https://api.fda.gov/transparency/crl.json?search=file_name%3A%22208288_2018_Orig1s000OtherActionLtrs.pdf%22+AND+letter_date%3A%2205%2F06%2F2016%22,2026-08-13,data/raw/probe/crl_page1.json|data/raw/openfda_approvals_2000_2010/*.json|data/raw/openfda_orig_decisions_2011_2026/decisions_*.json|data/raw/openfda_efficacy_supplements/suppl_*.json,Verified (verbatim FDA CRL record; approval actions observed in committed FDA payloads),"v23 2026-09-20: FDA's own approval_status field is published verbatim and is not reinterpreted. 'Observed' means an approval action with a later status date exists for the same application number inside the committed payload coverage; absence of an observed action is NOT evidence that the application failed. conflict_flag=NONE; the flag is raised for human review, never resolved by preference."
CR-NDA210852-20200521,CR-NDA210852-20200521,JOINED,,FALSE,210852_2024_Orig1s000OtherActionLtrs.pdf,Dr. Reddy’s Laboratories Limited,NDA 210852,NDA210852,NDA,2020-05-21,2020,COMPLETE RESPONSE,Approved,1,2023-06-07,1112,1,2023-06-07,openfda_orig_decisions_2011_2026,2023-06-07 ORIG,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=NDA210852,https://api.fda.gov/transparency/crl.json?search=file_name%3A%22210852_2024_Orig1s000OtherActionLtrs.pdf%22+AND+letter_date%3A%2205%2F21%2F2020%22,2026-08-13,data/raw/probe/crl_page1.json|data/raw/openfda_approvals_2000_2010/*.json|data/raw/openfda_orig_decisions_2011_2026/decisions_*.json|data/raw/openfda_efficacy_supplements/suppl_*.json,Verified (verbatim FDA CRL record; approval actions observed in committed FDA payloads),"v23 2026-09-20: FDA's own approval_status field is published verbatim and is not reinterpreted. 'Observed' means an approval action with a later status date exists for the same application number inside the committed payload coverage; absence of an observed action is NOT evidence that the application failed. conflict_flag=NONE; the flag is raised for human review, never resolved by preference."
CR-NDA208352-20160428,CR-NDA208352-20160428,JOINED,,FALSE,208352_2020_Orig1s000OtherActionLtrs.pdf,"Evofem, Inc.",NDA 208352,NDA208352,NDA,2016-04-28,2016,COMPLETE RESPONSE,Approved,1,2020-05-22,1485,1,2020-05-22,openfda_orig_decisions_2011_2026,2020-05-22 ORIG,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=NDA208352,https://api.fda.gov/transparency/crl.json?search=file_name%3A%22208352_2020_Orig1s000OtherActionLtrs.pdf%22+AND+letter_date%3A%2204%2F28%2F2016%22,2026-08-13,data/raw/probe/crl_page1.json|data/raw/openfda_approvals_2000_2010/*.json|data/raw/openfda_orig_decisions_2011_2026/decisions_*.json|data/raw/openfda_efficacy_supplements/suppl_*.json,Verified (verbatim FDA CRL record; approval actions observed in committed FDA payloads),"v23 2026-09-20: FDA's own approval_status field is published verbatim and is not reinterpreted. 'Observed' means an approval action with a later status date exists for the same application number inside the committed payload coverage; absence of an observed action is NOT evidence that the application failed. conflict_flag=NONE; the flag is raised for human review, never resolved by preference."
CR-NDA214860-20220615,CR-NDA214860-20220615,JOINED,,FALSE,214860_2023_Orig1s000OtherActionLtrs.pdf,Acer Therapeutics Inc.,NDA 214860,NDA214860,NDA,2022-06-15,2022,COMPLETE RESPONSE,Approved,1,2022-12-22,190,2,2022-12-22,openfda_orig_decisions_2011_2026,2022-12-22 ORIG; 2025-10-10 SUPPL,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=NDA214860,https://api.fda.gov/transparency/crl.json?search=file_name%3A%22214860_2023_Orig1s000OtherActionLtrs.pdf%22+AND+letter_date%3A%2206%2F15%2F2022%22,2026-08-13,data/raw/probe/crl_page1.json|data/raw/openfda_approvals_2000_2010/*.json|data/raw/openfda_orig_decisions_2011_2026/decisions_*.json|data/raw/openfda_efficacy_supplements/suppl_*.json,Verified (verbatim FDA CRL record; approval actions observed in committed FDA payloads),"v23 2026-09-20: FDA's own approval_status field is published verbatim and is not reinterpreted. 'Observed' means an approval action with a later status date exists for the same application number inside the committed payload coverage; absence of an observed action is NOT evidence that the application failed. conflict_flag=NONE; the flag is raised for human review, never resolved by preference."
CR-NDA209471-20171222,CR-NDA209471-20171222,JOINED,,FALSE,209471_2024_Orig1s000OtherActionLtrs.pdf,"AFT Pharmaceuticals, Ltd.",NDA 209471,NDA209471,NDA,2017-12-22,2017,COMPLETE RESPONSE,Approved,1,2023-03-01,1895,1,2023-03-01,openfda_orig_decisions_2011_2026,2023-03-01 ORIG,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=NDA209471,https://api.fda.gov/transparency/crl.json?search=file_name%3A%22209471_2024_Orig1s000OtherActionLtrs.pdf%22+AND+letter_date%3A%2212%2F22%2F2017%22,2026-08-13,data/raw/probe/crl_page1.json|data/raw/openfda_approvals_2000_2010/*.json|data/raw/openfda_orig_decisions_2011_2026/decisions_*.json|data/raw/openfda_efficacy_supplements/suppl_*.json,Verified (verbatim FDA CRL record; approval actions observed in committed FDA payloads),"v23 2026-09-20: FDA's own approval_status field is published verbatim and is not reinterpreted. 'Observed' means an approval action with a later status date exists for the same application number inside the committed payload coverage; absence of an observed action is NOT evidence that the application failed. conflict_flag=NONE; the flag is raised for human review, never resolved by preference."
CR-NDA217225-20241115,CR-NDA217225-20241115,JOINED,,FALSE,217225-s001_OtherActionLtrs.pdf,"Astellas Pharma US, Inc",NDA 217225/S-001,NDA217225,NDA,2024-11-15,2024,COMPLETE RESPONSE,Approved,0,,,1,2025-02-12,,2025-02-12 SUPPL,FDA_FIELD_APPROVED_NO_LATER_ORIGINAL_ACTION_IN_COMMITTED_COVERAGE,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=NDA217225,https://api.fda.gov/transparency/crl.json?search=file_name%3A%22217225-s001_OtherActionLtrs.pdf%22+AND+letter_date%3A%2211%2F15%2F2024%22,2026-08-13,data/raw/probe/crl_page1.json|data/raw/openfda_approvals_2000_2010/*.json|data/raw/openfda_orig_decisions_2011_2026/decisions_*.json|data/raw/openfda_efficacy_supplements/suppl_*.json,Verified (verbatim FDA CRL record; approval actions observed in committed FDA payloads),"v23 2026-09-20: FDA's own approval_status field is published verbatim and is not reinterpreted. 'Observed' means an approval action with a later status date exists for the same application number inside the committed payload coverage; absence of an observed action is NOT evidence that the application failed. conflict_flag=FDA_FIELD_APPROVED_NO_LATER_ORIGINAL_ACTION_IN_COMMITTED_COVERAGE; the flag is raised for human review, never resolved by preference."
CR-BLA761126-20230214,CR-BLA761126-20230214,JOINED,,FALSE,761126_2025_Orig1s000OtherActionLtrs.pdf,"Tanvex BioPharma USA, Inc.",BLA 761126,BLA761126,BLA,2023-02-14,2023,COMPLETE RESPONSE,Approved,1,2024-06-28,500,1,2024-06-28,openfda_orig_decisions_2011_2026,2024-06-28 ORIG,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=BLA761126,https://api.fda.gov/transparency/crl.json?search=file_name%3A%22761126_2025_Orig1s000OtherActionLtrs.pdf%22+AND+letter_date%3A%2202%2F14%2F2023%22,2026-08-13,data/raw/probe/crl_page1.json|data/raw/openfda_approvals_2000_2010/*.json|data/raw/openfda_orig_decisions_2011_2026/decisions_*.json|data/raw/openfda_efficacy_supplements/suppl_*.json,Verified (verbatim FDA CRL record; approval actions observed in committed FDA payloads),"v23 2026-09-20: FDA's own approval_status field is published verbatim and is not reinterpreted. 'Observed' means an approval action with a later status date exists for the same application number inside the committed payload coverage; absence of an observed action is NOT evidence that the application failed. conflict_flag=NONE; the flag is raised for human review, never resolved by preference."
CR-NDA208193-20170111,CR-NDA208193-20170111,JOINED,,FALSE,208193_2019_Orig1s000OtherActionLtrs.pdf,"Metacel Pharmaceuticals, LLC",NDA 208193,NDA208193,NDA,2017-01-11,2017,COMPLETE RESPONSE,Approved,1,2019-09-18,980,1,2019-09-18,openfda_orig_decisions_2011_2026,2019-09-18 ORIG,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=NDA208193,https://api.fda.gov/transparency/crl.json?search=file_name%3A%22208193_2019_Orig1s000OtherActionLtrs.pdf%22+AND+letter_date%3A%2201%2F11%2F2017%22,2026-08-13,data/raw/probe/crl_page1.json|data/raw/openfda_approvals_2000_2010/*.json|data/raw/openfda_orig_decisions_2011_2026/decisions_*.json|data/raw/openfda_efficacy_supplements/suppl_*.json,Verified (verbatim FDA CRL record; approval actions observed in committed FDA payloads),"v23 2026-09-20: FDA's own approval_status field is published verbatim and is not reinterpreted. 'Observed' means an approval action with a later status date exists for the same application number inside the committed payload coverage; absence of an observed action is NOT evidence that the application failed. conflict_flag=NONE; the flag is raised for human review, never resolved by preference."
CR-NDA212782-20230801,CR-NDA212782-20230801,JOINED,,FALSE,212782Orig1s000OtherActionLtrs.pdf,Shilpa Medicare Limited,NDA 212782,NDA212782,NDA,2023-08-01,2023,COMPLETE RESPONSE,Approved,1,2024-08-26,391,1,2024-08-26,openfda_orig_decisions_2011_2026,2024-08-26 ORIG,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=NDA212782,https://api.fda.gov/transparency/crl.json?search=file_name%3A%22212782Orig1s000OtherActionLtrs.pdf%22+AND+letter_date%3A%2208%2F01%2F2023%22,2026-08-13,data/raw/probe/crl_page1.json|data/raw/openfda_approvals_2000_2010/*.json|data/raw/openfda_orig_decisions_2011_2026/decisions_*.json|data/raw/openfda_efficacy_supplements/suppl_*.json,Verified (verbatim FDA CRL record; approval actions observed in committed FDA payloads),"v23 2026-09-20: FDA's own approval_status field is published verbatim and is not reinterpreted. 'Observed' means an approval action with a later status date exists for the same application number inside the committed payload coverage; absence of an observed action is NOT evidence that the application failed. conflict_flag=NONE; the flag is raised for human review, never resolved by preference."
CR-BLA761458-20251216,CR-BLA761458-20251216,JOINED,,FALSE,CRL_BLA761458_20251216.pdf,GlaxoSmithKline LLC,BLA 761458/Original 2|BLA 761458,BLA761458,BLA,2025-12-16,2025,COMPLETE RESPONSE,Unapproved,0,,,0,,,,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=BLA761458,https://api.fda.gov/transparency/crl.json?search=file_name%3A%22CRL_BLA761458_20251216.pdf%22+AND+letter_date%3A%2212%2F16%2F2025%22,2026-08-13,data/raw/probe/crl_page1.json|data/raw/openfda_approvals_2000_2010/*.json|data/raw/openfda_orig_decisions_2011_2026/decisions_*.json|data/raw/openfda_efficacy_supplements/suppl_*.json,Verified (verbatim FDA CRL record; approval actions observed in committed FDA payloads),"v23 2026-09-20: FDA's own approval_status field is published verbatim and is not reinterpreted. 'Observed' means an approval action with a later status date exists for the same application number inside the committed payload coverage; absence of an observed action is NOT evidence that the application failed. conflict_flag=NONE; the flag is raised for human review, never resolved by preference."
CR-NDA212887-20191219,CR-NDA212887-20191219,JOINED,,FALSE,"212887Orig1s000,212888Orig1s000OtherActionLtrs.pdf",ViiV Healthcare Company,NDA 212887,NDA212887,NDA,2019-12-19,2019,COMPLETE RESPONSE,Approved,1,2021-01-21,399,9,2021-01-21,openfda_orig_decisions_2011_2026,2021-01-21 ORIG; 2021-12-20 SUPPL; 2022-01-31 SUPPL; 2022-02-07 SUPPL; 2022-03-23 SUPPL; 2022-03-29 SUPPL,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=NDA212887,https://api.fda.gov/transparency/crl.json?search=file_name%3A%22212887Orig1s000%2C212888Orig1s000OtherActionLtrs.pdf%22+AND+letter_date%3A%2212%2F19%2F2019%22,2026-08-13,data/raw/probe/crl_page1.json|data/raw/openfda_approvals_2000_2010/*.json|data/raw/openfda_orig_decisions_2011_2026/decisions_*.json|data/raw/openfda_efficacy_supplements/suppl_*.json,Verified (verbatim FDA CRL record; approval actions observed in committed FDA payloads),"v23 2026-09-20: FDA's own approval_status field is published verbatim and is not reinterpreted. 'Observed' means an approval action with a later status date exists for the same application number inside the committed payload coverage; absence of an observed action is NOT evidence that the application failed. conflict_flag=NONE; the flag is raised for human review, never resolved by preference."
CR-NDA220045-20260413,CR-NDA220045-20260413,JOINED,,FALSE,CRL_NDA220045_20260413_Redacted.pdf,"Eagle Pharmaceuticals, Inc.",NDA 220045,NDA220045,NDA,2026-04-13,2026,COMPLETE RESPONSE,Unapproved,0,,,0,,,,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=NDA220045,https://api.fda.gov/transparency/crl.json?search=file_name%3A%22CRL_NDA220045_20260413_Redacted.pdf%22+AND+letter_date%3A%2204%2F13%2F2026%22,2026-08-13,data/raw/probe/crl_page1.json|data/raw/openfda_approvals_2000_2010/*.json|data/raw/openfda_orig_decisions_2011_2026/decisions_*.json|data/raw/openfda_efficacy_supplements/suppl_*.json,Verified (verbatim FDA CRL record; approval actions observed in committed FDA payloads),"v23 2026-09-20: FDA's own approval_status field is published verbatim and is not reinterpreted. 'Observed' means an approval action with a later status date exists for the same application number inside the committed payload coverage; absence of an observed action is NOT evidence that the application failed. conflict_flag=NONE; the flag is raised for human review, never resolved by preference."
CR-NDA204408-20130606,CR-NDA204408-20130606,JOINED,,FALSE,212904Orig1s000OtherActionLtrs.pdf,"AVEO Pharmaceuticals, Inc.",NDA 204408,NDA204408,NDA,2013-06-06,2013,COMPLETE RESPONSE,Approved,0,,,0,,,,FDA_FIELD_APPROVED_NO_LATER_ORIGINAL_ACTION_IN_COMMITTED_COVERAGE,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=NDA204408,https://api.fda.gov/transparency/crl.json?search=file_name%3A%22212904Orig1s000OtherActionLtrs.pdf%22+AND+letter_date%3A%2206%2F06%2F2013%22,2026-08-13,data/raw/probe/crl_page1.json|data/raw/openfda_approvals_2000_2010/*.json|data/raw/openfda_orig_decisions_2011_2026/decisions_*.json|data/raw/openfda_efficacy_supplements/suppl_*.json,Verified (verbatim FDA CRL record; approval actions observed in committed FDA payloads),"v23 2026-09-20: FDA's own approval_status field is published verbatim and is not reinterpreted. 'Observed' means an approval action with a later status date exists for the same application number inside the committed payload coverage; absence of an observed action is NOT evidence that the application failed. conflict_flag=FDA_FIELD_APPROVED_NO_LATER_ORIGINAL_ACTION_IN_COMMITTED_COVERAGE; the flag is raised for human review, never resolved by preference."
CR-NDA202860-20120518,CR-NDA202860-20120518,JOINED,,FALSE,202860_2019_Orig1s000OtherActionLtrs.pdf,GeNO LLC,NDA 202860,NDA202860,NDA,2012-05-18,2012,REFUSAL TO FILE,Approved,1,2019-12-20,2772,1,2019-12-20,openfda_orig_decisions_2011_2026,2019-12-20 ORIG,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=NDA202860,https://api.fda.gov/transparency/crl.json?search=file_name%3A%22202860_2019_Orig1s000OtherActionLtrs.pdf%22+AND+letter_date%3A%2205%2F18%2F2012%22,2026-08-13,data/raw/probe/crl_page1.json|data/raw/openfda_approvals_2000_2010/*.json|data/raw/openfda_orig_decisions_2011_2026/decisions_*.json|data/raw/openfda_efficacy_supplements/suppl_*.json,Verified (verbatim FDA CRL record; approval actions observed in committed FDA payloads),"v23 2026-09-20: FDA's own approval_status field is published verbatim and is not reinterpreted. 'Observed' means an approval action with a later status date exists for the same application number inside the committed payload coverage; absence of an observed action is NOT evidence that the application failed. conflict_flag=NONE; the flag is raised for human review, never resolved by preference."
CR-NDA210862-20251104,CR-NDA210862-20251104,JOINED,,FALSE,CRL_NDA210862_20251104.pdf,"Biohaven Therapeutics, Ltd.",NDA 210862,NDA210862,NDA,2025-11-04,2025,COMPLETE RESPONSE,Unapproved,0,,,0,,,,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=NDA210862,https://api.fda.gov/transparency/crl.json?search=file_name%3A%22CRL_NDA210862_20251104.pdf%22+AND+letter_date%3A%2211%2F04%2F2025%22,2026-08-13,data/raw/probe/crl_page1.json|data/raw/openfda_approvals_2000_2010/*.json|data/raw/openfda_orig_decisions_2011_2026/decisions_*.json|data/raw/openfda_efficacy_supplements/suppl_*.json,Verified (verbatim FDA CRL record; approval actions observed in committed FDA payloads),"v23 2026-09-20: FDA's own approval_status field is published verbatim and is not reinterpreted. 'Observed' means an approval action with a later status date exists for the same application number inside the committed payload coverage; absence of an observed action is NOT evidence that the application failed. conflict_flag=NONE; the flag is raised for human review, never resolved by preference."
CR-BLA761084-20210811,CR-BLA761084-20210811,JOINED,,FALSE,761084_2022_Orig1s000OtherActionLtrs.pdf,"Kashiv BioSciences, LLC",BLA 761084,BLA761084,BLA,2021-08-11,2021,COMPLETE RESPONSE,Approved,1,2022-05-26,288,1,2022-05-26,openfda_orig_decisions_2011_2026,2022-05-26 ORIG,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=BLA761084,https://api.fda.gov/transparency/crl.json?search=file_name%3A%22761084_2022_Orig1s000OtherActionLtrs.pdf%22+AND+letter_date%3A%2208%2F11%2F2021%22,2026-08-13,data/raw/probe/crl_page1.json|data/raw/openfda_approvals_2000_2010/*.json|data/raw/openfda_orig_decisions_2011_2026/decisions_*.json|data/raw/openfda_efficacy_supplements/suppl_*.json,Verified (verbatim FDA CRL record; approval actions observed in committed FDA payloads),"v23 2026-09-20: FDA's own approval_status field is published verbatim and is not reinterpreted. 'Observed' means an approval action with a later status date exists for the same application number inside the committed payload coverage; absence of an observed action is NOT evidence that the application failed. conflict_flag=NONE; the flag is raised for human review, never resolved by preference."
CR-BLA761320-20251230,CR-BLA761320-20251230,JOINED,,FALSE,CRL_BLA761320_20251230.pdf,"Outlook Therapeutics, Inc.",BLA 761320,BLA761320,BLA,2025-12-30,2025,COMPLETE RESPONSE,Unapproved,1,2026-07-24,206,1,2026-07-24,openfda_orig_decisions_2011_2026,2026-07-24 ORIG,LATER_ORIGINAL_ACTION_OBSERVED_WHILE_FDA_FIELD_NOT_APPROVED,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=BLA761320,https://api.fda.gov/transparency/crl.json?search=file_name%3A%22CRL_BLA761320_20251230.pdf%22+AND+letter_date%3A%2212%2F30%2F2025%22,2026-08-13,data/raw/probe/crl_page1.json|data/raw/openfda_approvals_2000_2010/*.json|data/raw/openfda_orig_decisions_2011_2026/decisions_*.json|data/raw/openfda_efficacy_supplements/suppl_*.json,Verified (verbatim FDA CRL record; approval actions observed in committed FDA payloads),"v23 2026-09-20: FDA's own approval_status field is published verbatim and is not reinterpreted. 'Observed' means an approval action with a later status date exists for the same application number inside the committed payload coverage; absence of an observed action is NOT evidence that the application failed. conflict_flag=LATER_ORIGINAL_ACTION_OBSERVED_WHILE_FDA_FIELD_NOT_APPROVED; the flag is raised for human review, never resolved by preference."
CR-NDA210274-20201127,CR-NDA210274-20201127,JOINED,,FALSE,210274_2023_Orig1s000OtherActionLtrs.pdf,Zhejiang Novus Pharmaceuticals Co. Ltd.,NDA 210274,NDA210274,NDA,2020-11-27,2020,COMPLETE RESPONSE,Approved,1,2023-01-20,784,1,2023-01-20,openfda_orig_decisions_2011_2026,2023-01-20 ORIG,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=NDA210274,https://api.fda.gov/transparency/crl.json?search=file_name%3A%22210274_2023_Orig1s000OtherActionLtrs.pdf%22+AND+letter_date%3A%2211%2F27%2F2020%22,2026-08-13,data/raw/probe/crl_page1.json|data/raw/openfda_approvals_2000_2010/*.json|data/raw/openfda_orig_decisions_2011_2026/decisions_*.json|data/raw/openfda_efficacy_supplements/suppl_*.json,Verified (verbatim FDA CRL record; approval actions observed in committed FDA payloads),"v23 2026-09-20: FDA's own approval_status field is published verbatim and is not reinterpreted. 'Observed' means an approval action with a later status date exists for the same application number inside the committed payload coverage; absence of an observed action is NOT evidence that the application failed. conflict_flag=NONE; the flag is raised for human review, never resolved by preference."
