company_name,ticker,drug_name,decision_type,decision_date,indication,review_pathway,stock_price_before,stock_price_after,pct_change,price_t1,pct_change_t1,price_data_status,company_success_rate_summary,company_score,company_score_grade,company_score_confidence,us_investable_class,fda_source_url,secondary_source_url,flags,verification_status
Blueprint Medicines Corporation,BPMC,Gavreto (pralsetinib),Approval,2020-09-04,To treat non-small lung cancer,,,,,,,Not yet matched to price snapshot,2/2 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),72.0,B,Low,FORMERLY US-LISTED (DELISTED/ACQUIRED),http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=213721,https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/213721s000lbl.pdf,OWNERSHIP-CHANGE,Verified - FDA approval letter resolves decision-date sponsor
Curium Pharma,NO_TICKER,Detectnet (copper Cu 64 dotatate injection),Approval,2020-09-03,To help detect certain types of neuroendocrine tumors,,,,,,,No public ticker,Not yet built - scorecard pending,53.9,C,Low,PRIVATE / NO EQUITY,http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=213227,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22detectnet%22&count=sponsor_name,,Verified
Novo Nordisk A/S,NVO,Sogroya (somapacitan-beco),Approval,2020-08-28,Growth hormone,,,,,,,Not yet matched to price snapshot,9/9 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),69.4,B,Moderate,US-LISTED,http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=761156,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22sogroya%22&count=sponsor_name,,Verified
Sun Pharmaceutical Industries Ltd.,SUNPHARMA.NS,Winlevi (clascoterone),Approval,2020-08-26,To treat acne,,,,,,,Not yet matched to price snapshot,3/3 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),54.1,C,Moderate,NON-US LISTING ONLY,http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=213433,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22winlevi%22&count=sponsor_name,,Verified
"Genentech, Inc. (Roche group)",RHHBY,Enspryng (satralizumab-mwge),Approval,2020-08-14,To treat neuromyelitis optica spectrum disorder,,,,,,,Not yet matched to price snapshot,21/21 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),86.3,A,Moderate,US-LISTED (ADR),http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=761149,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22enspryng%22&count=sponsor_name,,Verified
"Nippon Shinyaku Co., Ltd.",NO_US_TICKER,Viltepso (viltolarsen),Approval,2020-08-12,To treat Duchenne muscular dystrophy,,,,,,,Not yet matched to price snapshot,14/14 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),,,Not scored - no verified FDA decisions tracked,NON-US LISTING ONLY,http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=212154,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22viltepso%22&count=sponsor_name,,Verified
"Roche (Genentech, Inc.)",RHHBY,Evrysdi (risdiplam),Approval,2020-08-07,Spinal muscular atrophy,Priority,,,,,,Not yet matched to price snapshot,21/21 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),86.3,A,Moderate,US-LISTED (ADR),https://web.archive.org/web/20240517161353/https:/www.fda.gov/drugs/novel-drug-approvals-fda/new-drug-therapy-approvals-2020,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22evrysdi%22&count=sponsor_name,,Verified
"Trevena, Inc.",TRVN,Olinvyk (oliceridine),Approval,2020-08-07,To manage acute pain in certain adults,,,,,,,Not yet matched to price snapshot,1/1 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),53.9,C,Low,FORMERLY US-LISTED (DELISTED/ACQUIRED),http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=210730,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22olinvyk%22&count=sponsor_name,IRREGULARITY,Verified - FLAGGED (no US-investable equity verified in this pass)
Bayer AG (Bayer HealthCare),BAYRY,Lampit (nifurtimox),Approval,2020-08-06,To treat Chagas disease in certain pediatric patients younger than age 18,,,,,,,Not yet matched to price snapshot,15/15 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),87.9,A,Moderate,US-LISTED (ADR),http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=213464,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22lampit%22&count=sponsor_name,,Verified
GSK plc,GSK,Blenrep (belantamab mafodotin-blmf),Approval,2020-08-05,Relapsed or refractory multiple myeloma,Priority/Accelerated,,,,,,Not yet matched to price snapshot,29/29 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),63.7,C,Moderate,US-LISTED,https://web.archive.org/web/20240517161353/https:/www.fda.gov/drugs/novel-drug-approvals-fda/new-drug-therapy-approvals-2020,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22blenrep%22&count=sponsor_name,IRREGULARITY; WITHDRAWN,Verified - FLAGGED IRREGULARITY (withdrawn)
MorphoSys (Novartis 2024),MOR,Monjuvi (tafasitamab-cxix),Approval,2020-07-31,To treat relapsed or refractory diffuse large B-cell lymphoma,,,,,,,Not yet matched to price snapshot,1/1 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),53.9,C,Low,FORMERLY US-LISTED (DELISTED/ACQUIRED),http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=761163,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22monjuvi%22&count=sponsor_name,,Verified - openFDA drugsfda sponsor/equity resolved
"LNHC, Inc. (Ferndale/Medimetriks lineage, private)",,Xeglyze (abametapir),Approval,2020-07-24,To treat head lice,,,,,,,No public ticker,Not yet built - scorecard pending,,,Not scored - no verified FDA decisions tracked,PRIVATE / NO EQUITY,http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=206966,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22xeglyze%22&count=sponsor_name,IRREGULARITY,Verified - openFDA drugsfda sponsor/equity resolved - FLAGGED (product now discontinued)
"Taiho Oncology, Inc. (Otsuka Holdings group)",4578.T,Inqovi (decitabine and cedazuridine),Approval,2020-07-07,To treat adult patients with myelodysplastic syndromes,,,,,,,Not yet matched to price snapshot,4/4 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),67.6,B,Moderate,NON-US LISTING ONLY,http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=212576,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22inqovi%22&count=sponsor_name,,Verified
ViiV Healthcare (GSK group),GSK,Rukobia (fostemsavir),Approval,2020-07-02,To treat HIV,,,,,,,Not yet matched to price snapshot,29/29 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),63.7,C,Moderate,US-LISTED,http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=212950,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22rukobia%22&count=sponsor_name,,Verified
Acacia Pharma Group (licensed US remimazolam rights; Merck KGaA 2022),ACP,Byfavo (remimazolam),Approval,2020-07-02,For sedation,,,,,,,Not yet matched to price snapshot,2/2 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),63.6,C,Low,NON-US LISTING ONLY,http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=212295,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22byfavo%22&count=sponsor_name,IRREGULARITY,Verified - openFDA drugsfda sponsor/equity resolved - FLAGGED (DEA-scheduling date note)
Ultragenyx Pharmaceutical Inc.,RARE,Dojolvi (triheptanoin),Approval,2020-06-30,To treat molecularly long-chain fatty acid oxidation disorders,,,,,,,Not yet matched to price snapshot,3/3 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),77.2,B,Moderate,US-LISTED,http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=213687,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22dojolvi%22&count=sponsor_name,,Verified (ticker + exchange confirmed 2026-09-12 via Yahoo Finance chart API meta: longName / fullExchangeName)
Jazz Pharmaceuticals plc,JAZZ,Zepzelca (lurbinectedin),Approval,2020-06-15,To treat metastatic small cell lung cancer,,,,,,,Not yet matched to price snapshot,4/4 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),81.1,A,Moderate,US-LISTED,http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=213702,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22zepzelca%22&count=sponsor_name,,Verified
"Viela Bio, Inc.",VIE,Uplizna (inebilizumab-cdon),Approval,2020-06-11,To treat neuromyelitis optica spectrum disorder,,,,,,,Not yet matched to price snapshot,1/1 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),53.9,C,Low,US-LISTED,http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=761142,https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2020/761142Orig1s000ltr.pdf,,Verified - FDA approval letter resolves decision-date sponsor
Avid Radiopharmaceuticals (Eli Lilly),LLY,Tauvid (flortaucipir F18),Approval,2020-05-28,Diagnostic agent for patients with Alzheimer's disease,,,,,,,Not yet matched to price snapshot,4/4 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),63.7,C,Moderate,US-LISTED,http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=212123,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22tauvid%22&count=sponsor_name,,Verified - openFDA drugsfda sponsor/equity resolved
Amivas LLC (private),,Artesunate (artesunate),Approval,2020-05-26,To treat severe malaria,,,,,,,No public ticker,Not yet built - scorecard pending,,,Not scored - no verified FDA decisions tracked,PRIVATE / NO EQUITY,http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=213036,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22artesunate%22&count=sponsor_name,,Verified - openFDA drugsfda sponsor/equity resolved
GE HealthCare (GE at approval; spun off 2023),GEHC,Cerianna (fluoroestradiol F18),Approval,2020-05-20,Diagnostic imaging agent for certain patients with breast cancer,,,,,,,Not yet matched to price snapshot,2/2 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),48.9,D,Low,US-LISTED,http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=212155,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22cerianna%22&count=sponsor_name,,Verified - openFDA drugsfda sponsor/equity resolved
Deciphera Pharmaceuticals (acquired by Ono 2024),DCPH,Qinlock (ripretinib),Approval,2020-05-15,To treat advanced gastrointestinal-stromal tumors,,,,,,,Not yet matched to price snapshot,1/1 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),53.9,C,Low,FORMERLY US-LISTED (DELISTED/ACQUIRED),http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=213973,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22qinlock%22&count=sponsor_name,,Verified - openFDA drugsfda sponsor/equity resolved
Eli Lilly and Company (via Loxo Oncology),LLY,Retevmo (selpercatinib),Approval,2020-05-08,Metastatic non-small cell lung cancer and thyroid cancers,Priority/Accelerated,,,,,,Not yet matched to price snapshot,4/4 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),63.7,C,Moderate,US-LISTED,https://web.archive.org/web/20240517161353/https:/www.fda.gov/drugs/novel-drug-approvals-fda/new-drug-therapy-approvals-2020,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22retevmo%22&count=sponsor_name,,Verified
Novartis AG,NVS,Tabrecta (capmatinib),Approval,2020-05-06,To treat patients with non small cell lung cancer,,,,,,,Not yet matched to price snapshot,38/38 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),83.9,A,Moderate,US-LISTED,http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=213591,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22tabrecta%22&count=sponsor_name,,Verified
"Neurocrine Biosciences, Inc.",NBIX,Ongentys (opicapone),Approval,2020-04-24,"To treat patients with Parkinson's disease experiencing ""off"" episodes",,,,,,,Not yet matched to price snapshot,3/3 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),77.2,B,Moderate,US-LISTED,http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=212489,https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2020/212489Orig1s000ltr.pdf,,Verified - FDA approval letter resolves decision-date sponsor
"Immunomedics, Inc.",IMMU,Trodelvy (sacituzumab govitecan-hziy),Approval,2020-04-22,To treat adult patients with metastatic triple-negative breast cancer who received at least two prior therapies for metastatic disease,Accelerated Approval,,,,,,Not yet matched to price snapshot,1/1 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),41.5,D,Low,US-LISTED,http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=761115,https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2020/761115Orig1s000ltr.pdf,,Verified - FDA approval letter resolves decision-date sponsor
Incyte Corporation,INCY,Pemazyre (pemigatinib),Approval,2020-04-17,Locally advanced or metastatic cholangiocarcinoma,Priority/Accelerated,,,,,,Not yet matched to price snapshot,4/4 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),69.6,B,Moderate,US-LISTED,https://web.archive.org/web/20240517161353/https:/www.fda.gov/drugs/novel-drug-approvals-fda/new-drug-therapy-approvals-2020,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22pemazyre%22&count=sponsor_name,,Verified
Seagen Inc. (acquired by Pfizer),SGEN,Tukysa (tucatinib),Approval,2020-04-17,To treat advanced unresectable or metastatic HER2-positive breast cancer,,,,,,,Not yet matched to price snapshot,3/3 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),77.2,B,Moderate,FORMERLY US-LISTED (DELISTED/ACQUIRED),http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=213411,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22tukysa%22&count=sponsor_name,,Verified
AstraZeneca PLC,AZN,Koselugo (selumetinib),Approval,2020-04-10,Neurofibromatosis type 1,Priority,,,,,,Not yet matched to price snapshot,25/25 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),87.3,A,Moderate,US-LISTED (ADR),https://web.archive.org/web/20240517161353/https:/www.fda.gov/drugs/novel-drug-approvals-fda/new-drug-therapy-approvals-2020,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22koselugo%22&count=sponsor_name,IRREGULARITY,Verified - FLAGGED IRREGULARITY
Bristol Myers Squibb Company (applicant: Celgene),BMY,Zeposia (ozanimod),Approval,2020-03-25,Relapsing forms of multiple sclerosis,Standard,,,,,,Not yet matched to price snapshot,22/22 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),64.9,C,Moderate,US-LISTED,https://web.archive.org/web/20240517161353/https:/www.fda.gov/drugs/novel-drug-approvals-fda/new-drug-therapy-approvals-2020,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22zeposia%22&count=sponsor_name,,Verified
Recordati S.p.A. (Recordati Rare Diseases),NO_US_TICKER,Isturisa (osilodrostat),Approval,2020-03-06,To treat adults with Cushing's disease who either cannot undergo pituitary gland surgery or have undergone the surgery but still have the disease,,,,,,,Not yet matched to price snapshot,14/14 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),,,Not scored - no verified FDA decisions tracked,NON-US LISTING ONLY,http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=212801,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22isturisa%22&count=sponsor_name,OWNERSHIP-CHANGE,Verified
Sanofi (Sanofi-Aventis U.S. LLC),SNY,Sarclisa (isatuximab),Approval,2020-03-02,To treat multiple myloma,,,,,,,Not yet matched to price snapshot,18/18 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),63.3,C,Moderate,US-LISTED (ADR),http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=761113,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22sarclisa%22&count=sponsor_name,,Verified
"Biohaven Pharmaceuticals, Inc.",BHVN,Nurtec ODT (rimegepant),Approval,2020-02-27,To treat migraine,,,,,,,Not yet matched to price snapshot,1/1 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),53.9,C,Low,US-LISTED,http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=212728,https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2020/212728Orig1s000ltr.pdf,OWNERSHIP-CHANGE,Verified - FDA approval letter resolves decision-date sponsor
Acacia Pharma Group (Merck KGaA 2022),ACP,Barhemsys (amisulpride),Approval,2020-02-26,To help prevent nausea and vomiting after surgery,,,,,,,Not yet matched to price snapshot,2/2 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),63.6,C,Low,NON-US LISTING ONLY,http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=209510,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22barhemsys%22&count=sponsor_name,,Verified - openFDA drugsfda sponsor/equity resolved
"H. Lundbeck A/S group (Lundbeck Seattle BioPharmaceuticals, Inc.)",NO_US_TICKER,Vyepti (eptinezumab-jjmr),Approval,2020-02-21,For the preventive treatment of migraine in adults,,,,,,,Not yet matched to price snapshot,14/14 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),,,Not scored - no verified FDA decisions tracked,NON-US LISTING ONLY,http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=761119,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22vyepti%22&count=sponsor_name,,Verified
"Esperion Therapeutics, Inc. (openFDA applicant of record)",ESPR,Nexletol (bempedoic acid),Approval,2020-02-21,To treat adults with heterozygous familial hypercholesterolemia or established atherosclerotic cardiovascular disease who require additional lowering of LDL-C,,,,,,,Not yet matched to price snapshot,1/1 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),53.9,C,Low,FORMERLY US-LISTED (DELISTED/ACQUIRED),http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=211616,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22nexletol%22&count=sponsor_name,IRREGULARITY,Verified - FLAGGED (no US-investable equity verified in this pass)
B. Braun (Braintree Laboratories),,Pizensy (lactitol),Approval,2020-02-12,To treat chronic idiopathic constipation (CIC) in adults,,,,,,,No public ticker,Not yet built - scorecard pending,,,Not scored - no verified FDA decisions tracked,PRIVATE / NO EQUITY,http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=211281,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22pizensy%22&count=sponsor_name,,Verified - openFDA drugsfda sponsor/equity resolved
"Epizyme, Inc.",EPZM,Tazverik (tazemetostat),Approval,2020-01-23,To treat epithelioid sarcoma,,,,,,,Not yet matched to price snapshot,1/1 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),53.9,C,Low,US-LISTED,http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=211723,https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2020/211723Orig1s000ltr.pdf,,Verified - FDA approval letter resolves decision-date sponsor
Horizon Therapeutics Ireland DAC,HZNP,Tepezza (teprotumumab-trbw),Approval,2020-01-21,To treat Thyroid eye disease,,,,,,,Not yet matched to price snapshot,1/1 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),53.9,C,Low,US-LISTED,http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=761143,https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2020/761143Orig1s000ltr.pdf,,Verified - FDA approval letter resolves decision-date sponsor
"Blueprint Medicines Corporation (acquired by Sanofi, 2025)",BPMC,Ayvakit (avapritinib),Approval,2020-01-09,Unresectable or metastatic gastrointestinal stromal tumor,Priority,,,,,,Not yet matched to price snapshot,2/2 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),72.0,B,Low,FORMERLY US-LISTED (DELISTED/ACQUIRED),https://web.archive.org/web/20240517161353/https:/www.fda.gov/drugs/novel-drug-approvals-fda/new-drug-therapy-approvals-2020,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22ayvakit%22&count=sponsor_name,IRREGULARITY,Verified - FLAGGED IRREGULARITY
AbbVie Inc.,ABBV,Ubrelvy (ubrogepant),Approval,2019-12-23,Migraine with or without aura,Standard,,,,,,Not yet matched to price snapshot,10/11 tracked programs approved; 0 advancing; 0 paused/on hold; 1 CRL(s),51.3,C,Moderate,US-LISTED,https://www.fda.gov/media/133911/download,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22ubrelvy%22&count=sponsor_name,,Verified
"Intra-Cellular Therapies, Inc. (acquired by J&J, 2025)",ITCI,Caplyta (lumateperone),Approval,2019-12-20,Schizophrenia,Standard,,,,,,Not yet matched to price snapshot,1/1 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),41.5,D,Low,FORMERLY US-LISTED (DELISTED/ACQUIRED),https://www.fda.gov/media/133911/download,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22caplyta%22&count=sponsor_name,IRREGULARITY,Verified - FLAGGED IRREGULARITY
"Eisai Co., Ltd.",ESALY,Dayvigo (lemborexant),Approval,2019-12-20,Insomnia,Standard,,,,,,Not yet matched to price snapshot,3/3 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),61.8,C,Moderate,US-LISTED (ADR),https://www.fda.gov/media/133911/download,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22dayvigo%22&count=sponsor_name,,"Verified - foreign/OTC listing, price not captured"
"Daiichi Sankyo Company, Limited",DSNKY,Enhertu (fam-trastuzumab deruxtecan-nxki),Approval,2019-12-20,Metastatic breast cancer,Accelerated Approval,,,,,,Not yet matched to price snapshot,4/4 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),70.5,B,Moderate,US-LISTED (ADR),https://www.fda.gov/media/133911/download,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22enhertu%22&count=sponsor_name,,"Verified - foreign/OTC listing, price not captured"
Dutch Ophthalmic Research Center International B.V.,NO_TICKER,TissueBlue (brilliant blue G ophthalmic solution),Approval,2019-12-20,Ophthalmic surgical staining,Priority Review,,,,,,No public ticker,Not yet built - scorecard pending,64.5,C,Low,PRIVATE / NO EQUITY,https://www.fda.gov/media/133911/download,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22tissueblue%22&count=sponsor_name,,Verified
Astellas Pharma Inc. (with Seagen),ALPMY,Padcev (enfortumab vedotin-ejfv),Approval,2019-12-18,Refractory bladder cancer,Accelerated Approval,,,,,,Not yet matched to price snapshot,4/4 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),66.7,B,Moderate,US-LISTED (ADR),https://www.fda.gov/media/133911/download,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22padcev%22&count=sponsor_name,,"Verified - foreign/OTC listing, price not captured"
"Sarepta Therapeutics, Inc.",SRPT,Vyondys 53 (golodirsen),Approval,2019-12-12,Duchenne muscular dystrophy,Priority Review + Accelerated Approval,,,,,,Not yet matched to price snapshot,3/3 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),65.6,B,Moderate,US-LISTED,https://www.fda.gov/media/133911/download,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22vyondys%2053%22&count=sponsor_name,,Verified (ticker + exchange confirmed 2026-09-12 via Yahoo Finance chart API meta: longName / fullExchangeName)
"Global Blood Therapeutics, Inc. (acquired by Pfizer, 2022)",GBT,Oxbryta (voxelotor),Approval,2019-11-25,Sickle cell disease,Accelerated Approval,,,,,,Not yet matched to price snapshot,1/1 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),8.3,E,Low,FORMERLY US-LISTED (DELISTED/ACQUIRED),https://www.fda.gov/media/133911/download,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22oxbryta%22&count=sponsor_name,IRREGULARITY; WITHDRAWN,Verified - FLAGGED IRREGULARITY (withdrawn)
"SK Life Science, Inc. (SK group)",NO_US_TICKER,Xcopri (cenobamate),Approval,2019-11-21,Partial-onset seizures,,,,,,,Not yet matched to price snapshot,14/14 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),,,Not scored - no verified FDA decisions tracked,NON-US LISTING ONLY,https://www.fda.gov/media/133911/download,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22xcopri%22&count=sponsor_name,,Verified
"Alnylam Pharmaceuticals, Inc.",ALNY,Givlaari (givosiran),Approval,2019-11-20,Acute hepatic porphyria,Priority,,,,,,Not yet matched to price snapshot,4/4 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),73.4,B,Moderate,US-LISTED,https://www.fda.gov/media/133911/download,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22givlaari%22&count=sponsor_name,,Verified
Novartis AG,NVS,Adakveo (crizanlizumab-tmca),Approval,2019-11-15,Reduce vasoocclusive crises in sickle cell disease,Priority,,,,,,Not yet matched to price snapshot,38/38 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),83.9,A,Moderate,US-LISTED,https://www.fda.gov/media/133911/download,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22adakveo%22&count=sponsor_name,,Verified
BeOne Medicines (formerly BeiGene),ONC,Brukinsa (zanubrutinib),Approval,2019-11-14,Mantle cell lymphoma,Accelerated Approval,,,,,,Not yet matched to price snapshot,3/3 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),58.8,C,Moderate,US-LISTED,https://www.fda.gov/media/133911/download,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22brukinsa%22&count=sponsor_name,,Verified
"Shionogi & Co., Ltd.",SGIOF,Fetroja (cefiderocol),Approval,2019-11-14,Complicated urinary tract infections,Priority Review,,,,,,Not yet matched to price snapshot,2/2 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),72.0,B,Low,US-LISTED (ADR),https://www.fda.gov/media/133911/download,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22fetroja%22&count=sponsor_name,,Verified
