decision_id,year,application_number,drug_brand,drug_generic,company_name,corporate_lineage_and_ticker,decision_type,decision_date,chemical_type_code,chemical_type_description,review_priority,indication,regulatory_milestone,source_url_1,source_url_2,verification_status,notes
PRE1985-1972-016964,1972,NDA016964,MARCAINE WITH EPINEPHRINE,BUPIVACAINE HYDROCHLORIDE AND EPINEPHRINE,HOSPIRA (current Drugs@FDA holder; approval-era applicant not pinned),Not assigned: historical applicant and period ticker require separate primary-source evidence; no inference made.,APPROVAL (ORIGINAL NDA),1972-10-03,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,,Pre-1980 approval; indication and lineage are not asserted without an approval-era primary record.,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=016964,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19720101%20TO%2019721231]&limit=1000&skip=0",Verified from committed openFDA payload,"Pre-1980 Type 1 expansion. Fields are copied from the committed FDA extraction; openFDA sponsor is the current Drugs@FDA holder, not asserted as the historical applicant. Payload product/class/date/priority are verbatim. No ticker or indication guessed. Payload application=NDA016964; brand=MARCAINE WITH EPINEPHRINE; generic=BUPIVACAINE HYDROCHLORIDE AND EPINEPHRINE."
PRE1985-1972-017015,1972,NDA017015,PAVULON,,ORGANON USA INC (current Drugs@FDA holder; approval-era applicant not pinned),Not assigned: historical applicant and period ticker require separate primary-source evidence; no inference made.,APPROVAL (ORIGINAL NDA),1972-10-24,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,,Pre-1980 approval; indication and lineage are not asserted without an approval-era primary record.,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017015,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19720101%20TO%2019721231]&limit=1000&skip=0",Verified from committed openFDA payload,"Pre-1980 Type 1 expansion. Fields are copied from the committed FDA extraction; openFDA sponsor is the current Drugs@FDA holder, not asserted as the historical applicant. Payload product/class/date/priority are verbatim. No ticker or indication guessed. Payload application=NDA017015; brand=PAVULON; generic=."
PRE1985-1973-016996,1973,NDA016996,HYPERSTAT,,SCHERING (current Drugs@FDA holder; approval-era applicant not pinned),Not assigned: historical applicant and period ticker require separate primary-source evidence; no inference made.,APPROVAL (ORIGINAL NDA),1973-01-22,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,,Pre-1980 approval; indication and lineage are not asserted without an approval-era primary record.,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=016996,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19730101%20TO%2019731231]&limit=1000&skip=0",Verified from committed openFDA payload,"Pre-1980 Type 1 expansion. Fields are copied from the committed FDA extraction; openFDA sponsor is the current Drugs@FDA holder, not asserted as the historical applicant. Payload product/class/date/priority are verbatim. No ticker or indication guessed. Payload application=NDA016996; brand=HYPERSTAT; generic=."
PRE1985-1973-017047,1973,NDA017047,SETHOTOPE,,BRACCO (current Drugs@FDA holder; approval-era applicant not pinned),Not assigned: historical applicant and period ticker require separate primary-source evidence; no inference made.,APPROVAL (ORIGINAL NDA),1973-05-07,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,,Pre-1980 approval; indication and lineage are not asserted without an approval-era primary record.,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017047,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19730101%20TO%2019731231]&limit=1000&skip=0",Verified from committed openFDA payload,"Pre-1980 Type 1 expansion. Fields are copied from the committed FDA extraction; openFDA sponsor is the current Drugs@FDA holder, not asserted as the historical applicant. Payload product/class/date/priority are verbatim. No ticker or indication guessed. Payload application=NDA017047; brand=SETHOTOPE; generic=."
PRE1985-1973-017129,1973,NDA017129,CHOLEBRINE,,MALLINCKRODT (current Drugs@FDA holder; approval-era applicant not pinned),Not assigned: historical applicant and period ticker require separate primary-source evidence; no inference made.,APPROVAL (ORIGINAL NDA),1973-05-16,TYPE 1,Type 1 - New Molecular Entity,STANDARD,,Pre-1980 approval; indication and lineage are not asserted without an approval-era primary record.,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017129,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19730101%20TO%2019731231]&limit=1000&skip=0",Verified from committed openFDA payload,"Pre-1980 Type 1 expansion. Fields are copied from the committed FDA extraction; openFDA sponsor is the current Drugs@FDA holder, not asserted as the historical applicant. Payload product/class/date/priority are verbatim. No ticker or indication guessed. Payload application=NDA017129; brand=CHOLEBRINE; generic=."
PRE1985-1973-017247,1973,NDA017247,SANOREX,,NOVARTIS (current Drugs@FDA holder; approval-era applicant not pinned),Not assigned: historical applicant and period ticker require separate primary-source evidence; no inference made.,APPROVAL (ORIGINAL NDA),1973-06-14,TYPE 1,Type 1 - New Molecular Entity,STANDARD,,Pre-1980 approval; indication and lineage are not asserted without an approval-era primary record.,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017247,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19730101%20TO%2019731231]&limit=1000&skip=0",Verified from committed openFDA payload,"Pre-1980 Type 1 expansion. Fields are copied from the committed FDA extraction; openFDA sponsor is the current Drugs@FDA holder, not asserted as the historical applicant. Payload product/class/date/priority are verbatim. No ticker or indication guessed. Payload application=NDA017247; brand=SANOREX; generic=."
PRE1985-1973-017376,1973,NDA017376,SEPTRA,,MONARCH PHARMS (current Drugs@FDA holder; approval-era applicant not pinned),Not assigned: historical applicant and period ticker require separate primary-source evidence; no inference made.,APPROVAL (ORIGINAL NDA),1973-07-30,TYPE 1/4,Type 1 - New Molecular Entity and Type 4 - New Combination,PRIORITY,,Pre-1980 approval; indication and lineage are not asserted without an approval-era primary record.,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017376,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19730101%20TO%2019731231]&limit=1000&skip=0",Verified from committed openFDA payload,"Pre-1980 Type 1 expansion. Fields are copied from the committed FDA extraction; openFDA sponsor is the current Drugs@FDA holder, not asserted as the historical applicant. Payload product/class/date/priority are verbatim. No ticker or indication guessed. Payload application=NDA017376; brand=SEPTRA; generic=."
PRE1985-1973-016402,1973,NDA016402,ALUPENT,,BOEHRINGER INGELHEIM (current Drugs@FDA holder; approval-era applicant not pinned),Not assigned: historical applicant and period ticker require separate primary-source evidence; no inference made.,APPROVAL (ORIGINAL NDA),1973-07-31,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,,Pre-1980 approval; indication and lineage are not asserted without an approval-era primary record.,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=016402,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19730101%20TO%2019731231]&limit=1000&skip=0",Verified from committed openFDA payload,"Pre-1980 Type 1 expansion. Fields are copied from the committed FDA extraction; openFDA sponsor is the current Drugs@FDA holder, not asserted as the historical applicant. Payload product/class/date/priority are verbatim. No ticker or indication guessed. Payload application=NDA016402; brand=ALUPENT; generic=."
PRE1985-1973-050443,1973,NDA050443,BLENOXANE,,BRISTOL MYERS SQUIBB (current Drugs@FDA holder; approval-era applicant not pinned),Not assigned: historical applicant and period ticker require separate primary-source evidence; no inference made.,APPROVAL (ORIGINAL NDA),1973-07-31,TYPE 1,Type 1 - New Molecular Entity,UNKNOWN,,Pre-1980 approval; indication and lineage are not asserted without an approval-era primary record.,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=050443,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19730101%20TO%2019731231]&limit=1000&skip=0",Verified from committed openFDA payload,"Pre-1980 Type 1 expansion. Fields are copied from the committed FDA extraction; openFDA sponsor is the current Drugs@FDA holder, not asserted as the historical applicant. Payload product/class/date/priority are verbatim. No ticker or indication guessed. Payload application=NDA050443; brand=BLENOXANE; generic=."
PRE1985-1973-017454,1973,NDA017454,OSTEOSCAN,,MALLINCKRODT (current Drugs@FDA holder; approval-era applicant not pinned),Not assigned: historical applicant and period ticker require separate primary-source evidence; no inference made.,APPROVAL (ORIGINAL NDA),1973-09-28,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,,Pre-1980 approval; indication and lineage are not asserted without an approval-era primary record.,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017454,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19730101%20TO%2019731231]&limit=1000&skip=0",Verified from committed openFDA payload,"Pre-1980 Type 1 expansion. Fields are copied from the committed FDA extraction; openFDA sponsor is the current Drugs@FDA holder, not asserted as the historical applicant. Payload product/class/date/priority are verbatim. No ticker or indication guessed. Payload application=NDA017454; brand=OSTEOSCAN; generic=."
PRE1985-1973-016211,1973,NDA016211,MIOCHOL,,NOVARTIS (current Drugs@FDA holder; approval-era applicant not pinned),Not assigned: historical applicant and period ticker require separate primary-source evidence; no inference made.,APPROVAL (ORIGINAL NDA),1973-10-09,TYPE 1,Type 1 - New Molecular Entity,STANDARD,,Pre-1980 approval; indication and lineage are not asserted without an approval-era primary record.,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=016211,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19730101%20TO%2019731231]&limit=1000&skip=0",Verified from committed openFDA payload,"Pre-1980 Type 1 expansion. Fields are copied from the committed FDA extraction; openFDA sponsor is the current Drugs@FDA holder, not asserted as the historical applicant. Payload product/class/date/priority are verbatim. No ticker or indication guessed. Payload application=NDA016211; brand=MIOCHOL; generic=."
PRE1985-1973-017386,1973,NDA017386,ZAROXOLYN,,I3 PHARMS (current Drugs@FDA holder; approval-era applicant not pinned),Not assigned: historical applicant and period ticker require separate primary-source evidence; no inference made.,APPROVAL (ORIGINAL NDA),1973-11-27,TYPE 1,Type 1 - New Molecular Entity,STANDARD,,Pre-1980 approval; indication and lineage are not asserted without an approval-era primary record.,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017386,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19730101%20TO%2019731231]&limit=1000&skip=0",Verified from committed openFDA payload,"Pre-1980 Type 1 expansion. Fields are copied from the committed FDA extraction; openFDA sponsor is the current Drugs@FDA holder, not asserted as the historical applicant. Payload product/class/date/priority are verbatim. No ticker or indication guessed. Payload application=NDA017386; brand=ZAROXOLYN; generic=."
PRE1985-1973-016729,1973,NDA016729,FERROUS CITRATE FE 59,,MALLINCKRODT (current Drugs@FDA holder; approval-era applicant not pinned),Not assigned: historical applicant and period ticker require separate primary-source evidence; no inference made.,APPROVAL (ORIGINAL NDA),1973-12-17,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,,Pre-1980 approval; indication and lineage are not asserted without an approval-era primary record.,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=016729,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19730101%20TO%2019731231]&limit=1000&skip=0",Verified from committed openFDA payload,"Pre-1980 Type 1 expansion. Fields are copied from the committed FDA extraction; openFDA sponsor is the current Drugs@FDA holder, not asserted as the historical applicant. Payload product/class/date/priority are verbatim. No ticker or indication guessed. Payload application=NDA016729; brand=FERROUS CITRATE FE 59; generic=."
PRE1985-1974-017443,1974,NDA017443,DANTROLENE SODIUM,DANTROLENE SODIUM,PH HEALTH (current Drugs@FDA holder; approval-era applicant not pinned),Not assigned: historical applicant and period ticker require separate primary-source evidence; no inference made.,APPROVAL (ORIGINAL NDA),1974-01-15,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,,Pre-1980 approval; indication and lineage are not asserted without an approval-era primary record.,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017443,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19740101%20TO%2019741231]&limit=1000&skip=0",Verified from committed openFDA payload,"Pre-1980 Type 1 expansion. Fields are copied from the committed FDA extraction; openFDA sponsor is the current Drugs@FDA holder, not asserted as the historical applicant. Payload product/class/date/priority are verbatim. No ticker or indication guessed. Payload application=NDA017443; brand=DANTROLENE SODIUM; generic=DANTROLENE SODIUM."
PRE1985-1974-017111,1974,NDA017111,MOBAN,,CHARTWELL RX (current Drugs@FDA holder; approval-era applicant not pinned),Not assigned: historical applicant and period ticker require separate primary-source evidence; no inference made.,APPROVAL (ORIGINAL NDA),1974-01-18,TYPE 1,Type 1 - New Molecular Entity,STANDARD,,Pre-1980 approval; indication and lineage are not asserted without an approval-era primary record.,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017111,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19740101%20TO%2019741231]&limit=1000&skip=0",Verified from committed openFDA payload,"Pre-1980 Type 1 expansion. Fields are copied from the committed FDA extraction; openFDA sponsor is the current Drugs@FDA holder, not asserted as the historical applicant. Payload product/class/date/priority are verbatim. No ticker or indication guessed. Payload application=NDA017111; brand=MOBAN; generic=."
PRE1985-1974-050459,1974,NDA050459,AMOXIL,,GLAXOSMITHKLINE (current Drugs@FDA holder; approval-era applicant not pinned),Not assigned: historical applicant and period ticker require separate primary-source evidence; no inference made.,APPROVAL (ORIGINAL NDA),1974-01-18,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,,Pre-1980 approval; indication and lineage are not asserted without an approval-era primary record.,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=050459,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19740101%20TO%2019741231]&limit=1000&skip=0",Verified from committed openFDA payload,"Pre-1980 Type 1 expansion. Fields are copied from the committed FDA extraction; openFDA sponsor is the current Drugs@FDA holder, not asserted as the historical applicant. Payload product/class/date/priority are verbatim. No ticker or indication guessed. Payload application=NDA050459; brand=AMOXIL; generic=."
PRE1985-1974-017450,1974,NDA017450,MONISTAT 7 7-DAY DISPOSABLE APPLICATORS,MICONAZOLE NITRATE,MEDTECH PRODUCTS (current Drugs@FDA holder; approval-era applicant not pinned),Not assigned: historical applicant and period ticker require separate primary-source evidence; no inference made.,APPROVAL (ORIGINAL NDA),1974-01-30,TYPE 1,Type 1 - New Molecular Entity,STANDARD,,Pre-1980 approval; indication and lineage are not asserted without an approval-era primary record.,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017450,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19740101%20TO%2019741231]&limit=1000&skip=0",Verified from committed openFDA payload,"Pre-1980 Type 1 expansion. Fields are copied from the committed FDA extraction; openFDA sponsor is the current Drugs@FDA holder, not asserted as the historical applicant. Payload product/class/date/priority are verbatim. No ticker or indication guessed. Payload application=NDA017450; brand=MONISTAT 7 7-DAY DISPOSABLE APPLICATORS; generic=MICONAZOLE NITRATE."
PRE1985-1974-017395,1974,NDA017395,INTROPIN,,HOSPIRA (current Drugs@FDA holder; approval-era applicant not pinned),Not assigned: historical applicant and period ticker require separate primary-source evidence; no inference made.,APPROVAL (ORIGINAL NDA),1974-02-25,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,,Pre-1980 approval; indication and lineage are not asserted without an approval-era primary record.,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017395,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19740101%20TO%2019741231]&limit=1000&skip=0",Verified from committed openFDA payload,"Pre-1980 Type 1 expansion. Fields are copied from the committed FDA extraction; openFDA sponsor is the current Drugs@FDA holder, not asserted as the historical applicant. Payload product/class/date/priority are verbatim. No ticker or indication guessed. Payload application=NDA017395; brand=INTROPIN; generic=."
PRE1985-1974-016820,1974,NDA016820,EMETE-CON,,PFIZER (current Drugs@FDA holder; approval-era applicant not pinned),Not assigned: historical applicant and period ticker require separate primary-source evidence; no inference made.,APPROVAL (ORIGINAL NDA),1974-03-12,TYPE 1,Type 1 - New Molecular Entity,STANDARD,,Pre-1980 approval; indication and lineage are not asserted without an approval-era primary record.,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=016820,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19740101%20TO%2019741231]&limit=1000&skip=0",Verified from committed openFDA payload,"Pre-1980 Type 1 expansion. Fields are copied from the committed FDA extraction; openFDA sponsor is the current Drugs@FDA holder, not asserted as the historical applicant. Payload product/class/date/priority are verbatim. No ticker or indication guessed. Payload application=NDA016820; brand=EMETE-CON; generic=."
PRE1985-1974-017466,1974,NDA017466,BRICANYL,,SANOFI AVENTIS US (current Drugs@FDA holder; approval-era applicant not pinned),Not assigned: historical applicant and period ticker require separate primary-source evidence; no inference made.,APPROVAL (ORIGINAL NDA),1974-03-25,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,,Pre-1980 approval; indication and lineage are not asserted without an approval-era primary record.,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017466,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19740101%20TO%2019741231]&limit=1000&skip=0",Verified from committed openFDA payload,"Pre-1980 Type 1 expansion. Fields are copied from the committed FDA extraction; openFDA sponsor is the current Drugs@FDA holder, not asserted as the historical applicant. Payload product/class/date/priority are verbatim. No ticker or indication guessed. Payload application=NDA017466; brand=BRICANYL; generic=."
PRE1985-1974-017546,1974,NDA017546,NIPRIDE,,ROCHE (current Drugs@FDA holder; approval-era applicant not pinned),Not assigned: historical applicant and period ticker require separate primary-source evidence; no inference made.,APPROVAL (ORIGINAL NDA),1974-05-10,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,,Pre-1980 approval; indication and lineage are not asserted without an approval-era primary record.,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017546,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19740101%20TO%2019741231]&limit=1000&skip=0",Verified from committed openFDA payload,"Pre-1980 Type 1 expansion. Fields are copied from the committed FDA extraction; openFDA sponsor is the current Drugs@FDA holder, not asserted as the historical applicant. Payload product/class/date/priority are verbatim. No ticker or indication guessed. Payload application=NDA017546; brand=NIPRIDE; generic=."
PRE1985-1974-017481,1974,NDA017481,VERMOX,,JANSSEN PHARMS (current Drugs@FDA holder; approval-era applicant not pinned),Not assigned: historical applicant and period ticker require separate primary-source evidence; no inference made.,APPROVAL (ORIGINAL NDA),1974-06-28,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,,Pre-1980 approval; indication and lineage are not asserted without an approval-era primary record.,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017481,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19740101%20TO%2019741231]&limit=1000&skip=0",Verified from committed openFDA payload,"Pre-1980 Type 1 expansion. Fields are copied from the committed FDA extraction; openFDA sponsor is the current Drugs@FDA holder, not asserted as the historical applicant. Payload product/class/date/priority are verbatim. No ticker or indication guessed. Payload application=NDA017481; brand=VERMOX; generic=."
PRE1985-1974-050114,1974,BLA050114,PRE-PEN,BENZYLPENICILLOYL POLYLYSINE,ALLERQUEST (current Drugs@FDA holder; approval-era applicant not pinned),Not assigned: historical applicant and period ticker require separate primary-source evidence; no inference made.,APPROVAL (ORIGINAL NDA),1974-07-25,TYPE 1,Type 1 - New Molecular Entity,STANDARD,,Pre-1980 approval; indication and lineage are not asserted without an approval-era primary record.,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=050114,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19740101%20TO%2019741231]&limit=1000&skip=0",Verified from committed openFDA payload,"Pre-1980 Type 1 expansion. Fields are copied from the committed FDA extraction; openFDA sponsor is the current Drugs@FDA holder, not asserted as the historical applicant. Payload product/class/date/priority are verbatim. No ticker or indication guessed. Payload application=BLA050114; brand=PRE-PEN; generic=BENZYLPENICILLOYL POLYLYSINE."
PRE1985-1974-017048,1974,NDA017048,PEPTAVLON,,WYETH AYERST (current Drugs@FDA holder; approval-era applicant not pinned),Not assigned: historical applicant and period ticker require separate primary-source evidence; no inference made.,APPROVAL (ORIGINAL NDA),1974-07-26,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,,Pre-1980 approval; indication and lineage are not asserted without an approval-era primary record.,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017048,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19740101%20TO%2019741231]&limit=1000&skip=0",Verified from committed openFDA payload,"Pre-1980 Type 1 expansion. Fields are copied from the committed FDA extraction; openFDA sponsor is the current Drugs@FDA holder, not asserted as the historical applicant. Payload product/class/date/priority are verbatim. No ticker or indication guessed. Payload application=NDA017048; brand=PEPTAVLON; generic=."
PRE1985-1974-050467,1974,NDA050467,DOXORUBICIN HYDROCHLORIDE,,PFIZER (current Drugs@FDA holder; approval-era applicant not pinned),Not assigned: historical applicant and period ticker require separate primary-source evidence; no inference made.,APPROVAL (ORIGINAL NDA),1974-08-07,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,,Pre-1980 approval; indication and lineage are not asserted without an approval-era primary record.,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=050467,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19740101%20TO%2019741231]&limit=1000&skip=0",Verified from committed openFDA payload,"Pre-1980 Type 1 expansion. Fields are copied from the committed FDA extraction; openFDA sponsor is the current Drugs@FDA holder, not asserted as the historical applicant. Payload product/class/date/priority are verbatim. No ticker or indication guessed. Payload application=NDA050467; brand=DOXORUBICIN HYDROCHLORIDE; generic=."
PRE1985-1974-017503,1974,NDA017503,COMBIPRES,,BOEHRINGER INGELHEIM (current Drugs@FDA holder; approval-era applicant not pinned),Not assigned: historical applicant and period ticker require separate primary-source evidence; no inference made.,APPROVAL (ORIGINAL NDA),1974-09-03,TYPE 1/4,Type 1 - New Molecular Entity and Type 4 - New Combination,PRIORITY,,Pre-1980 approval; indication and lineage are not asserted without an approval-era primary record.,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017503,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19740101%20TO%2019741231]&limit=1000&skip=0",Verified from committed openFDA payload,"Pre-1980 Type 1 expansion. Fields are copied from the committed FDA extraction; openFDA sponsor is the current Drugs@FDA holder, not asserted as the historical applicant. Payload product/class/date/priority are verbatim. No ticker or indication guessed. Payload application=NDA017503; brand=COMBIPRES; generic=."
PRE1985-1974-017463,1974,NDA017463,MOTRIN,,MCNEIL CONSUMER (current Drugs@FDA holder; approval-era applicant not pinned),Not assigned: historical applicant and period ticker require separate primary-source evidence; no inference made.,APPROVAL (ORIGINAL NDA),1974-09-19,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,,Pre-1980 approval; indication and lineage are not asserted without an approval-era primary record.,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017463,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19740101%20TO%2019741231]&limit=1000&skip=0",Verified from committed openFDA payload,"Pre-1980 Type 1 expansion. Fields are copied from the committed FDA extraction; openFDA sponsor is the current Drugs@FDA holder, not asserted as the historical applicant. Payload product/class/date/priority are verbatim. No ticker or indication guessed. Payload application=NDA017463; brand=MOTRIN; generic=."
PRE1985-1974-017551,1974,NDA017551,PERCHLORACAP,,MALLINCKRODT (current Drugs@FDA holder; approval-era applicant not pinned),Not assigned: historical applicant and period ticker require separate primary-source evidence; no inference made.,APPROVAL (ORIGINAL NDA),1974-11-21,TYPE 1,Type 1 - New Molecular Entity,STANDARD,,Pre-1980 approval; indication and lineage are not asserted without an approval-era primary record.,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017551,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19740101%20TO%2019741231]&limit=1000&skip=0",Verified from committed openFDA payload,"Pre-1980 Type 1 expansion. Fields are copied from the committed FDA extraction; openFDA sponsor is the current Drugs@FDA holder, not asserted as the historical applicant. Payload product/class/date/priority are verbatim. No ticker or indication guessed. Payload application=NDA017551; brand=PERCHLORACAP; generic=."
PRE1985-1974-017556,1974,NDA017556,HALOG,HALCINONIDE CREAM,SUN PHARM INDS INC (current Drugs@FDA holder; approval-era applicant not pinned),Not assigned: historical applicant and period ticker require separate primary-source evidence; no inference made.,APPROVAL (ORIGINAL NDA),1974-11-27,TYPE 1,Type 1 - New Molecular Entity,STANDARD,,Pre-1980 approval; indication and lineage are not asserted without an approval-era primary record.,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017556,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19740101%20TO%2019741231]&limit=1000&skip=0",Verified from committed openFDA payload,"Pre-1980 Type 1 expansion. Fields are copied from the committed FDA extraction; openFDA sponsor is the current Drugs@FDA holder, not asserted as the historical applicant. Payload product/class/date/priority are verbatim. No ticker or indication guessed. Payload application=NDA017556; brand=HALOG; generic=HALCINONIDE CREAM."
